"id","player_id","team_id","eng_name","kor_name","kor_short_name","created_at"
1,16797,1577,Mohamed El-Shenawy,모하메드 엘셰나위,엘셰나위,2025-06-15 17:31:16.446
2,2654,1577,Mohamed Hany,모하메드 하니,하니,2025-06-15 17:31:16.453
3,36540,1577,Achraf Dari,아크라프 다리,다리,2025-06-15 17:31:16.460
4,16804,1577,Yasser Ibrahim,야세르 이브라힘,이브라힘,2025-06-15 17:31:16.461
5,292695,1577,Ahmed Nabil Koka,아메드 나빌 코카,나빌 코카,2025-06-15 17:31:16.462
6,16813,1577,Hamdy Fathy,함디 파티,파티,2025-06-15 17:31:16.477
7,17269,1577,Emam Ashour,에맘 아슈르,아슈르,2025-06-15 17:31:16.497
8,190575,1577,Marwan Attia,마르완 아티아,아티아,2025-06-15 17:31:16.498
9,49404,1577,Mohamed Ali Ben Romdhane,모하메드 알리 벤 롬다네,알리 벤 롬다네,2025-06-15 17:31:16.505
10,15731,1577,Wessam Abou Ali,웨삼 아부 알리,아부 알리,2025-06-15 17:31:16.518
11,2664,1577,Mahmoud Trézéguet,마흐무드 트레제게,트레제게,2025-06-15 17:31:16.519
12,95571,9568,Óscar Ustari,오스카 우스타리,우스타리,2025-06-15 17:31:16.548
13,404646,9568,Tomás Avilés,토마스 아빌레스,아빌레스,2025-06-15 17:31:16.548
14,216493,9568,Ian Fray,이안 프레이,프레이,2025-06-15 17:31:16.548
15,282407,9568,Noah Allen,노아 앨런,앨런,2025-06-15 17:31:16.594
16,67896,9568,Maximiliano Falcón,막심리아노 팔콘,팔콘,2025-06-15 17:31:16.595
17,304383,9568,Tadeo Allende,타데오 알렌데,알렌데,2025-06-15 17:31:16.615
18,311345,9568,Federico Redondo,페데리코 레돈도,레돈도,2025-06-15 17:31:16.635
19,144,9568,Sergio Busquets,세르지오 부스켓,부스켓,2025-06-15 17:31:16.635
20,157,9568,Luis Suárez,루이스 수아레스,수아레스,2025-06-15 17:31:16.639
21,144303,9568,Telasco Segovia,텔라스코 세고비아,세고비아,2025-06-15 17:31:16.665
22,154,9568,Lionel Messi,리오넬 메시,메시,2025-06-15 17:31:16.675
23,5969,9568,M. Weigandt,엠 바이간트,바이간트,2025-06-15 17:31:17.203
24,16811,1577,H. El Shahat,H. 엘 샤하트,엘 샤하트,2025-06-15 17:31:17.223
25,16937,1577,T. Mohamed,티 모하메드,모하메드,2025-06-15 17:31:17.224
26,16843,1577,Afsha,아프샤,프샤,2025-06-15 17:31:17.224
27,265817,1577,N. Gradisar,엔 그라디사르,그라디사르,2025-06-15 17:31:17.224
28,16871,1577,Zizo,지조,조,2025-06-15 17:31:17.237
29,362061,9568,B. Cremaschi,비. 크레마스키,크레마스키,2025-06-15 17:31:17.237
30,50749,9568,F. Picault,F. 피콜트,피콜트,2025-06-15 17:31:17.279
101,633,50,İ. Gündoğan,일카이 귄도안,귄도안,2025-06-15 18:00:57.783
1119,19192,34,J. Ramsey,제이미 램지,램지,2025-08-25 20:37:21.638
65,247,40,C. Gakpo,코디 각포,각포,2025-06-15 18:00:47.149
57,280,40,Alisson Becker,알리송 베케르,알리송,2025-06-15 18:00:47.081
1300,39099,327,A. Helmersen,아담 헬머센,헬머센,2025-10-01 02:23:29.551
60,1145,40,I. Konaté,이. 코나테,코나테,2025-06-15 18:00:47.096
110,545,33,N. Mazraoui,N. 마즈라위,마즈라위,2025-06-15 18:01:06.953
32,1622,85,G. Donnarumma,지 돈나룸마,돈나룸마,2025-06-15 18:00:20.509
33,2802,505,Y. Sommer,이븐 소머,소머,2025-06-15 18:00:20.509
35,1836,505,F. Acerbi,F. 아체르비,아체르비,2025-06-15 18:00:20.512
36,2725,505,B. Pavard,비. 파바르,파바르,2025-06-15 18:00:20.521
