external_id,eng_name,team,name_ko,short_name_ko,source
1460,B. Saka,Arsenal,부카요 사카,사카,curated
19959,B. White,Arsenal,벤 화이트,화이트,curated
30407,C. Norgaard,Arsenal,크리스티안 뇌르고르,뇌르고르,curated
333682,Cristhian Mosquera,Arsenal,크리스티안 모스케라,모스케라,curated
2937,D. Rice,Arsenal,데클런 라이스,라이스,curated
19465,David Raya,Arsenal,다비드 라야,라야,curated
313236,E. Nwaneri,Arsenal,에단 은와네리,은와네리,curated
41725,Fabio Vieira,Arsenal,파비우 비에이라,비에이라,curated
643,Gabriel Jesus,Arsenal,가브리엘 제주스,제주스,curated
22224,Gabriel Magalhaes,Arsenal,가브리에우 마갈량이스,마갈량이스,curated
127769,Gabriel Martinelli,Arsenal,가브리엘 마르티넬리,마르티넬리,curated
61431,J. Kiwior,Arsenal,야쿠프 키비오르,키비오르,curated
38746,J. Timber,Arsenal,위리엔 팀버르,팀버르,curated
978,K. Havertz,Arsenal,카이 하베르츠,하베르츠,curated
2273,Kepa,Arsenal,케파 아리사발라가,케파,curated
1946,L. Trossard,Arsenal,레안드로 트로사르,트로사르,curated
442044,M. Dowman,Arsenal,맥스 다우먼,다우먼,curated
313245,M. Lewis-Skelly,Arsenal,마일스 루이스스켈리,루이스스켈리,curated
37127,M. Odegaard,Arsenal,마르틴 외데고르,외데고르,curated
482903,M. Salmon,Arsenal,마티아 살몬,살몬,previous_csv
47315,Martin Zubimendi,Arsenal,마르틴 수비멘디,수비멘디,curated
47311,Mikel Merino,Arsenal,미켈 메리노,메리노,curated
127817,P. Hincapie,Arsenal,피에로 인카피에,인카피에,curated
157052,R. Calafiori,Arsenal,리카르도 칼라피오리,칼라피오리,curated
18979,V. Gyokeres,Arsenal,빅토르 요케레스,요케레스,curated
22090,W. Saliba,Arsenal,윌리엄 살리바,살리바,curated
162714,A. Onana,Aston Villa,아마두 오나나,오나나,curated
464004,Alysson Edward,Aston Villa,알리송,알리송,previous_csv
388013,Andres Garcia,Aston Villa,안드레스 가르시아,가르시아,previous_csv
1904,B. Kamara,Aston Villa,부바카르 카마라,카마라,curated
249,D. Malen,Aston Villa,도니얼 말런,말런,curated
47522,Douglas Luiz,Aston Villa,더글라스 루이스,루이스,curated
158378,E. Barrenechea,Aston Villa,엔소 바레네체아,바레네체아,curated
19071,E. Buendia,Aston Villa,에밀리아노 부엔디아,부엔디아,curated
137303,E. Guessand,Aston Villa,에반 게상,게상,curated
19354,E. Konsa,Aston Villa,에즈리 콘사,콘사,curated
19599,E. Martinez,Aston Villa,에밀리아노 마르티네스,마르티네스,curated
19035,H. Elliott,Aston Villa,하비 엘리엇,엘리엇,curated
