external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
457731,A. Annous,Andre Annous,England,Arsenal,,
253,A. Areola,Alphonse Francis Areola,France,West Ham,,
18927,A. Barnes,Ashley Luke Barnes,England,Burnley,,
557573,A. Brooks,A. Brooks,,Wolves,,
557342,A. Cresswell,A. Cresswell,,Leeds,,
557541,A. Golambeckis,A. Golambeckis,,West Ham,,
44871,A. Hickey,Aaron Buchanan Hickey,Scotland,Brentford,,
68466,A. Irving,Andrew Irving,Scotland,West Ham,,
1455,A. Iwobi,Alexander Chuka Iwobi,Nigeria,Fulham,,
318056,A. Murphy,Alex Murphy,Republic of Ireland,Newcastle,,
407032,A. Nallo,Amara Nallo,England,Liverpool,,
526,A. Onana,André Onana Onana,Cameroon,Manchester United,,
19881,A. Patterson,Anthony Patterson,England,Sunderland,,
342467,Á. Pécsi,Ármin Pécsi,Hungary,Liverpool,,
20355,A. Ramsdale,Aaron Christopher Ramsdale,England,Newcastle,,
278079,A. Ramsey,Aaron James Ramsey,England,Burnley,,
32966,A. Tanaka,Ao Tanaka,Japan,Leeds,,
353968,A. Whitehall,Archie Harry Thomas Whitehall,England,Nottingham Forest,,
288129,Alfie Shane McNally,Alfie Shane McNally,England,Fulham,,
50739,B. Aaronson,Brenden Russell Aaronson,USA,Leeds,,
156428,B. Austin,Brandon Anthony Austin,England,Tottenham,,
95,B. Badiashile,Benoît Ntambue Badiashile Mukinayi Baya,France,Chelsea,,
380715,B. Broggio,Benjamin Tomaso Broggio,England,Aston Villa,,
453101,B. Burrows,Bradley-Paul Burrowes,England,Aston Villa,,
557475,B. Casey,B. Casey,,Crystal Palace,,
164,B. Davies,Benjamin Thomas Davies,Wales,Tottenham,,
413034,B. Graham,Braiden Graham,Northern Ireland,Everton,,
21566,B. Lecomte,Benjamin Pascal Lecomte,France,Fulham,,
404769,Bendito Mantato,Bendito Mantato,England,Manchester United,,
195993,C. Alcaraz,Carlos Jonas Alcaraz Duran,Argentina,Everton,,
546654,C. Bates,C. Bates,,Everton,,
