external_id,eng_name,full_name,team,method,matched_name,name_ko,short_name_ko
457731,A. Annous,Andre Annous,Arsenal,phonetic-fallback-openai,,안드레 아누스,아누스
253,A. Areola,Alphonse Francis Areola,West Ham,known-ko,Alphonse Areola,알퐁스 아레올라,아레올라
18927,A. Barnes,Ashley Luke Barnes,Burnley,known-ko,Ashley Barnes,애슐리 반스,반스
557573,A. Brooks,A. Brooks,Wolves,phonetic-fallback-openai,,A. 브룩스,브룩스
557342,A. Cresswell,A. Cresswell,Leeds,phonetic-fallback-openai,,A. 크레스웰,크레스웰
557541,A. Golambeckis,A. Golambeckis,West Ham,phonetic-fallback-openai,,A. 골람베키스,골람베키스
44871,A. Hickey,Aaron Buchanan Hickey,Brentford,wikidata-ko-label,Aaron Hickey,에런 히키,히키
68466,A. Irving,Andrew Irving,West Ham,phonetic-fallback-openai,,앤드류 아빙,아빙
1455,A. Iwobi,Alexander Chuka Iwobi,Fulham,phonetic-fallback-openai,,알렉산더 츄카 이워비,이워비
318056,A. Murphy,Alex Murphy,Newcastle,phonetic-fallback-openai,,알렉스 머피,머피
407032,A. Nallo,Amara Nallo,Liverpool,phonetic-fallback-openai,,아마라 날로,날로
526,A. Onana,André Onana Onana,Manchester United,known-ko,André Onana,앙드레 오나나,오나나
19881,A. Patterson,Anthony Patterson,Sunderland,phonetic-fallback-openai,,앤써니 패터슨,패터슨
342467,Á. Pécsi,Ármin Pécsi,Liverpool,wikidata-ko-label,Ármin Pécsi,페치 아르민,아르민
20355,A. Ramsdale,Aaron Christopher Ramsdale,Newcastle,known-ko,Aaron Ramsdale,애런 램스데일,램스데일
278079,A. Ramsey,Aaron James Ramsey,Burnley,wikidata-ko-label,Aaron Ramsey,에런 램지,램지
32966,A. Tanaka,Ao Tanaka,Leeds,wikidata-ko-label,Ao Tanaka,다나카 아오,아오
353968,A. Whitehall,Archie Harry Thomas Whitehall,Nottingham Forest,phonetic-fallback-openai,,아치 토마스 화이트홀,화이트홀
288129,Alfie Shane McNally,Alfie Shane McNally,Fulham,phonetic-fallback-openai,,알피 셰인 맥날리,맥날리
50739,B. Aaronson,Brenden Russell Aaronson,Leeds,known-ko,Brenden Aaronson,브렌든 에런슨,에런슨
156428,B. Austin,Brandon Anthony Austin,Tottenham,wikidata-ko-label,Brandon Austin,브랜던 오스틴,오스틴
95,B. Badiashile,Benoît Ntambue Badiashile Mukinayi Baya,Chelsea,phonetic-fallback-openai,,베누아 땀부 비아디아실레 무키나이 바야,비아디아실레
380715,B. Broggio,Benjamin Tomaso Broggio,Aston Villa,phonetic-fallback-openai,,벤자민 토마소 브로지오,브로지오
453101,B. Burrows,Bradley-Paul Burrowes,Aston Villa,phonetic-fallback-openai,,브래들리-폴 버로우스,버로우스
557475,B. Casey,B. Casey,Crystal Palace,phonetic-fallback-openai,,B. 케이시,케이시
164,B. Davies,Benjamin Thomas Davies,Tottenham,known-ko,Benjamin Davies,벤 데이비스,데이비스
413034,B. Graham,Braiden Graham,Everton,phonetic-fallback-openai,,브레이든 그레이엄,그레이엄
21566,B. Lecomte,Benjamin Pascal Lecomte,Fulham,known-ko,Benjamin Lecomte,벤자민 르콩트,르콩트
404769,Bendito Mantato,Bendito Mantato,Manchester United,phonetic-fallback-openai,,벤디토 만타토,만타토
195993,C. Alcaraz,Carlos Jonas Alcaraz Duran,Everton,phonetic-fallback-openai,,카를로스 조나스 알카라스 두란,알카라스
546654,C. Bates,C. Bates,Everton,phonetic-fallback-openai,,C. 베이츠,베이츠
2298,C. Hudson-Odoi,Callum James Hudson-Odoi,Nottingham Forest,known-ko,Callum Hudson-Odoi,칼럼 허드슨오도이,허드슨오도이
26644,C. Mandas,Christos Mandas,Bournemouth,known-ko,Christos Mandas,흐리스토스 만다스,만다스
135525,C. Ramsay,Calvin William Ramsay,Liverpool,known-ko,Calvin Ramsay,캘빈 램지,램지
573755,C. Stevens,C. Stevens,Bournemouth,phonetic-fallback-openai,,C. 스티븐스,스티븐스
37724,C. Summerville,Crysencio Jilbert Sylverio Cir Summerville,West Ham,known-ko,Crysencio Summerville,크리센시오 서머빌,서머빌
328076,C. Tasker,Charlie Tasker,Brighton,phonetic-fallback-openai,,찰리 태스커,태스커
389034,Charlie Gray,Charlie Gray,Manchester City,phonetic-fallback-openai,,찰리 그레이,그레이
403554,Christantus Uche,Christantus Ugonna Uche,Crystal Palace,phonetic-fallback-openai,,크리스탄투스 우체,우체
557414,D. Benamar,D. Benamar,Crystal Palace,phonetic-fallback-openai,,D. 베나마르,베나마르
19341,D. Bentley,Daniel Ian Bentley,Wolves,phonetic-fallback-openai,,다니엘 이안 벤틀리,벤틀리
342063,D. Coppola,Diego Coppola,Brighton,known-ko,Diego Coppola,디에고 코폴라,코폴라
19329,D. James,Daniel Owen James,Leeds,known-ko,Daniel James,대니얼 제임스,제임스
475598,D. León,Diego Basilio León Blanco,Manchester United,phonetic-fallback-openai,,디에고 바실리오 레온 블랑코,레온
18929,D. McNeil,Dwight James Matthew McNeil,Everton,known-ko,Dwight McNeil,드와이트 맥닐,맥닐
19910,D. Neil,Daniel Neil,Sunderland,known-ko,Daniel Neil,댄 닐,닐
334725,D. Sadi,Dominic Sadi,Bournemouth,phonetic-fallback-openai,,도미닉 사디,사디
19235,D. Spence,Diop Tehuti Djed-Hotep Spence,Tottenham,phonetic-fallback-openai,,디옵 테후티 제드-호텝 스펜스,스펜스
196856,Daniel Edward Peter Imray,Daniel Edward Peter Imray,Crystal Palace,phonetic-fallback-openai,,다니엘 에드워드 피터 임레이,임레이
361388,E. Agyei,Enock Atta Agyei,Burnley,phonetic-fallback-openai,,에녹 아타 아지,아지
2855,E. Krafth,Emil Henry Kristoffer Krafth,Newcastle,known-ko,Emil Krafth,에밀 크라프트,크라프트
1468,E. Nketiah,Edward Keddar Nketiah,Crystal Palace,phonetic-fallback-openai,,에드워드 케다 나케티아,나케티아
19789,E. Pinnock,Ethan Rupert Pinnock,Brentford,known-ko,Ethan Pinnock,에단 피녹,피녹
349799,Eliezer Mayenda,Eliezer Mayenda Dossou,Sunderland,phonetic-fallback-openai,,엘리에저 마옌다 도쑤,도쑤
284385,Elijah Xavier Campbell,Elijah Xavier Campbell,Everton,phonetic-fallback-openai,,일라이자 자비에 캠벨,캠벨
379678,Ethan Sutherland,Ethan Sutherland,Wolves,phonetic-fallback-openai,,이단 서덜랜드,서덜랜드
