external_id,eng_name,name_ko,short_name_ko
457731,A. Annous,안드레 아누스,아누스
253,A. Areola,알퐁스 아레올라,아레올라
18927,A. Barnes,애슐리 반스,반스
557573,A. Brooks,브룩스,브룩스
557342,A. Cresswell,크레스웰,크레스웰
557541,A. Golambeckis,골람베키스,골람베키스
44871,A. Hickey,에런 히키,히키
68466,A. Irving,앤드류 아빙,아빙
1455,A. Iwobi,알렉산더 츄카 이워비,이워비
318056,A. Murphy,알렉스 머피,머피
407032,A. Nallo,아마라 날로,날로
526,A. Onana,앙드레 오나나,오나나
19881,A. Patterson,앤써니 패터슨,패터슨
342467,Á. Pécsi,페치 아르민,아르민
20355,A. Ramsdale,애런 램스데일,램스데일
278079,A. Ramsey,에런 램지,램지
32966,A. Tanaka,다나카 아오,아오
353968,A. Whitehall,아치 토마스 화이트홀,화이트홀
288129,Alfie Shane McNally,알피 셰인 맥날리,맥날리
50739,B. Aaronson,브렌든 에런슨,에런슨
156428,B. Austin,브랜던 오스틴,오스틴
95,B. Badiashile,베누아 땀부 비아디아실레 무키나이 바야,비아디아실레
380715,B. Broggio,벤자민 토마소 브로지오,브로지오
453101,B. Burrows,브래들리-폴 버로우스,버로우스
557475,B. Casey,케이시,케이시
164,B. Davies,벤 데이비스,데이비스
413034,B. Graham,브레이든 그레이엄,그레이엄
21566,B. Lecomte,벤자민 르콩트,르콩트
404769,Bendito Mantato,벤디토 만타토,만타토
195993,C. Alcaraz,카를로스 조나스 알카라스 두란,알카라스
546654,C. Bates,베이츠,베이츠
2298,C. Hudson-Odoi,칼럼 허드슨오도이,허드슨오도이
26644,C. Mandas,흐리스토스 만다스,만다스
135525,C. Ramsay,캘빈 램지,램지
573755,C. Stevens,스티븐스,스티븐스
37724,C. Summerville,크리센시오 서머빌,서머빌
328076,C. Tasker,찰리 태스커,태스커
389034,Charlie Gray,찰리 그레이,그레이
403554,Christantus Uche,크리스탄투스 우체,우체
557414,D. Benamar,베나마르,베나마르
19341,D. Bentley,다니엘 이안 벤틀리,벤틀리
342063,D. Coppola,디에고 코폴라,코폴라
19329,D. James,대니얼 제임스,제임스
475598,D. León,디에고 바실리오 레온 블랑코,레온
18929,D. McNeil,드와이트 맥닐,맥닐
19910,D. Neil,댄 닐,닐
334725,D. Sadi,도미닉 사디,사디
19235,D. Spence,디옵 테후티 제드-호텝 스펜스,스펜스
196856,Daniel Edward Peter Imray,다니엘 에드워드 피터 임레이,임레이
