external_id,eng_name,full_name,team,method,matched_name,name_ko,short_name_ko
538387,A. Abdulmalik,A. Abdulmalik,Boreham Wood,phonetic-fallback-openai,,알리 압둘말릭,압둘말릭
362145,A. Ahmed,Ali Ahmed,Norwich,phonetic-fallback-openai,,알리 아흐메드,아흐메드
19844,A. Bass,Alexander Michael Bass,Peterborough,phonetic-fallback-openai,,알렉산더 마이클 바스,바스
20434,A. Bates,Alfie Bates,Tamworth,phonetic-fallback-openai,,알피 베이츠,베이츠
19466,A. Bell,Amari'i Kyren Bell,Charlton,phonetic-fallback-openai,,아마리 벨,벨
19446,A. Browne,Alan James Browne,Middlesbrough,phonetic-fallback-openai,,앨런 제임스 브라운,브라운
19859,A. Cannon,Andy Cannon,Burton Albion,phonetic-fallback-openai,,앤디 캐넌,캐넌
17551,A. Collins,Aaron Graham John Collins,Milton Keynes Dons,phonetic-fallback-openai,,아론 그레이엄 존 콜린스,콜린스
19772,A. Connolly,Aaron Anthony Connolly,Leyton Orient,phonetic-fallback-openai,,아론 앤서니 코널리,코널리
17910,A. Crookes,Adam Mark Crookes,Gainsborough Trinity,phonetic-fallback-openai,,아담 마크 크룩스,크룩스
578928,A. Dausch,A. Dausch,Forest Green,phonetic-fallback-openai,,에이 다우시,다우시
138791,A. Davies,Archie Daniel Davies,Carlisle,phonetic-fallback-openai,,아치 다니엘 데이비스,데이비스
138880,A. Desbois,Adam Desbois,Slough Town,phonetic-fallback-openai,,아담 데스보이스,데스보이스
401091,A. Doherty,Aodhan Doherty,Blackburn,phonetic-fallback-openai,,아오단 도허티,도허티
311817,A. Dorrington,Alfie Dorrington,Salford City,phonetic-fallback-openai,,알피 도링턴,도링턴
19829,A. Doughty,Alfie Henry Harman Doughty,Millwall,phonetic-fallback-openai,,알피 도티,도티
413136,A. Elliott-Wheeler,Aidan Elliott-Wheeler,Gateshead,phonetic-fallback-openai,,에이덴 엘리엇-휠러,엘리엇-휠러
304026,A. Forson,Amankwah Forson,Norwich,phonetic-fallback-openai,,아만콰 포슨,포슨
335813,A. Francis-Clarke,Aidan Francis-Clarke,Braintree,phonetic-fallback-openai,,에이덴 프란시스-클라크,프란시스-클라크
284406,A. Gilchrist,Alfie Gilchrist,West Brom,phonetic-fallback-openai,,알피 길크리스트,길크리스트
18810,A. Gray,Andre Anthony Gray,Port Vale,wikidata-ko-label,Andre Gray,안드레 그레이,그레이
118604,A. Hayden,Aaron Edward-George Hayden,Carlisle,phonetic-fallback-openai,,아론 에드워드-조지 헤이든,헤이든
327734,A. Higgins,Akeel Higgins,Exeter City,phonetic-fallback-openai,,아킬 히긴스,히긴스
167043,A. Jackson,Ashley Jackson,Gainsborough Trinity,phonetic-fallback-openai,,애슐리 잭슨,잭슨
167346,A. Janneh,Ansu Janneh,Slough Town,phonetic-fallback-openai,,안수 잔네,잔네
60648,A. Jatta,Alassana Jatta,Notts County,phonetic-fallback-openai,,알라산나 자타,자타
103145,A. Jones,Aaron Jones,Sutton Utd,phonetic-fallback-openai,,아론 존스,존스
288200,A. Lloyd,Alfie David Lloyd,Leyton Orient,phonetic-fallback-openai,,알피 로이드,로이드
175037,A. Malanda,Adilson Malanda,Middlesbrough,phonetic-fallback-openai,,아딜손 말란다,말란다
37236,A. Matusiwa,Azor Matusiwa,Ipswich,phonetic-fallback-openai,,아조르 마투시와,마투시와
276553,A. Mbengue,Amadou Salif Mbengue,QPR,phonetic-fallback-openai,,아마두 살리프 엠벵게,엠벵게
19834,A. Morgan,Albie Robert Morgan,Blackpool,phonetic-fallback-openai,,알비 로버트 모건,모건
632115,A. Moseley,A. Moseley,Wigan,phonetic-fallback-openai,,에이 모즐리,모즐리
