external_id,eng_name,name_ko,short_name_ko
538387,A. Abdulmalik,알리 압둘말릭,압둘말릭
362145,A. Ahmed,알리 아흐메드,아흐메드
19844,A. Bass,알렉산더 마이클 바스,바스
20434,A. Bates,알피 베이츠,베이츠
19466,A. Bell,아마리 벨,벨
19446,A. Browne,앨런 제임스 브라운,브라운
19859,A. Cannon,앤디 캐넌,캐넌
17551,A. Collins,아론 그레이엄 존 콜린스,콜린스
19772,A. Connolly,아론 앤서니 코널리,코널리
17910,A. Crookes,아담 마크 크룩스,크룩스
578928,A. Dausch,에이 다우시,다우시
138791,A. Davies,아치 다니엘 데이비스,데이비스
138880,A. Desbois,아담 데스보이스,데스보이스
401091,A. Doherty,아오단 도허티,도허티
311817,A. Dorrington,알피 도링턴,도링턴
19829,A. Doughty,알피 도티,도티
413136,A. Elliott-Wheeler,에이덴 엘리엇-휠러,엘리엇-휠러
304026,A. Forson,아만콰 포슨,포슨
335813,A. Francis-Clarke,에이덴 프란시스-클라크,프란시스-클라크
284406,A. Gilchrist,알피 길크리스트,길크리스트
18810,A. Gray,안드레 그레이,그레이
118604,A. Hayden,아론 에드워드-조지 헤이든,헤이든
327734,A. Higgins,아킬 히긴스,히긴스
167043,A. Jackson,애슐리 잭슨,잭슨
167346,A. Janneh,안수 잔네,잔네
60648,A. Jatta,알라산나 자타,자타
103145,A. Jones,아론 존스,존스
288200,A. Lloyd,알피 로이드,로이드
175037,A. Malanda,아딜손 말란다,말란다
37236,A. Matusiwa,아조르 마투시와,마투시와
276553,A. Mbengue,아마두 살리프 엠벵게,엠벵게
19834,A. Morgan,알비 로버트 모건,모건
632115,A. Moseley,에이 모즐리,모즐리
20097,A. Nadesan,애슐리 케빈 나데산,나데산
137229,A. Odimayo,아킨왈 조셉 오디마요,오디마요
20361,A. Oshilaja,아브둘유수프 아데데지 아데니이 오시라자,오시라자
17775,A. Pierre,아론 조던 피에르,피에르
138934,A. Pressley,아론 알렉스 프레슬리,프레슬리
344816,A. Priske,아우구스트 프리스케 플리거,플리거
69391,A. Simpson,아론 심슨,심슨
18846,A. Wan-Bissaka,에런 완비사카,완비사카
20374,A. Wordsworth,앤서니 다니엘 워즈워스,워즈워스
313242,Abraham Kanu,에이브러햄 카누,카누
331564,Angel Waruih,엔젤 와루이,와루이
449224,Archie Harris,아치 해리스,해리스
19627,B. Amos,벤자민 폴 에이모스,에이모스
19249,B. Assombalonga,브리트 아솜발롱가,아솜발롱가
557347,B. Bateman,비. 베이트먼,베이트먼
394585,B. Cadamarteri,베일리-타이 카다마르테리,카다마르테리
19437,B. Davies,벤 데이비스,데이비스
19004,B. De Cordova-Reid,바비 아르마니 데 코르도바-리드,데 코르도바-리드
460966,B. Enoru,벡-레이 베송밥 에노루,에노루
19038,B. Hamer,벤자민 존 헤이머,헤이머
118463,B. Johnson,바비 존슨,존슨
373420,B. Kirkman,빌리 네일러 커크먼,커크먼
18917,B. Mee,벤자민 토마스 미,미
167291,B. Milnes,벤 밀네스,밀네스
19642,B. Mitchell,빌리 제임스 미첼,미첼
329339,B. Pendleton,바이런 펜들턴,펜들턴
19455,B. Potts,브래들리 포츠,포츠
337495,B. Powell,브랜든 파웰,파웰
88457,B. Sheaf,벤자민 데이비드 쉬프,쉬프
17578,B. Stevenson,벤 에드워드 스티븐슨,스티븐슨
557372,B. Williams,비. 윌리엄스,윌리엄스
538470,B. Williams,비. 윌리엄스,윌리엄스
492118,B. Wodskou,벤 워드스쿠,워드스쿠
284215,B. Woods,벤자민 우즈,우즈
449056,Ben Lomax,벤 로맥스,로맥스
330206,Bradley Mayo,브래들리 메요,메요
393349,Brandon Edward Bak,브랜든 에드워드 백,백
615688,Brian Nelson,브라이언 넬슨,넬슨
2380,C. Akpom,추바 아크폼,아크폼
17431,C. Aneke,추크웨메카 아데몰라 아마치 아네케,아네케
538491,C. Bell,씨. 벨,벨
122094,C. Bishop,콜비 데이비드 비숍,비숍
20450,C. Blackett-Taylor,코리 조사이아 폴 블라켓-테일러,블라켓-테일러
538398,C. Bone,씨. 본,본
44939,C. Brown,카이런 모리스 브라운,브라운
18251,C. Bush,크리스토퍼 마일스 부시,부시
82670,C. Clayden,찰스 클레이든,클레이든
215132,C. Conn-Clarke,크리스토퍼 세이머스 마이클 콘-클라크,콘-클라크
231051,C. Cooper,체이 쿠퍼,쿠퍼
18820,C. Coventry,코너 제임스 코벤트리,코벤트리
18989,C. Coxe,캐머런 테리 콕스,콕스
20403,C. Grant,코너 제임스 그랜트,그랜트
19714,C. Hall,코너 매튜 홀,홀
45137,C. Harper,캐머런 하퍼,하퍼
570093,C. Ibeh,씨 아이베,아이베
18652,C. James,캐머런 루이스 제임스,제임스
152697,C. Johnston,칼 로버트 존스턴,존스턴
19529,C. Lakin,찰리 라킨,라킨
630605,C. Llyton,씨 릿턴,릿턴
412926,C. Makosso,크리스 멜릭 마코소,마코소
440043,C. McLean,크리스핀 맥린,맥린
