external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
538387,A. Abdulmalik,A. Abdulmalik,,Boreham Wood,,
362145,A. Ahmed,Ali Ahmed,Canada,Norwich,,
19844,A. Bass,Alexander Michael Bass,England,Peterborough,,
20434,A. Bates,Alfie Bates,England,Tamworth,,
19466,A. Bell,Amari'i Kyren Bell,Jamaica,Charlton,,
19446,A. Browne,Alan James Browne,Republic of Ireland,Middlesbrough,,
19859,A. Cannon,Andy Cannon,England,Burton Albion,,
17551,A. Collins,Aaron Graham John Collins,Wales,Milton Keynes Dons,,
19772,A. Connolly,Aaron Anthony Connolly,Republic of Ireland,Leyton Orient,,
17910,A. Crookes,Adam Mark Crookes,England,Gainsborough Trinity,,
578928,A. Dausch,A. Dausch,,Forest Green,,
138791,A. Davies,Archie Daniel Davies,England,Carlisle,,
138880,A. Desbois,Adam Desbois,England,Slough Town,,
401091,A. Doherty,Aodhan Doherty,Northern Ireland,Blackburn,,
311817,A. Dorrington,Alfie Dorrington,England,Salford City,,
19829,A. Doughty,Alfie Henry Harman Doughty,England,Millwall,,
413136,A. Elliott-Wheeler,Aidan Elliott-Wheeler,England,Gateshead,,
304026,A. Forson,Amankwah Forson,Ghana,Norwich,,
335813,A. Francis-Clarke,Aidan Francis-Clarke,England,Braintree,,
284406,A. Gilchrist,Alfie Gilchrist,England,West Brom,,
18810,A. Gray,Andre Anthony Gray,Jamaica,Port Vale,,
118604,A. Hayden,Aaron Edward-George Hayden,England,Carlisle,,
327734,A. Higgins,Akeel Higgins,England,Exeter City,,
167043,A. Jackson,Ashley Jackson,England,Gainsborough Trinity,,
167346,A. Janneh,Ansu Janneh,England,Slough Town,,
60648,A. Jatta,Alassana Jatta,Gambia,Notts County,,
103145,A. Jones,Aaron Jones,England,Sutton Utd,,
288200,A. Lloyd,Alfie David Lloyd,England,Leyton Orient,,
175037,A. Malanda,Adilson Malanda,France,Middlesbrough,,
37236,A. Matusiwa,Azor Matusiwa,Netherlands,Ipswich,,
276553,A. Mbengue,Amadou Salif Mbengue,Senegal,QPR,,
19834,A. Morgan,Albie Robert Morgan,England,Blackpool,,
632115,A. Moseley,A. Moseley,,Wigan,,
20097,A. Nadesan,Ashley Kevin Nadesan,England,Sutton Utd,,
137229,A. Odimayo,Akinwale Joseph Odimayo,England,Newport County,,
20361,A. Oshilaja,Abdulyussuf Adedeji Adeniyi Oshilaja,England,Mansfield Town,,
17775,A. Pierre,Aaron Jordan Pierre,Grenada,Eastleigh,,
138934,A. Pressley,Aaron Alex Pressley,Scotland,Walsall,,
344816,A. Priske,August Priske Flyger,Denmark,Birmingham,,
69391,A. Simpson,Aaron Simpson,England,Gainsborough Trinity,,
18846,A. Wan-Bissaka,Aaron Wan-Bissaka,England,West Ham,,
20374,A. Wordsworth,Anthony Daniel Wordsworth,England,Maldon & Tiptree,,
313242,Abraham Kanu,Abraham Kanu,England,Forest Green,,
331564,Angel Waruih,Angel Waruih,England,Eastleigh,,
449224,Archie Harris,Archie Harris,England,Eastleigh,,
19627,B. Amos,Benjamin Paul Amos,England,Port Vale,,
19249,B. Assombalonga,Britt Curtis Assombalonga,Congo DR,Barnet,,
557347,B. Bateman,B. Bateman,,Birmingham,,
394585,B. Cadamarteri,Bailey-Tye Cadamarteri,England,Sheffield Wednesday; Wrexham,,
19437,B. Davies,Benjamin Keith Davies,England,Oxford United,,
19004,B. De Cordova-Reid,Bobby Armani De Cordova-Reid,Jamaica,Leicester,,
460966,B. Enoru,Beck-Ray Besongbap Enoru,Cameroon,Tamworth,,
19038,B. Hamer,Benjamin John Hamer,England,QPR,,
118463,B. Johnson,Bobby Johnson,England,Gainsborough Trinity,,
373420,B. Kirkman,Billy Naylor Kirkman,England,Swindon Town,,
18917,B. Mee,Benjamin Thomas Mee,England,Sheffield Utd,,
167291,B. Milnes,Ben Milnes,England,Tamworth,,
19642,B. Mitchell,Billy James Mitchell,England,Millwall,,
329339,B. Pendleton,Byron Pendleton,England,Brackley Town,,
19455,B. Potts,Bradley Potts,England,Preston,,
337495,B. Powell,Brandon Powell,England,Blackburn,,
88457,B. Sheaf,Benjamin David Sheaf,England,Wrexham,,
17578,B. Stevenson,Ben Edward Stevenson,England,Cheltenham,,
557372,B. Williams,B. Williams,,Southampton,,
538470,B. Williams,B. Williams,,Gateshead,,
492118,B. Wodskou,Ben Wodskou,England,Brackley Town,,
284215,B. Woods,Benjamin Woods,England,Peterborough,,
449056,Ben Lomax,Ben Lomax,England,Port Vale,,
330206,Bradley Mayo,Bradley Mayo,England,Birmingham,,
393349,Brandon Edward Bak,Brandon Edward Bak,England,Weston-super-Mare,,
615688,Brian Nelson,Brian Nelson,,Slough Town,,
2380,C. Akpom,Chuba Amechi Akpom,England,Ipswich,,
17431,C. Aneke,Chukwuemeka Ademola Amachi Aneke,England,Shrewsbury,,
538491,C. Bell,C. Bell,,Sutton Utd,,
122094,C. Bishop,Colby David Bishop,England,Portsmouth,,
20450,C. Blackett-Taylor,Corey Josiah Paul Blackett-Taylor,England,Derby,,
538398,C. Bone,C. Bone,,Gateshead,,
44939,C. Brown,Ciaron Maurice Brown,Northern Ireland,Oxford United,,
18251,C. Bush,Christopher Miles Bush,England,Boreham Wood,,
82670,C. Clayden,Charles Clayden,England,Boreham Wood,,
215132,C. Conn-Clarke,Christopher Seamus Michael Conn-Clarke,Northern Ireland,Carlisle,,
231051,C. Cooper,Chay Cooper,England,Braintree,,
18820,C. Coventry,Conor James Coventry,Republic of Ireland,Charlton,,
18989,C. Coxe,Cameron Terry Coxe,Wales,Boreham Wood,,
20403,C. Grant,Conor James Grant,England,Accrington ST,,
19714,C. Hall,Connor Matthew Hall,England,Brackley Town,,
45137,C. Harper,Cameron Harper,Scotland,Carlisle,,
570093,C. Ibeh,C. Ibeh,,Middlesbrough,,
18652,C. James,Cameron Lewis James,England,Maldon & Tiptree,,
152697,C. Johnston,Carl Robert Johnston,Northern Ireland,Peterborough,,
19529,C. Lakin,Charlie Lakin,England,Walsall,,
630605,C. Llyton,C. Llyton,,Wigan,,
412926,C. Makosso,Christ Melik Makosso,Congo,Luton; Oxford United,,
440043,C. McLean,Crispin McLean,England,Fleetwood Town,,
18866,C. Mepham,Christopher James Mepham,Wales,West Brom,,
20109,C. Nelson,Curtis Alexander Nelson,England,Derby,,
557442,C. O'Neill,C. O'Neill,,Arsenal,,
377796,C. O&apos;Brien,Connor O'Brien,England,Accrington ST,,
291019,C. O&apos;Connell,Charlie O'Connell,England,Boreham Wood,,
20138,C. Ogilvie,Connor Stuart Ogilvie,England,Portsmouth,,
17805,C. Pring,Cameron Lewis Moir-Pring,England,Bristol City,,
18386,C. Reynolds,Callum Reynolds,England,Boreham Wood,,
108046,C. Scott,Cedwyn Scott,England,South Shields,,
17577,C. Senior,Courtney Fitzroy Senior,England,Maldon & Tiptree,,
44875,C. Shaughnessy,Conor Glynn Shaughnessy,Republic of Ireland,Portsmouth,,
70908,C. Stockton,Cole John Stockton,England,Salford City,,
272558,C. Sykes,Cain Sykes,England,South Shields,,
344878,C. Tripp,Callum Tripp,England,Milton Keynes Dons,,
17926,C. Whelan,Callum Tyler Whelan,England,Carlisle,,
20286,Cameron Akash James Gregory,Cameron Akash James Gregory,England,Brackley Town,,
304318,Cameron Bragg,Cameron Bragg,England,Southampton,,
