external_id,player_id,name,firstname,lastname,full_name,nationality,teams,team_countries,leagues,current_name_ko,current_short_name_ko,method,matched_name,name_ko,short_name_ko,current_quality_bad
2,2560,M. Hitz,Marwin,Hitz,Marwin Hitz,Switzerland,FC Basel 1893,Switzerland,UEFA Champions League; UEFA Europa League,마빈 히츠,히츠,verified-seed-csv,player_translation_ucl_2025_remaining.csv,마빈 히츠,히츠,False
5,509,M. Akanji,Manuel Obafemi,Akanji,Manuel Obafemi Akanji,Switzerland,Inter; Manchester City; Switzerland,England; Italy; Switzerland,Premier League; UEFA Champions League; World Cup,마누엘 아칸지,아칸지,verified-seed-csv,player_translation_epl_2025.csv,마누엘 아칸지,아칸지,False
6,1113,L. Balerdi,Leonardo Julián,Balerdi Rosa,Leonardo Julián Balerdi Rosa,Argentina,Marseille,France,UEFA Champions League,레오나르도 발레르디,발레르디,wikidata-ko-label,Leonardo Balerdi Rosa,레오나르도 발레르디,발레르디,False
7,15603,A. Diallo,Abdou-Lakhad,Diallo,Abdou-Lakhad Diallo,Senegal,Senegal,Senegal,World Cup,압두 디알로,디알로,verified-seed-csv,player_translation_world_cup_2022.csv,압두 디알로,디알로,False
8,1323,Raphaël Guerreiro,Raphaël Adelino José,Guerreiro,Raphaël Adelino José Guerreiro,Portugal,Bayern München; Portugal,Germany; Portugal,UEFA Champions League; World Cup,라파엘 게레이루,게레이루,wikidata-ko-label,Raphaël Guerreiro,하파엘 게레이루,게레이루,False
9,1235,A. Hakimi,Achraf,Hakimi Mouh,Achraf Hakimi Mouh,Morocco,Morocco; Paris Saint Germain,France; Morocco,UEFA Champions League; World Cup,아히미,히미,manual-common-name,Achraf Hakimi,아슈라프 하키미,하키미,False
13,4238,D. Zagadou,Dan-Axel,Zagadou,Dan-Axel Zagadou,France,VfB Stuttgart,Germany,UEFA Europa League,당악셀 자가두,자가두,verified-seed-csv,player_translation_uel_2025_remaining.csv,당악셀 자가두,자가두,False
14,1472,M. Dahoud,Mahmoud,Dahoud,Mahmoud Dahoud,Germany,Eintracht Frankfurt,Germany,UEFA Champions League,마흐무드 다후드,다후드,verified-seed-csv,player_translation_ucl_2025_remaining.csv,마흐무드 다후드,다후드,False
15,2143,T. Delaney,Thomas Joseph,Delaney,Thomas Joseph Delaney,Denmark,Denmark; FC Copenhagen,Denmark,UEFA Champions League; World Cup,토마스 델라니,델라니,wikidata-ko-label,Thomas Joseph Delaney,토마스 델라니,델라니,False
16,1473,M. Götze,Mario,Götze,Mario Götze,Germany,Eintracht Frankfurt; Germany,Germany,UEFA Champions League; World Cup,마리오 괴체,괴체,verified-seed-csv,player_translation_ucl_2025_remaining.csv,마리오 괴체,괴체,False
17,17140,C. Pulišić,Christian Mate,Pulišić,Christian Mate Pulišić,USA,USA,USA,World Cup,크리스찬 마테 푸리시치,푸리시치,verified-seed-csv,player_translation_world_cup_2026.current_team.csv,크리스찬 마테 푸리시치,푸리시치,False
18,761,J. Sancho,Jadon Malik,Sancho,Jadon Malik Sancho,England,Aston Villa,England,FA Cup; League Cup; Premier League; UEFA Europa League,제이든 산초,산초,verified-seed-csv,player_translation_epl_2025.csv,제이든 산초,산초,False
19,16256,J. Weigl,Julian,Weigl,Julian Weigl,Germany,,,,,,wikidata-ko-label,Julian Weigl,율리안 바이글,바이글,False
20,15061,A. Witsel,Axel Laurent Angel,Lambert Witsel,Axel Laurent Angel Lambert Witsel,Belgium,Belgium,Belgium,World Cup,악셀 비첼,비첼,verified-seed-csv,player_translation_world_cup_2026.current_team.csv,악셀 비첼,비첼,False
22,297,J. Bruun Larsen,Jacob,Bruun Larsen,Jacob Bruun Larsen,Denmark,Burnley,England,FA Cup; Premier League,야콥 브룬 라르센,브룬 라르센,verified-seed-csv,player_translation_epl_2025.csv,야콥 브룬 라르센,브룬 라르센,False
24,4206,M. Philipp,Maximilian Marcus,Philipp,Maximilian Marcus Philipp,Germany,SC Freiburg,Germany,UEFA Europa League,막시밀리안 필리프,필리프,verified-seed-csv,player_translation_uel_2025_remaining.csv,막시밀리안 필리프,필리프,False
25,16271,M. Reus,Marco,Reus,Marco Reus,Germany,,,,,,wikidata-ko-label,Marco Reus,마르코 로이스,로이스,False
29,2372,J. Oblak,Jan,Oblak,Jan Oblak,Slovenia,Atletico Madrid,Spain,UEFA Champions League,얀 오블라크,오블라크,verified-seed-csv,player_translation_ucl_2025_remaining.csv,얀 오블라크,오블라크,False
30,17516,S. Arias,Santiago,Arias Naranjo,Santiago Arias Naranjo,Colombia,,,,산티아고 아리아스 나란호,아리아스,verified-seed-csv,player_translation_world_cup_2026.current_team.csv,산티아고 아리아스 나란호,아리아스,False
31,2392,J. Giménez,José María,Giménez de Vargas,José María Giménez de Vargas,Uruguay,Atletico Madrid; Uruguay,Spain; Uruguay,UEFA Champions League; World Cup,호세 마리아 히메네스,마리아 히메네스,wikidata-ko-label,José María Giménez de Vargas,호세 마리아 히메네스,히메네스,False
32,15305,D. Godín,Diego Roberto,Godín Leal,Diego Roberto Godín Leal,Uruguay,Uruguay,Uruguay,World Cup,디에고 고딘,고딘,verified-seed-csv,player_translation_world_cup_2022.csv,디에고 고딘,고딘,False
33,1236,L. Hernández,Lucas François Bernard,Hernández,Lucas François Bernard Hernández,France,France; Paris Saint Germain,France,UEFA Champions League; World Cup,루카스 프랑수아 베르나르 에르난데스,에르난데스,verified-seed-csv,player_translation_ucl_2025_remaining.csv,루카스 프랑수아 베르나르 에르난데스,에르난데스,False
37,4360,N. Pérez,Patricio Nehuén,Pérez,Patricio Nehuén Pérez,Argentina,,,,파트리시오 페레스,페레스,verified-seed-csv,player_translation_world_cup_2026.current_team.csv,파트리시오 페레스,페레스,False
44,529,Rodri,Rodrigo,Hernández Cascante,Rodrigo Hernández Cascante,Spain,Manchester City; Spain,England; Spain,FA Cup; League Cup; Premier League; UEFA Champions League; World Cup,로드리,로드리,verified-seed-csv,player_translation_epl_2025.csv,로드리,로드리,False
49,2485,T. Partey,Thomas,Teye Partey,Thomas Teye Partey,Ghana,Ghana; Villarreal,Ghana; Spain,UEFA Champions League; World Cup,토머스 파티,파티,verified-seed-csv,player_translation_ucl_2025_remaining.csv,토머스 파티,파티,False
50,2373,Koke,Jorge,Resurrección Merodio,Jorge Resurrección Merodio,Spain,Atletico Madrid; Spain,Spain,UEFA Champions League; World Cup,코케,코케,wikidata-ko-label,Jorge Resurrección Merodio,코케,코케,False
53,2374,Á. Correa,Ángel Martín,Correa Martínez,Ángel Martín Correa Martínez,Argentina,Argentina,Argentina,World Cup,A. 코레아,코레아,manual-common-name,Ángel Correa,앙헬 코레아,코레아,True
56,2393,A. Griezmann,Antoine,Griezmann,Antoine Griezmann,France,Atletico Madrid; France,France; Spain,UEFA Champions League; World Cup,안투안 그리즈만,그리즈만,wikidata-ko-label,Antoine Griezmann,앙투안 그리즈만,그리즈만,False
59,3368,Álvaro Morata,Álvaro Borja,Morata Martín,Álvaro Borja Morata Martín,Spain,Spain,Spain,World Cup,알바로 모라타,모라타,verified-seed-csv,player_translation_world_cup_2022.csv,알바로 모라타,모라타,False
62,7505,E. Horvath,Ethan Shea,Horvath,Ethan Shea Horvath,USA,Sheffield Wednesday; USA,England; USA,League Cup; World Cup,이선 호바스,호바스,verified-seed-csv,player_translation_league_cup_2025_remaining.csv,이선 호바스,호바스,False
64,17261,K. Letica,Karlo,Letica,Karlo Letica,Croatia,,,,카를로 레티차,레티차,verified-seed-csv,player_translation_world_cup_2026.current_team.csv,카를로 레티차,레티차,False
68,4090,Clinton Mata,Clinton,Mukoni Mata Pedro Lourenço,Clinton Mukoni Mata Pedro Lourenço,Angola,Lyon,France,UEFA Europa League,클린통 마타,마타,verified-seed-csv,player_translation_uel_2025_remaining.csv,클린통 마타,마타,False
69,2895,B. Mechele,Brandon,Mechele,Brandon Mechele,Belgium,Club Brugge KV,Belgium,UEFA Champions League,브랜던 메헬러,메헬러,verified-seed-csv,player_translation_ucl_2025_priority.csv,브랜던 메헬러,메헬러,False
74,3219,S. Amrabat,Sofyan,Amrabat,Sofyan Amrabat,Morocco,Fenerbahçe; Morocco; Real Betis,Morocco; Spain; Turkey,UEFA Champions League; UEFA Europa League; World Cup,소피안 암라바트,암라바트,wikidata-ko-label,Sofyan Amrabat,소피안 암라바트,암라바트,False
76,8904,M. Nakamba,Marvelous,Nakamba,Marvelous Nakamba,Zimbabwe,,,,,,wikidata-ko-label,Marvelous Nakamba,마블러스 나캄바,나캄바,False
77,5310,M. Rits,Mats,Rits,Mats Rits,Belgium,,,,,,wikidata-ko-label,Mats Rits,마츠 리츠,리츠,False
78,2875,H. Vanaken,Hans,Vanaken,Hans Vanaken,Belgium,Belgium; Club Brugge KV,Belgium,UEFA Champions League; World Cup,한스 바나켄,바나켄,verified-seed-csv,player_translation_ucl_2025_priority.csv,한스 바나켄,바나켄,False
81,1280,K. Diatta,Krépin,Diatta,Krépin Diatta,Senegal,Monaco; Senegal,France; Senegal,UEFA Champions League; World Cup,크레핀 디아타,디아타,verified-seed-csv,player_translation_ucl_2025_remaining.csv,크레핀 디아타,디아타,False
82,15563,N. Fadiga,Noah,Fadiga,Noah Fadiga,Senegal,,,,,,nationality-phonetic:Senegal:french,Noah Fadiga,노아 파디가,파디가,False
83,2465,A. Danjuma,Arnaut,Danjuma Adam Groeneveld,Arnaut Danjuma Adam Groeneveld,Netherlands,,,,,,wikidata-ko-label,Arnaut Danjuma,아르나우트 단주마,단주마,False
86,2225,L. Openda,Ikoma-Loïs,Openda,Ikoma-Loïs Openda,Belgium,Belgium; Juventus,Belgium; Italy,UEFA Champions League; World Cup,이코마-로이스 오펜다,오펜다,verified-seed-csv,player_translation_ucl_2025_remaining.csv,이코마-로이스 오펜다,오펜다,False
87,16014,K. Rezaei,Kaveh,Rezaei,Kaveh Rezaei,Iran,,,,,,nationality-phonetic:Iran:persian,Kaveh Rezaei,카베흐 레즈아아이,레즈아아이,False
95,456,B. Badiashile,Benoît Ntambue,Badiashile Mukinayi Baya,Benoît Ntambue Badiashile Mukinayi Baya,France,Chelsea,England,FA Cup; League Cup; Premier League; UEFA Champions League,비. 바디아실,바디아실,verified-seed-csv,player_translation_epl_2025_remaining.csv,베누아 땀부 비아디아실레 무키나이 바야,비아디아실레,False
97,16209,K. Glik,Kamil Jacek,Glik,Kamil Jacek Glik,Poland,Poland,Poland,World Cup,카밀 글리크,글리크,verified-seed-csv,player_translation_world_cup_2022.csv,카밀 글리크,글리크,False
98,16252,B. Henrichs,Benjamin Paa Kwesi,Henrichs,Benjamin Paa Kwesi Henrichs,Germany,,,,,,wikidata-ko-label,Benjamin Paa Kwesi Henrichs,베냐민 헨릭스,헨릭스,False
99,6105,R. Pierre-Gabriel,Ronaël Julien,Pierre-Gabriel,Ronaël Julien Pierre-Gabriel,France,,,,,,nationality-phonetic:France:french,Ronaël Julien Pierre-Gabriel,로나에르 주우리느 피르레-가브리엘,피르레-가브리엘,False
105,15624,F. Ballo-Touré,Fodé,Ballo-Touré,Fodé Ballo-Touré,Senegal,Senegal,Senegal,World Cup,포데 발로투레,발로투레,verified-seed-csv,player_translation_world_cup_2022.csv,포데 발로투레,발로투레,False
107,1183,S. Diop,Sofiane,Diop,Sofiane Diop,France,Nice,France,UEFA Champions League; UEFA Europa League,소피안 디옵,디옵,verified-seed-csv,player_translation_ucl_2025_remaining.csv,소피안 디옵,디옵,False
109,1260,A. Golovin,Aleksandr,Golovin,Aleksandr Golovin,Russia,Monaco,France,UEFA Champions League,알렉산드르 골로빈,골로빈,verified-seed-csv,player_translation_ucl_2025_remaining.csv,알렉산드르 골로빈,골로빈,False
113,16906,G. Nkoudou,Georges-Kévin,Nkoudou Mbida,Georges-Kévin Nkoudou Mbida,Cameroon,Cameroon,Cameroon,World Cup,조르주케뱅 은쿠두,은쿠두,verified-seed-csv,player_translation_world_cup_2022.csv,조르주케뱅 은쿠두,은쿠두,False
116,2205,K. Thuram,Khéphren,Thuram-Ulien,Khéphren Thuram-Ulien,France,Juventus,Italy,UEFA Champions League,케프렌 투람,투람,wikidata-ko-label,Khéphren Thuram-Ulien,케프렌 튀람,튀람,False
118,2621,Gelson Martins,Gelson Dany,Batalha Martins,Gelson Dany Batalha Martins,Portugal,Olympiakos Piraeus,Greece,UEFA Champions League,젤송 마르틴스,마르틴스,verified-seed-csv,player_translation_ucl_2025_priority.csv,젤송 마르틴스,마르틴스,False
124,16678,J. Cillessen,Jasper,Cillessen,Jasper Cillessen,Netherlands,,,,,,wikidata-ko-label,Jasper Cillessen,야스퍼르 실레선,실레선,False
126,2355,Iñaki Peña,Ignacio,Peña Sotorres,Ignacio Peña Sotorres,Spain,,,,,,wikidata-ko-label,Ignacio Peña Sotorres,이냐키 페냐,페냐,False
127,2356,M. ter Stegen,Marc-André,ter Stegen,Marc-André ter Stegen,Germany,Barcelona; Germany,Germany; Spain,UEFA Champions League; World Cup,마르크안드레 테어 슈테겐,슈테겐,verified-seed-csv,player_translation_ucl_2025_remaining.csv,마르크안드레 테어 슈테겐,슈테겐,False
128,15340,Jordi Alba,Jordi,Alba Ramos,Jordi Alba Ramos,Spain,Spain,Spain,World Cup,호르디 알바,알바,verified-seed-csv,player_translation_world_cup_2022.csv,호르디 알바,알바,False
130,3259,Nélson Semedo,Nélson,Cabral Semedo,Nélson Cabral Semedo,Portugal,Fenerbahçe; Portugal,Portugal; Turkey,UEFA Champions League; UEFA Europa League; World Cup,넬손 세메도,세메도,wikidata-ko-label,Nélson Cabral Semedo,넬송 세메두,세메두,False
131,120,Jorge Cuenca,Jorge,Cuenca Barreno,Jorge Cuenca Barreno,Spain,Fulham,England,FA Cup; League Cup; Premier League,호르헤 쿠엔카,쿠엔카,verified-seed-csv,player_translation_epl_2025.csv,호르헤 쿠엔카,쿠엔카,False
133,2394,C. Lenglet,Clément Nicolas Laurent,Lenglet,Clément Nicolas Laurent Lenglet,France,Atletico Madrid,Spain,UEFA Champions League,클레멘 랑글레,랑글레,wikidata-ko-label,Clément Nicolas Laurent Lenglet,클레망 랑글레,랑글레,False
134,5030,Juan Miranda,Juan,Miranda González,Juan Miranda González,Spain,Bologna,Italy,UEFA Europa League,후안 미란다,미란다,verified-seed-csv,player_translation_uel_2025_remaining.csv,후안 미란다,미란다,False
138,409,J. Todibo,Jean-Clair Dimitri Roger,Todibo,Jean-Clair Dimitri Roger Todibo,France,West Ham,England,FA Cup; League Cup; Premier League,장클레르 토디보,토디보,verified-seed-csv,player_translation_league_cup_2025_remaining.csv,장클레르 토디보,토디보,False
141,15584,M. Wagué,Moussa,Wagué,Moussa Wagué,Senegal,,,,,,wikidata-ko-label,Moussa Wagué,무사 와귀에,와귀에,False
144,15321,Sergio Busquets,Sergio,Busquets Burgos,Sergio Busquets Burgos,Spain,Spain,Spain,World Cup,세르히오 부스케츠,부스케츠,verified-seed-csv,player_translation_world_cup_2022.csv,세르히오 부스케츠,부스케츠,False
147,15249,Philippe Coutinho,Philippe,Coutinho Correia,Philippe Coutinho Correia,Brazil,,,,,,wikidata-ko-label,Philippe Coutinho Correia,필리피 쿠티뉴,쿠티뉴,False
150,2206,Arthur,Arthur Henrique,Ramos de Oliveira Melo,Arthur Henrique Ramos de Oliveira Melo,Brazil,,,,,,wikidata-ko-label,Arthur Henrique Ramos de Oliveira Melo,아르투르 멜루,멜루,False
153,1237,O. Dembélé,Masour Ousmane,Dembélé,Masour Ousmane Dembélé,France,France; Paris Saint Germain,France,UEFA Champions League; World Cup,오스만 덤벨레,덤벨레,wikidata-ko-label,Masour Ousmane Dembélé,우스만 뎀벨레,뎀벨레,False
154,16288,L. Messi,Lionel Andrés,Messi Cuccittini,Lionel Andrés Messi Cuccittini,Argentina,Argentina,Argentina,World Cup,리오넬 메시,메시,verified-seed-csv,player_translation_world_cup_2026.current_team.csv,리오넬 메시,메시,False
156,15223,Malcom,Malcom Filipe,Silva de Oliveira,Malcom Filipe Silva de Oliveira,Brazil,,,,,,wikidata-ko-label,Malcom Filipe Silva de Oliveira,마우콩,마우콩,False
157,15318,L. Suárez,Luis Alberto,Suárez Díaz,Luis Alberto Suárez Díaz,Uruguay,Uruguay,Uruguay,World Cup,루이스 알베르토 수아레스,수아레스,verified-seed-csv,player_translation_world_cup_2026.current_team.csv,루이스 알베르토 수아레스,수아레스,False
159,15143,H. Lloris,Hugo Hadrien Dominique,Lloris,Hugo Hadrien Dominique Lloris,France,France,France,World Cup,위고 요리스,요리스,verified-seed-csv,player_translation_world_cup_2022.csv,위고 요리스,요리스,False
162,15096,T. Alderweireld,Toby Albertine Maurits,Alderweireld,Toby Albertine Maurits Alderweireld,Belgium,Belgium,Belgium,World Cup,토비 알데르베이럴트,알데르베이럴트,verified-seed-csv,player_translation_world_cup_2022.csv,토비 알데르베이럴트,알데르베이럴트,False
164,353,B. Davies,Benjamin Thomas,Davies,Benjamin Thomas Davies,Wales,Tottenham; Wales,England; Wales,FA Cup; Premier League; UEFA Champions League; World Cup,벤 데이비스,데이비스,verified-seed-csv,player_translation_ucl_2025_remaining.csv,벤 데이비스,데이비스,False
166,2486,J. Foyth,Juan Marcos,Foyth,Juan Marcos Foyth,Argentina,Argentina; Villarreal,Argentina; Spain,UEFA Champions League; World Cup,후안 포이스,포이스,verified-seed-csv,player_translation_ucl_2025_remaining.csv,후안 포이스,포이스,False
168,3369,D. Sánchez,Davinson,Sánchez Mina,Davinson Sánchez Mina,Colombia,Galatasaray,Turkey,UEFA Champions League,다빈손 산체스,산체스,current-clean-ko,player_translation,다빈손 산체스,산체스,False
