external_id,eng_name,name_ko,short_name_ko
2,M. Hitz,마빈 히츠,히츠
5,M. Akanji,마누엘 아칸지,아칸지
6,L. Balerdi,레오나르도 발레르디,발레르디
7,A. Diallo,압두 디알로,디알로
8,Raphaël Guerreiro,하파엘 게레이루,게레이루
9,A. Hakimi,아슈라프 하키미,하키미
13,D. Zagadou,당악셀 자가두,자가두
14,M. Dahoud,마흐무드 다후드,다후드
15,T. Delaney,토마스 델라니,델라니
16,M. Götze,마리오 괴체,괴체
17,C. Pulišić,크리스찬 마테 푸리시치,푸리시치
18,J. Sancho,제이든 산초,산초
19,J. Weigl,율리안 바이글,바이글
20,A. Witsel,악셀 비첼,비첼
22,J. Bruun Larsen,야콥 브룬 라르센,브룬 라르센
24,M. Philipp,막시밀리안 필리프,필리프
25,M. Reus,마르코 로이스,로이스
29,J. Oblak,얀 오블라크,오블라크
30,S. Arias,산티아고 아리아스 나란호,아리아스
31,J. Giménez,호세 마리아 히메네스,히메네스
32,D. Godín,디에고 고딘,고딘
33,L. Hernández,루카스 프랑수아 베르나르 에르난데스,에르난데스
37,N. Pérez,파트리시오 페레스,페레스
44,Rodri,로드리,로드리
49,T. Partey,토머스 파티,파티
50,Koke,코케,코케
53,Á. Correa,앙헬 코레아,코레아
56,A. Griezmann,앙투안 그리즈만,그리즈만
59,Álvaro Morata,알바로 모라타,모라타
62,E. Horvath,이선 호바스,호바스
64,K. Letica,카를로 레티차,레티차
68,Clinton Mata,클린통 마타,마타
69,B. Mechele,브랜던 메헬러,메헬러
74,S. Amrabat,소피안 암라바트,암라바트
76,M. Nakamba,마블러스 나캄바,나캄바
77,M. Rits,마츠 리츠,리츠
78,H. Vanaken,한스 바나켄,바나켄
81,K. Diatta,크레핀 디아타,디아타
82,N. Fadiga,노아 파디가,파디가
83,A. Danjuma,아르나우트 단주마,단주마
86,L. Openda,이코마-로이스 오펜다,오펜다
87,K. Rezaei,카베흐 레즈아아이,레즈아아이
95,B. Badiashile,베누아 땀부 비아디아실레 무키나이 바야,비아디아실레
97,K. Glik,카밀 글리크,글리크
98,B. Henrichs,베냐민 헨릭스,헨릭스
99,R. Pierre-Gabriel,로나에르 주우리느 피르레-가브리엘,피르레-가브리엘
105,F. Ballo-Touré,포데 발로투레,발로투레
107,S. Diop,소피안 디옵,디옵
109,A. Golovin,알렉산드르 골로빈,골로빈
113,G. Nkoudou,조르주케뱅 은쿠두,은쿠두
116,K. Thuram,케프렌 튀람,튀람
118,Gelson Martins,젤송 마르틴스,마르틴스
124,J. Cillessen,야스퍼르 실레선,실레선
126,Iñaki Peña,이냐키 페냐,페냐
127,M. ter Stegen,마르크안드레 테어 슈테겐,슈테겐
128,Jordi Alba,호르디 알바,알바
130,Nélson Semedo,넬송 세메두,세메두
131,Jorge Cuenca,호르헤 쿠엔카,쿠엔카
133,C. Lenglet,클레망 랑글레,랑글레
134,Juan Miranda,후안 미란다,미란다
138,J. Todibo,장클레르 토디보,토디보
141,M. Wagué,무사 와귀에,와귀에
144,Sergio Busquets,세르히오 부스케츠,부스케츠
147,Philippe Coutinho,필리피 쿠티뉴,쿠티뉴
150,Arthur,아르투르 멜루,멜루
153,O. Dembélé,우스만 뎀벨레,뎀벨레
154,L. Messi,리오넬 메시,메시
156,Malcom,마우콩,마우콩
157,L. Suárez,루이스 알베르토 수아레스,수아레스
159,H. Lloris,위고 요리스,요리스
162,T. Alderweireld,토비 알데르베이럴트,알데르베이럴트
164,B. Davies,벤 데이비스,데이비스
166,J. Foyth,후안 포이스,포이스
168,D. Sánchez,다빈손 산체스,산체스
169,K. Trippier,키어런 트리피어,트리피어
170,J. Vertonghen,얀 베르통헨,베르통헨
171,K. Walker-Peters,카일 워커피터스,워커피터스
173,L. Amos,루크 아모스,아모스
174,C. Eriksen,크리스티안 에릭센,에릭센
175,E. Dier,에릭 다이어,다이어
178,Lucas Moura,루카스 모우라,모우라
179,M. Sissoko,무사 시소코,시소코
180,O. Skipp,올리버 스킵,스킵
182,H. Winks,해리 윙크스,윙크스
183,V. Janssen,빈센트 얀선,얀선
184,H. Kane,해리 케인,케인
186,Son Heung-Min,손흥민,손흥민
190,Cédric Soares,세드릭 소아레스,소아레스
194,S. de Vrij,스테판 더 프레이,프레이
195,Miranda,미란다,미란다
198,M. Škriniar,밀란 슈크리니아르,슈크리니아르
199,Šime Vrsaljko,시메 브르살코,브르살코
201,M. Brozović,마르첼로 브로조비치,브로조비치
206,João Mário,주앙 마리우,마리우
207,I. Perišić,이반 페리시치,페리시치
211,M. Vecino,마티아스 베치노 파레로,베치노
213,K. Baldé,케이타 발데 디아오,디아오
215,S. Esposito,세바스티아노 에스포지토,에스포지토
216,M. Icardi,마우로 이카르디,이카르디
217,Lautaro Martínez,라우타로 마르티네스,마르티네스
219,M. Politano,마테오 폴리타노,폴리타노
221,E. Room,엘로이 롬,롬
225,A. Behich,아지즈 베히치,베히치
226,D. Dumfries,덴절 둠프리스,둠프리스
227,Angeliño,앙헬리뇨,앙헬리뇨
228,A. Obispo,아르만도 오비스포,오비스포
229,T. Sainsbury,트렌트 세인스버리,세인스버리
231,J. Teze,조던 테제,테제
232,N. Viergever,닉 비에르허,닉
233,Mauro Júnior,마우로 주니어,주니어
234,É. Gutiérrez,에리크 구티에레스,구티에레스
237,G. Pereiro,가스토느 로드리고 페라이로 로페스,페라이로
240,P. Rosario,파블로 파울리노 로사리오,로사리오
241,M. Sadílek,미할 사딜레크,사딜레크
243,Z. Aboukhlal,자카리아 아부클랄,아부클랄
244,S. Bergwijn,스테번 베르흐베인,베르흐베인
246,L. de Jong,뤽 더 용,용
247,C. Gakpo,코디 각포,각포
248,H. Lozano,이르빙 로사노,로사노
249,D. Malen,도니얼 말런,말런
250,J. Piroe,요엘 피루,피루
253,A. Areola,알퐁스 아레올라,아레올라
256,Dani Alves,다니 아우베스,아우베스
257,Marquinhos,마르쿠스 아오아스 코헤아,코헤아
258,Juan Bernat,후안 베르나트,베르나트
259,Thiago Silva,치아구 시우바,시우바
261,T. Kehrer,얀 틸로 케러,케러
262,P. Kimpembe,프레스넬 킴펨베,킴펨베
264,T. Meunier,토마스 뫼니에,뫼니에
266,Á. Di María,앙헬 디 마리아,마리아
267,J. Draxler,율리안 드락슬러,드락슬러
269,C. Nkunku,크리스토페르 은쿤쿠,은쿤쿠
