external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
325969,A. Abdulai,Azeem Kerr Abdulai,Scotland,Leyton Orient,,
286505,A. Adeyemo,Ade Adeyemo,England,Crawley Town,,
432451,A. Allen,A. Allen,,Stockport County,,
18392,A. Charles,Ashley James Charles,Grenada,Bromley,,
18913,A. Driscoll-Glennon,Anthony David Driscoll-Glennon,England,Newport County,,
20370,A. Hartigan,Anthony Hartigan,England,Barnet,,
19786,A. Jackson,Adam Lewis Jackson,England,Lincoln,,
375881,A. James,Aaron James,England,Wrexham,,
19929,A. Lewis,Aaron James Lewis,Wales,Mansfield Town,,
394600,A. Mee,Ashton Mee,England,Stockport County,,
20488,A. O&apos;Connor,Anthony Dean O'Connor,Republic of Ireland,Harrogate Town,,
231062,A. Okonkwo,Arthur Chukwuezugo Okonkwo,England,Wrexham,,
342665,A. Oluwabori,Andrew Jose Oluwabori,Nigeria,Exeter City,,
282755,A. Oluwo,Adebola Oluwo,England,Salford City,,
322621,A. Papadopoulos,Antony Papadopoulos,England,Crawley Town,,
412021,A. Popoola,Anjola Popoola,England,Accrington ST,,
19382,A. Reach,Adam Michael Reach,England,Lincoln,,
19777,A. Read,Arthur James Read,England,Colchester,,
127213,A. Senior,Adam Nicholas Senior,England,Barnet,,
380713,A. Stepien-Iwumene,Alex Stepien-Iwumene,England,Bromley,,
408302,A. Thibaut,Adrien Thibaut,Republic of Ireland,Crewe,,
394157,Adrian Moyosoreoluwa Ameer Akande,Adrian Moyosoreoluwa Ameer Akande,Nigeria,Colchester,,
444299,Alex Henderson,Alex Henderson,England,Accrington ST,,
400336,Arkelle Nicholas Cecil Jude-Boyd,Arkelle Nicholas Cecil Jude-Boyd,England,Cheltenham,,
318999,B. Andrésson,Benoný Breki Andrésson,Iceland,Stockport County,,
17422,B. Cargill,Baily James Cargill,England,Mansfield Town,,
19315,B. Cooper,Brandon James Cooper,Wales,Leyton Orient,,
82007,B. Cotter,Barry Noel Cotter,Republic of Ireland,Notts County,,
346525,B. Faulkner,Bobby Faulkner,England,Harrogate Town,,
20029,B. Fox,Benjamin Jake Fox,England,Harrogate Town,,
118391,B. Hinchliffe,Ben Hinchiffe,England,Stockport County,,
17730,B. House,Benjamin House,Scotland,Lincoln,,
313637,B. Ilunga,Brooklyn Ilunga,England,Bromley,,
127119,B. Jackson,Ben Joseph Jackson,England,Barrow,,
291109,B. Kamwa,Bobby-Emmanuel Kamwa,Cameroon,Newport County,,
144733,B. Knight,Benjamin Leo Knight,England,Cambridge United,,
341326,B. Krauhaus,Ben Krauhaus,England,Bromley,,
325968,B. Lloyd,Ben Lloyd,Wales,Newport County,,
19854,B. Morris,Bryn Andrew Morris,England,Harrogate Town,,
19818,B. Purrington,Ben Purrington,England,Cambridge United,,
326871,B. Radcliffe,Ben Radcliffe,England,Crawley Town,,
19644,B. Thompson,Ben Rhys Thompson,England,Bromley,,
20466,B. Webster,Byron Clark Webster,England,Bromley,,
138832,B. Winterbottom,Benjamin Harry Winterbottom,England,Barrow,,
301,B. Woodburn,Benjamin Luke Woodburn,Wales,Salford City,,
288201,Ben Hughes,Ben Hughes,Wales,Cambridge United,,
