external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
388461,A. Abdullahi,Ahmed Abdullahi,Nigeria,Sunderland,,
19183,A. Adomah,Albert Danquah Adomah,Ghana,Walsall,,
437566,A. Ahmed,Ashqar Ahmed,England,Reading,,
82047,A. Baldwin,Aden William James Baldwin,England,Bradford,,
18858,A. Begović,Asmir Begović,Bosnia and Herzegovina,Leicester,,
199310,A. Ben Slimane,Anis Ben Slimane,Tunisia,Norwich,,
344169,A. Benarous,Ayman Omar Benarous,England,Plymouth,,
379150,A. Brooks,Andre Chance Brooks,England,Sheffield Utd,,
137301,A. Cochrane,Alexander William Cochrane,England,Birmingham,,
17602,A. Collins,Archie Finn Collins,England,Peterborough,,
20444,A. Cook,Andrew Ellis Cook,England,Bradford,,
309501,A. Cozier-Duberry,Amario Cozier-Duberry,England,Bolton,,
18813,A. Cresswell,Aaron William Cresswell,England,Stoke City,,
310700,A. Crnac,Ante Crnac,Croatia,Norwich,,
19779,A. Davies,Adam Rhys Davies,Wales,Sheffield Utd,,
273757,A. Devine,Alfie Sean Devine,England,Preston,,
127203,A. Dobra,Armando Dobra,Albania,Chesterfield,,
19734,A. Dozzell,Andre Leon Dozzell,England,Portsmouth,,
69406,A. Drinan,Aaron John Drinan,Republic of Ireland,Swindon Town,,
199856,A. Emakhu,Aidomo Emakhu,Republic of Ireland,Millwall,,
19064,A. Famewo,Akinlolu Richard Olamide Famewo,England,Hull City,,
81996,A. Fisher,Andrew Lee Fisher,England,Swansea,,
19251,A. Fletcher,Ashley Michael Fletcher,England,Blackpool,,
19230,A. Flint,Aden Flint,England,Walsall,,
454017,A. Garcia,Andre Garcia,England,Reading,,
215873,A. Gilbert,Alexander George Henry Gilbert,Republic of Ireland,Middlesbrough,,
17434,A. Gilbey,Alexander Scott Gilbey,England,Milton Keynes Dons,,
20311,A. Gilliead,Alex Nicholas Gilliead,England,Shrewsbury,,
498375,A. Gregory,Arthur Gregory,England,Wycombe,,
277716,A. Hackford,Antwoine Hackford,England,AFC Wimbledon,,
15927,A. Hagelskjær,Anders Laurits Hagelskjær,Denmark,Wycombe,,
17594,A. Hartridge,Alex Duncan Hartridge,England,Wycombe,,
133916,A. Heggebø,Aune Selland Heggebø,Norway,West Brom,,
306954,A. Henriksson,Per Axel Nils Henriksson,Sweden,Blackburn,,
17534,A. Hughes,Andrew Martyn Hughes,Wales,Preston,,
18938,A. Jones,Alfie Jones,England,Middlesbrough,,
284441,A. Kamara,Abu Kamara,England,Hull City,,
384828,A. Kanté,Abdoulaye Raslan Kanté,France,Middlesbrough,,
30998,A. Kargbo,Augustus Kargbo,Sierra Leone,Blackburn,,
20201,A. Kilgour,Alfie George Alexander Kilgour,England,Bristol Rovers,,
138826,A. Lewis,Adam Thomas Lewis,England,Chesterfield,,
106737,A. Little,Armani George Little,England,Gillingham,,
138423,A. Lowry,Alexander Lowry,Scotland,Wycombe,,
69288,A. Lyons,Andrew Lyons,Republic of Ireland,Blackpool,,
162199,A. Martha,Ar'jany Martha,Netherlands,Rotherham,,
19938,A. May,Alfie Ben May,England,Huddersfield,,
19809,A. Maynard-Brewer,Ashley Maynard-Brewer,Australia,Charlton,,
382928,A. Mayor,Adam Mayor,England,Millwall,,
70519,A. McCann,Alistair Edward McCann,Northern Ireland,Preston,,
18935,A. McCarthy,Alex Simon McCarthy,England,Southampton,,
286349,A. Mehmeti,Anis Mehmeti,Albania,Bristol City,,
311101,A. Mitchell,Alexander Paul Mitchell,England,Charlton; Plymouth,,
20247,A. Morley,Aaron Paul Morley,England,Bolton,,
201714,A. Morris,Aidan Zen Patrick Morris,USA,Middlesbrough,,
19799,A. Mowatt,Alex James Mowatt,England,West Brom,,
445922,A. Mwamba,Alan Isaac Mwamba,England,Charlton,,
8876,A. Nemane,Aaron Evans Nemane,France,Milton Keynes Dons,,
19727,A. Nsiala,Aristote Nsiala,Congo DR,Shrewsbury,,
192076,A. Odoh,Abraham Ifoghale Odoh,England,Peterborough,,
