external_id,eng_name,full_name,team,method,matched_name,name_ko,short_name_ko
325969,A. Abdulai,Azeem Kerr Abdulai,Leyton Orient,phonetic-fallback-openai,,아제임 케르 아브두라이,아브두라이
286505,A. Adeyemo,Ade Adeyemo,Crawley Town,phonetic-fallback-openai,,아데 아데예모,아데예모
432451,A. Allen,A. Allen,Stockport County,phonetic-fallback-openai,,에이 알렌,알렌
18392,A. Charles,Ashley James Charles,Bromley,phonetic-fallback-openai,,애슐리 제임스 찰스,찰스
18913,A. Driscoll-Glennon,Anthony David Driscoll-Glennon,Newport County,phonetic-fallback-openai,,앤서니 데이비드 드리스콜-글레논,드리스콜-글레논
20370,A. Hartigan,Anthony Hartigan,Barnet,phonetic-fallback-openai,,앤서니 하티건,하티건
19786,A. Jackson,Adam Lewis Jackson,Lincoln,phonetic-fallback-openai,,아담 루이스 잭슨,잭슨
375881,A. James,Aaron James,Wrexham,phonetic-fallback-openai,,아론 제임스,제임스
19929,A. Lewis,Aaron James Lewis,Mansfield Town,phonetic-fallback-openai,,아론 제임스 루이스,루이스
394600,A. Mee,Ashton Mee,Stockport County,phonetic-fallback-openai,,애슈턴 미,미
20488,A. O&apos;Connor,Anthony Dean O'Connor,Harrogate Town,phonetic-fallback-openai,,앤서니 딘 오코너,오코너
231062,A. Okonkwo,Arthur Chukwuezugo Okonkwo,Wrexham,phonetic-fallback-openai,,아서 츄쿠에주고 오코쿠오,오코쿠오
342665,A. Oluwabori,Andrew Jose Oluwabori,Exeter City,phonetic-fallback-openai,,앤드루 호세 올루와보리,올루와보리
282755,A. Oluwo,Adebola Oluwo,Salford City,phonetic-fallback-openai,,아데볼라 올우오,올우오
322621,A. Papadopoulos,Antony Papadopoulos,Crawley Town,phonetic-fallback-openai,,안토니 파파도폴로스,파파도폴로스
412021,A. Popoola,Anjola Popoola,Accrington ST,phonetic-fallback-openai,,안졸라 포푸라,포푸라
19382,A. Reach,Adam Michael Reach,Lincoln,phonetic-fallback-openai,,아담 마이클 리치,리치
19777,A. Read,Arthur James Read,Colchester,phonetic-fallback-openai,,아서 제임스 리드,리드
127213,A. Senior,Adam Nicholas Senior,Barnet,phonetic-fallback-openai,,아담 니콜라스 세니어,세니어
380713,A. Stepien-Iwumene,Alex Stepien-Iwumene,Bromley,phonetic-fallback-openai,,알렉스 스테피엔-이우메네,스테피엔-이우메네
408302,A. Thibaut,Adrien Thibaut,Crewe,phonetic-fallback-openai,,아드리앙 티보,티보
394157,Adrian Moyosoreoluwa Ameer Akande,Adrian Moyosoreoluwa Ameer Akande,Colchester,phonetic-fallback-openai,,에드리안 모요소레올루와 아칸데,아칸데
444299,Alex Henderson,Alex Henderson,Accrington ST,phonetic-fallback-openai,,알렉스 헨더슨,헨더슨
400336,Arkelle Nicholas Cecil Jude-Boyd,Arkelle Nicholas Cecil Jude-Boyd,Cheltenham,phonetic-fallback-openai,,아켈 니콜라스 세실 주드-보이드,주드-보이드
318999,B. Andrésson,Benoný Breki Andrésson,Stockport County,phonetic-fallback-openai,,베노니 브레키 안드레손,안드레손
17422,B. Cargill,Baily James Cargill,Mansfield Town,wikidata-ko-label,Baily Cargill,베일리 카길,카길
19315,B. Cooper,Brandon James Cooper,Leyton Orient,phonetic-fallback-openai,,브랜든 제임스 쿠퍼,쿠퍼
82007,B. Cotter,Barry Noel Cotter,Notts County,phonetic-fallback-openai,,배리 노엘 코터,코터
346525,B. Faulkner,Bobby Faulkner,Harrogate Town,phonetic-fallback-openai,,바비 포크너,포크너
20029,B. Fox,Benjamin Jake Fox,Harrogate Town,phonetic-fallback-openai,,벤자민 제이크 폭스,폭스
118391,B. Hinchliffe,Ben Hinchiffe,Stockport County,phonetic-fallback-openai,,벤 힌치프,힌치프
17730,B. House,Benjamin House,Lincoln,phonetic-fallback-openai,,벤자민 하우스,하우스
313637,B. Ilunga,Brooklyn Ilunga,Bromley,phonetic-fallback-openai,,브루클린 일룽가,일룽가
127119,B. Jackson,Ben Joseph Jackson,Barrow,phonetic-fallback-openai,,벤 조셉 잭슨,잭슨
291109,B. Kamwa,Bobby-Emmanuel Kamwa,Newport County,phonetic-fallback-openai,,바비-에마뉴엘 캄와,캄와
144733,B. Knight,Benjamin Leo Knight,Cambridge United,phonetic-fallback-openai,,벤자민 레오 나이트,나이트
341326,B. Krauhaus,Ben Krauhaus,Bromley,phonetic-fallback-openai,,벤 크라우하우스,크라우하우스
325968,B. Lloyd,Ben Lloyd,Newport County,phonetic-fallback-openai,,벤 로이드,로이드
19854,B. Morris,Bryn Andrew Morris,Harrogate Town,phonetic-fallback-openai,,브린 앤드루 모리스,모리스
19818,B. Purrington,Ben Purrington,Cambridge United,phonetic-fallback-openai,,벤 퍼링턴,퍼링턴
