external_id,eng_name,name_ko,short_name_ko
325969,A. Abdulai,아제임 케르 아브두라이,아브두라이
286505,A. Adeyemo,아데 아데예모,아데예모
432451,A. Allen,에이 알렌,알렌
18392,A. Charles,애슐리 제임스 찰스,찰스
18913,A. Driscoll-Glennon,앤서니 데이비드 드리스콜-글레논,드리스콜-글레논
20370,A. Hartigan,앤서니 하티건,하티건
19786,A. Jackson,아담 루이스 잭슨,잭슨
375881,A. James,아론 제임스,제임스
19929,A. Lewis,아론 제임스 루이스,루이스
394600,A. Mee,애슈턴 미,미
20488,A. O&apos;Connor,앤서니 딘 오코너,오코너
231062,A. Okonkwo,아서 츄쿠에주고 오코쿠오,오코쿠오
342665,A. Oluwabori,앤드루 호세 올루와보리,올루와보리
282755,A. Oluwo,아데볼라 올우오,올우오
322621,A. Papadopoulos,안토니 파파도폴로스,파파도폴로스
412021,A. Popoola,안졸라 포푸라,포푸라
19382,A. Reach,아담 마이클 리치,리치
19777,A. Read,아서 제임스 리드,리드
127213,A. Senior,아담 니콜라스 세니어,세니어
380713,A. Stepien-Iwumene,알렉스 스테피엔-이우메네,스테피엔-이우메네
408302,A. Thibaut,아드리앙 티보,티보
394157,Adrian Moyosoreoluwa Ameer Akande,에드리안 모요소레올루와 아칸데,아칸데
444299,Alex Henderson,알렉스 헨더슨,헨더슨
400336,Arkelle Nicholas Cecil Jude-Boyd,아켈 니콜라스 세실 주드-보이드,주드-보이드
318999,B. Andrésson,베노니 브레키 안드레손,안드레손
17422,B. Cargill,베일리 카길,카길
19315,B. Cooper,브랜든 제임스 쿠퍼,쿠퍼
82007,B. Cotter,배리 노엘 코터,코터
346525,B. Faulkner,바비 포크너,포크너
20029,B. Fox,벤자민 제이크 폭스,폭스
118391,B. Hinchliffe,벤 힌치프,힌치프
17730,B. House,벤자민 하우스,하우스
313637,B. Ilunga,브루클린 일룽가,일룽가
127119,B. Jackson,벤 조셉 잭슨,잭슨
291109,B. Kamwa,바비-에마뉴엘 캄와,캄와
144733,B. Knight,벤자민 레오 나이트,나이트
