external_id,eng_name,full_name,team,method,matched_name,name_ko,short_name_ko
388461,A. Abdullahi,Ahmed Abdullahi,Sunderland,phonetic-fallback-openai,,아메드 아브둘라히,아브둘라히
19183,A. Adomah,Albert Danquah Adomah,Walsall,wikidata-ko-label,Albert Adomah,앨버트 아도마,아도마
437566,A. Ahmed,Ashqar Ahmed,Reading,phonetic-fallback-openai,,애쉬카르 아흐메드,아흐메드
82047,A. Baldwin,Aden William James Baldwin,Bradford,phonetic-fallback-openai,,에이덴 윌리엄 제임스 볼드윈,볼드윈
18858,A. Begović,Asmir Begović,Leicester,wikidata-ko-label,Asmir Begović,아스미르 베고비치,베고비치
199310,A. Ben Slimane,Anis Ben Slimane,Norwich,wikidata-ko-label,Anis Ben Slimane,아니스 벤 슬리만,슬리만
344169,A. Benarous,Ayman Omar Benarous,Plymouth,phonetic-fallback-openai,,아이먼 오마르 베나루스,베나루스
379150,A. Brooks,Andre Chance Brooks,Sheffield Utd,phonetic-fallback-openai,,앤드레 찬스 브룩스,브룩스
137301,A. Cochrane,Alexander William Cochrane,Birmingham,phonetic-fallback-openai,,알렉산더 윌리엄 코크레인,코크레인
17602,A. Collins,Archie Finn Collins,Peterborough,phonetic-fallback-openai,,아치 피너 콜린스,콜린스
20444,A. Cook,Andrew Ellis Cook,Bradford,phonetic-fallback-openai,,앤드루 엘리스 쿡,쿡
309501,A. Cozier-Duberry,Amario Cozier-Duberry,Bolton,phonetic-fallback-openai,,아마리오 코지에르-두베리,코지에르-두베리
18813,A. Cresswell,Aaron William Cresswell,Stoke City,wikidata-ko-label,Aaron Cresswell,에런 크레스웰,크레스웰
310700,A. Crnac,Ante Crnac,Norwich,phonetic-fallback-openai,,안테 크나크,크나크
19779,A. Davies,Adam Rhys Davies,Sheffield Utd,wikidata-ko-label,Adam Davies,애덤 데이비스,데이비스
273757,A. Devine,Alfie Sean Devine,Preston,phonetic-fallback-openai,,알피 션 데바인,데바인
127203,A. Dobra,Armando Dobra,Chesterfield,phonetic-fallback-openai,,아르만도 도브라,도브라
19734,A. Dozzell,Andre Leon Dozzell,Portsmouth,phonetic-fallback-openai,,앤드레 레온 도즐,도즐
69406,A. Drinan,Aaron John Drinan,Swindon Town,phonetic-fallback-openai,,아론 존 드리난,드리난
199856,A. Emakhu,Aidomo Emakhu,Millwall,phonetic-fallback-openai,,아이도모 에마쿠,에마쿠
19064,A. Famewo,Akinlolu Richard Olamide Famewo,Hull City,phonetic-fallback-openai,,아킨로루 리처드 올라미드 파메우,파메우
81996,A. Fisher,Andrew Lee Fisher,Swansea,phonetic-fallback-openai,,앤드루 리 피셔,피셔
19251,A. Fletcher,Ashley Michael Fletcher,Blackpool,phonetic-fallback-openai,,애슐리 마이클 플레처,플레처
19230,A. Flint,Aden Flint,Walsall,phonetic-fallback-openai,,에이덴 플린트,플린트
454017,A. Garcia,Andre Garcia,Reading,phonetic-fallback-openai,,앤드레 가르시아,가르시아
215873,A. Gilbert,Alexander George Henry Gilbert,Middlesbrough,phonetic-fallback-openai,,알렉산더 조지 헨리 길버트,길버트
17434,A. Gilbey,Alexander Scott Gilbey,Milton Keynes Dons,phonetic-fallback-openai,,알렉산더 스콧 길비,길비
20311,A. Gilliead,Alex Nicholas Gilliead,Shrewsbury,phonetic-fallback-openai,,알렉스 니콜라스 길리에드,길리에드
498375,A. Gregory,Arthur Gregory,Wycombe,phonetic-fallback-openai,,아서 그레고리,그레고리
277716,A. Hackford,Antwoine Hackford,AFC Wimbledon,phonetic-fallback-openai,,앤트완 해크포드,해크포드
15927,A. Hagelskjær,Anders Laurits Hagelskjær,Wycombe,phonetic-fallback-openai,,안데르스 라우리츠 하겔스케르,하겔스케르
17594,A. Hartridge,Alex Duncan Hartridge,Wycombe,phonetic-fallback-openai,,알렉스 던컨 하트리지,하트리지
133916,A. Heggebø,Aune Selland Heggebø,West Brom,phonetic-fallback-openai,,아우네 셀란드 헤게브,헤게브
306954,A. Henriksson,Per Axel Nils Henriksson,Blackburn,phonetic-fallback-openai,,페르 악셀 닐스 헨릭손,헨릭손
17534,A. Hughes,Andrew Martyn Hughes,Preston,phonetic-fallback-openai,,앤드루 마틴 휴즈,휴즈
18938,A. Jones,Alfie Jones,Middlesbrough,phonetic-fallback-openai,,알피 존스,존스
284441,A. Kamara,Abu Kamara,Hull City,phonetic-fallback-openai,,아부 카마라,카마라
384828,A. Kanté,Abdoulaye Raslan Kanté,Middlesbrough,phonetic-fallback-openai,,아브둘라예 라슬란 칸테,칸테
30998,A. Kargbo,Augustus Kargbo,Blackburn,wikidata-ko-label,Augustus Kargbo,어거스터스 카그보,카그보
20201,A. Kilgour,Alfie George Alexander Kilgour,Bristol Rovers,phonetic-fallback-openai,,알피 조지 알렉산더 킬거,킬거
138826,A. Lewis,Adam Thomas Lewis,Chesterfield,phonetic-fallback-openai,,아담 토마스 루이스,루이스
106737,A. Little,Armani George Little,Gillingham,phonetic-fallback-openai,,아르마니 조지 리틀,리틀
138423,A. Lowry,Alexander Lowry,Wycombe,phonetic-fallback-openai,,알렉산더 로우리,로우리
69288,A. Lyons,Andrew Lyons,Blackpool,phonetic-fallback-openai,,앤드루 라이언스,라이언스
162199,A. Martha,Ar'jany Martha,Rotherham,phonetic-fallback-openai,,아르자니 마르타,마르타
19938,A. May,Alfie Ben May,Huddersfield,phonetic-fallback-openai,,알피 벤 메이,메이
19809,A. Maynard-Brewer,Ashley Maynard-Brewer,Charlton,phonetic-fallback-openai,,애슐리 메이너드-브루어,메이너드-브루어
382928,A. Mayor,Adam Mayor,Millwall,phonetic-fallback-openai,,아담 메이어,메이어
70519,A. McCann,Alistair Edward McCann,Preston,phonetic-fallback-openai,,알리스테어 에드워드 맥캔,맥캔
18935,A. McCarthy,Alex Simon McCarthy,Southampton,wikidata-ko-label,Alex McCarthy,알렉스 맥카시,맥카시
286349,A. Mehmeti,Anis Mehmeti,Bristol City,phonetic-fallback-openai,,아니스 메헤티,메헤티
311101,A. Mitchell,Alexander Paul Mitchell,Charlton; Plymouth,phonetic-fallback-openai,,알렉산더 폴 미첼,미첼
20247,A. Morley,Aaron Paul Morley,Bolton,phonetic-fallback-openai,,아론 폴 모리,모리
201714,A. Morris,Aidan Zen Patrick Morris,Middlesbrough,phonetic-fallback-openai,,에이단 젠 패트릭 모리스,모리스
19799,A. Mowatt,Alex James Mowatt,West Brom,phonetic-fallback-openai,,알렉스 제임스 모와트,모와트
445922,A. Mwamba,Alan Isaac Mwamba,Charlton,phonetic-fallback-openai,,앨런 이삭 뭄바,뭄바
8876,A. Nemane,Aaron Evans Nemane,Milton Keynes Dons,phonetic-fallback-openai,,아론 에반스 네마네,네마네
19727,A. Nsiala,Aristote Nsiala,Shrewsbury,phonetic-fallback-openai,,아리스토테 은시알라,은시알라
192076,A. Odoh,Abraham Ifoghale Odoh,Peterborough,phonetic-fallback-openai,,아브라함 이포갈레 오도,오도
82097,A. Palmer,Alexander Palmer,Ipswich,phonetic-fallback-openai,,알렉산더 팔머,팔머
18050,A. Pattison,Alexander Antony Pattison,Bradford,phonetic-fallback-openai,,알렉산더 안토니 패티슨,패티슨
146325,A. Pepple,Aribusitamunoipirim Emmanuel Pepple,Plymouth,phonetic-fallback-openai,,아리부시타무노이피림 에마뉴엘 뻘플,뻘플
37711,A. Phillips,Adam Lee Phillips,Barnsley,phonetic-fallback-openai,,아담 리 필립스,필립스
301281,A. Phillips,Ashley Famiwuya Phillips,Stoke City,wikidata-ko-label,Ashley Phillips,애슐리 필립스,필립스
20409,A. Randell,Adam Fletcher Randell,Bristol City,phonetic-fallback-openai,,아담 플레처 랜델,랜델
288109,A. Robertson,Alexander Sean Pablo Robertson,Cardiff,phonetic-fallback-openai,,알렉산더 션 파블로 로버트슨,로버트슨
48190,A. Sampsted,Alfons Sampsted,Birmingham,phonetic-fallback-openai,,알폰스 샘프스테드,샘프스테드
20411,A. Sarcevic,Antoni Charles Sarcevic,Bradford,phonetic-fallback-openai,,안토니 찰스 사르세비치,사르세비치
343296,A. Sasu,Aron Sasu,AFC Wimbledon,phonetic-fallback-openai,,아론 사수,사수
144713,A. Scully,Anthony Richard Scully,Shrewsbury,phonetic-fallback-openai,,안토니 리차드 스컬리,스컬리
304769,A. Segecic,Adrian Segecic,Portsmouth,phonetic-fallback-openai,,에이드리언 세게치치,세게치치
17465,A. Smith,Alistair Oluwashaun Smith,AFC Wimbledon,phonetic-fallback-openai,,알리스테어 올루와숀 스미스,스미스
334597,A. Smith,Andrew John Smith,Gillingham,phonetic-fallback-openai,,앤드류 존 스미스,스미스
515520,A. Trujillo,Ashley Trujillo Castaño,QPR,phonetic-fallback-openai,,애슐리 트루히요 카스타뇨,카스타뇨
46023,A. Vukčević,Andrija Vukčević,Preston,phonetic-fallback-openai,,안드리야 부크체비치,부크체비치
19283,A. Weimann,Andreas Weimann,Derby,wikidata-ko-label,Andreas Weimann,안드레아스 바이만,바이만
522222,A. Wilkie,Alex Wilkie,QPR,phonetic-fallback-openai,,알렉스 윌키,윌키
894,A. Young,Ashley Simon Young,Ipswich,wikidata-ko-label,Ashley Young,애슐리 영,영
434180,Aidan Borland,Aidan Gerald Borland,Aston Villa,phonetic-fallback-openai,,에이단 제랄드 보를랜드,보를랜드
360202,Ajay Matthews,Ajay Matthews,Millwall,phonetic-fallback-openai,,아제이 매튜스,매튜스
288132,Alex Williams,Alex Williams,West Brom,phonetic-fallback-openai,,알렉스 윌리엄스,윌리엄스
412692,Alfie Tuck,Alfie Tuck,QPR,phonetic-fallback-openai,,알피 턱,턱
299813,Ali Al Hamadi,Ali Ibrahim Karim Al Hamadi,Ipswich,phonetic-fallback-openai,,알리 이브라힘 카림 알 하마디,알 하마디
129701,Armando Quitirna,Armando Quitirna,Wycombe,phonetic-fallback-openai,,아르만도 퀴티르나,퀴티르나
352205,Arthur Parker,Arthur Parker,Swansea,phonetic-fallback-openai,,아서 파커,파커
568961,Axel Donczew,Axel Donczew,Cardiff,phonetic-fallback-openai,,악셀 돈체프,돈체프
331552,B. Adeeko,Babajide Adeeko,Wigan,phonetic-fallback-openai,,바바지데 아디코,아디코
19387,B. Bannan,Barry Ryan Bannan,Sheffield Wednesday,wikidata-ko-label,Barry Bannan,배리 배넌,배넌
339279,B. Bilongo,Bryant Akono Bilongo,Bristol Rovers,phonetic-fallback-openai,,브라이언트 아코노 비롱고,비롱고
82010,B. Bodin,Billy Paul Bodin,Swindon Town,phonetic-fallback-openai,,빌리 폴 보딘,보딘
19485,B. Brereton,Benjamin Anthony Brereton Díaz,Southampton,phonetic-fallback-openai,,벤자민 안토니 브레레톤 디아즈,브레레톤
104041,B. Cabango,Benjamin George Cabango,Swansea,phonetic-fallback-openai,,벤자민 조지 카방고,카방고
134428,B. Chrisene,Benjamin Joshua Chrisene,Norwich,phonetic-fallback-openai,,벤자민 조슈아 크리신,크리신
334729,B. Clark,Bobby Lamont Clark,Derby,phonetic-fallback-openai,,바비 람온트 클락,클락
19861,B. Close,Ben Easton Close,Doncaster,phonetic-fallback-openai,,벤 이스턴 클로즈,클로즈
20016,B. Collins,Bradley Collins,Coventry,phonetic-fallback-openai,,브래들리 콜린스,콜린스
17570,B. Comley,Brandon Comley,Walsall,phonetic-fallback-openai,,브랜든 컴리,컴리
19477,B. Dack,Bradley Paul Dack,Gillingham,phonetic-fallback-openai,,브래들리 폴 댁,댁
8902,B. De Keersmaecker,Brian De Keersmaecker,Oxford United,phonetic-fallback-openai,,브라이언 데 커스매커,데 커스매커
284405,B. Elliott,Benjamin Njongoue Elliott,Reading,phonetic-fallback-openai,,벤자민 종우 엘리엇,엘리엇
161920,B. Fink,Bradley Thomas Fink,Wycombe,phonetic-fallback-openai,,브래들리 토마스 핑크,핑크
155131,B. Garrity,Benjamin Matthew Garrity,Port Vale,phonetic-fallback-openai,,벤자민 매튜 가리티,가리티
18914,B. Gibson,Benjamin James Gibson,Stoke City,phonetic-fallback-openai,,벤자민 제임스 기브슨,기브슨
17953,B. Halliday,Bradley Halliday,Bradford,phonetic-fallback-openai,,브래들리 할리데이,할리데이
20160,B. Hanlan,Brandon Alex Graham Hanlan,Doncaster,phonetic-fallback-openai,,브랜든 알렉스 그레이엄 한란,한란
20054,B. Heneghan,Benjamin John Heneghan,Port Vale,phonetic-fallback-openai,,벤자민 존 헤네건,헤네건
309507,B. Ibrahim,Bradley Ibrahim,Plymouth,phonetic-fallback-openai,,브래들리 이브라힘,이브라힘
18823,B. Johnson,Benjamin Anthony Johnson,Ipswich,phonetic-fallback-openai,,벤자민 앤서니 존슨,존슨
328078,B. Khela,Brandon Singh Khela,Peterborough,phonetic-fallback-openai,,브랜든 싱 카일라,카일라
18647,B. Killip,Ben Killip,Portsmouth,phonetic-fallback-openai,,벤 킬립,킬립
449963,B. Krubally,Bubba Krubally,Burton Albion,phonetic-fallback-openai,,버바 크루발리,크루발리
8589,B. Manuel,Benson Manuel Hedilazio,Swansea,phonetic-fallback-openai,,벤슨 마뉴엘 헤디라지오,마뉴엘
328086,B. Middlemas,Ben Middlemas,Sunderland,phonetic-fallback-openai,,벤 미들마스,미들마스
19894,B. Mumba,Bali Mumba,Plymouth,phonetic-fallback-openai,,발리 뭄바,뭄바
278118,B. Nelson,Benjamin Harvey Nelson,Leicester,phonetic-fallback-openai,,벤자민 하비 넬슨,넬슨
19588,B. Osayi-Samuel,Bright Osayi-Samuel,Birmingham,phonetic-fallback-openai,,브라이트 오세이 샘엘,샘엘
19302,B. Osborn,Benjamin Jarrod Osborn,Derby,phonetic-fallback-openai,,벤자민 제러드 오스본,오스본
19115,B. Peacock-Farrell,Bailey Peacock-Farrell,Blackpool,phonetic-fallback-openai,,베일리 피콕-패럴,피콕-패럴
19454,B. Pearson,Benjamin David Pearson,Stoke City,phonetic-fallback-openai,,벤자민 데이비드 피어슨,피어슨
388536,B. Pointon,Bobby Pointon,Bradford,phonetic-fallback-openai,,바비 포인턴,포인턴
446948,B. Pouri-Siewe,Brandon Pouri-Siewe,Burnley,phonetic-fallback-openai,,브랜든 포우리-시웨,포우리-시웨
138792,B. Radulović,Bojan Radulović Samouković,Huddersfield,phonetic-fallback-openai,,보잔 라둘로비치 사무코비치,라둘로비치
18366,B. Sarpong-Wiredu,Brendan Nana Sarpong-Wiredu,Plymouth,phonetic-fallback-openai,,브렌던 나나 사르퐁-위레두,사르퐁-위레두
19109,B. Sharp,Billy Louis Sharp,Doncaster,phonetic-fallback-openai,,빌리 루이스 샤프,샤프
313240,B. Smith,Bastian Smith,Peterborough,phonetic-fallback-openai,,바스티안 스미스,스미스
22233,B. Soumaré,Boubakary Soumaré,Leicester,wikidata-ko-label,Boubakary Soumaré,부바카리 수마레,수마레
200116,B. Spencer,Brodie Gilmore Spencer,Oxford United,phonetic-fallback-openai,,브로디 길모어 스펜서,스펜서
459561,B. Thistleton,Bodi Thistleton,Burton Albion,phonetic-fallback-openai,,보디 티슬튼,티슬튼
264437,B. Thomas,Bobby Craig Thomas,Coventry,phonetic-fallback-openai,,바비 크레이그 토마스,토마스
82090,B. Thomas-Asante,Solomon Brandon Michael Clarke Thomas-Asante,Coventry,phonetic-fallback-openai,,솔로몬 브랜든 마이클 클라크 토마스-아산테,토마스-아산테
28048,B. Tóth,Balázs Tóth,Blackburn,phonetic-fallback-openai,,발라즈 토트,토트
6938,B. Waine,Benjamin Peter Waine,Port Vale,phonetic-fallback-openai,,벤자민 피터 웨인,웨인
343583,B. Wales,Bobby Wales,Swansea,phonetic-fallback-openai,,바비 웨일스,웨일스
17817,B. Waters,Billy Henry Penna Waters,Oldham,phonetic-fallback-openai,,빌리 헨리 페나 워터스,워터스
19941,B. Whiteman,Benjamin Whiteman,Preston,phonetic-fallback-openai,,벤자민 화이트먼,화이트먼
17927,B. Whitfield,Benjamin Michael Whitfield,Burton Albion,phonetic-fallback-openai,,벤자민 마이클 위트필드,위트필드
