external_id,eng_name,name_ko,short_name_ko
388461,A. Abdullahi,아메드 아브둘라히,아브둘라히
19183,A. Adomah,앨버트 아도마,아도마
437566,A. Ahmed,애쉬카르 아흐메드,아흐메드
82047,A. Baldwin,에이덴 윌리엄 제임스 볼드윈,볼드윈
18858,A. Begović,아스미르 베고비치,베고비치
199310,A. Ben Slimane,아니스 벤 슬리만,슬리만
344169,A. Benarous,아이먼 오마르 베나루스,베나루스
379150,A. Brooks,앤드레 찬스 브룩스,브룩스
137301,A. Cochrane,알렉산더 윌리엄 코크레인,코크레인
17602,A. Collins,아치 피너 콜린스,콜린스
20444,A. Cook,앤드루 엘리스 쿡,쿡
309501,A. Cozier-Duberry,아마리오 코지에르-두베리,코지에르-두베리
18813,A. Cresswell,에런 크레스웰,크레스웰
310700,A. Crnac,안테 크나크,크나크
19779,A. Davies,애덤 데이비스,데이비스
273757,A. Devine,알피 션 데바인,데바인
127203,A. Dobra,아르만도 도브라,도브라
19734,A. Dozzell,앤드레 레온 도즐,도즐
69406,A. Drinan,아론 존 드리난,드리난
199856,A. Emakhu,아이도모 에마쿠,에마쿠
19064,A. Famewo,아킨로루 리처드 올라미드 파메우,파메우
81996,A. Fisher,앤드루 리 피셔,피셔
19251,A. Fletcher,애슐리 마이클 플레처,플레처
19230,A. Flint,에이덴 플린트,플린트
454017,A. Garcia,앤드레 가르시아,가르시아
215873,A. Gilbert,알렉산더 조지 헨리 길버트,길버트
17434,A. Gilbey,알렉산더 스콧 길비,길비
20311,A. Gilliead,알렉스 니콜라스 길리에드,길리에드
498375,A. Gregory,아서 그레고리,그레고리
277716,A. Hackford,앤트완 해크포드,해크포드
15927,A. Hagelskjær,안데르스 라우리츠 하겔스케르,하겔스케르
17594,A. Hartridge,알렉스 던컨 하트리지,하트리지
133916,A. Heggebø,아우네 셀란드 헤게브,헤게브
306954,A. Henriksson,페르 악셀 닐스 헨릭손,헨릭손
17534,A. Hughes,앤드루 마틴 휴즈,휴즈
18938,A. Jones,알피 존스,존스
284441,A. Kamara,아부 카마라,카마라
384828,A. Kanté,아브둘라예 라슬란 칸테,칸테
30998,A. Kargbo,어거스터스 카그보,카그보
20201,A. Kilgour,알피 조지 알렉산더 킬거,킬거
138826,A. Lewis,아담 토마스 루이스,루이스
106737,A. Little,아르마니 조지 리틀,리틀
138423,A. Lowry,알렉산더 로우리,로우리
69288,A. Lyons,앤드루 라이언스,라이언스
162199,A. Martha,아르자니 마르타,마르타
19938,A. May,알피 벤 메이,메이
19809,A. Maynard-Brewer,애슐리 메이너드-브루어,메이너드-브루어
382928,A. Mayor,아담 메이어,메이어
70519,A. McCann,알리스테어 에드워드 맥캔,맥캔
18935,A. McCarthy,알렉스 맥카시,맥카시
286349,A. Mehmeti,아니스 메헤티,메헤티
311101,A. Mitchell,알렉산더 폴 미첼,미첼
20247,A. Morley,아론 폴 모리,모리
