external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
2812,A. Ajeti,Albian Afrim Ajeti,Switzerland,FC Basel 1893,,
107484,A. Ajzeraj,Almir Ajzeraj,Kosovo,Drita,,
162414,A. Amenda,Aurèle Florian Amenda,Switzerland,Eintracht Frankfurt,,
457731,A. Annous,Andre Annous,England,Arsenal,,
48607,A. Antunes,Alexis Antunes Gomez,Switzerland,Servette FC,,
419610,A. AvdiÄ,Adem Avdić,Serbia,FK Crvena Zvezda,,
445489,A. Bačanin,Andrej Bačanin,Serbia,FC Basel 1893,,
607,A. Bakasetas,Anastasios Bakasetas,Greece,Panathinaikos,,
453792,A. Bamba,Aladji Bamba,France,Monaco,,
68090,A. Barišić,Adrian Leon Barišić,Bosnia and Herzegovina,FC Basel 1893,,
22026,A. Baron,Anthony Kévin Baron,Guadeloupe,Servette FC,,
532001,A. Bazarbaev,A. Bazarbaev,,Kairat Almaty,,
336998,A. Boiro,Adama Boiro Boiro,Senegal,Athletic Club,,
275651,A. Bonny,Ange-Yoan Bonny,France,Inter,,
453706,A. Bouwman,Aaron Bouwman,Netherlands,Ajax,,
392481,A. Bregou,Adriano Bregou,Greece,Panathinaikos,,
31226,A. Buongiorno,Alessandro Buongiorno,Italy,Napoli,,
567695,A. Cabral,A. Cabral,,Benfica,,
336707,A. Calligaris,Alessandro Calligaris,Italy,Inter,,
127011,A. Cambiaso,Andrea Cambiaso,Italy,Juventus,,
56025,A. Čerin,Adam Gnezda Čerin,Slovenia,Panathinaikos,,
397737,A. Chemong,Asuwan Chemong,Thailand,Benfica,,
2282,A. Christensen,Andreas Bødtker Christensen,Denmark,Barcelona,,
1958,A. Christiansen,Anders Bleg Christiansen,Denmark,Malmo FF,,
152786,A. Ćirković,Aleksandar Ćirković,Serbia,Ferencvarosi TC,,
113566,A. Dabiqaj,Albert Dabiqaj,Kosovo,Drita,,
362564,A. Daghim,Adam Daghim,Denmark,Red Bull Salzburg,,
75935,A. Dashyan,Artak Dashyan,Armenia,FC Noah,,
509,A. Davies,Alphonso Boyle Davies,Canada,Bayern München,,
395891,A. De Corte,Axl De Corte,Belgium,Club Brugge KV,,
463280,A. Diatta,Alassane Diatta,Senegal,Villarreal,,
270509,A. Diouf,Andy Alune Diouf,France,Inter,,
21633,A. Djiku,Alexander Kwabena Baidoo Djiku,Ghana,Fenerbahçe,,
451437,A. Doubal,Anis Doubal,Tunisia,Marseille,,
