external_id,eng_name,name_ko,short_name_ko
184,H. Kane,해리 케인,케인
6009,J. Álvarez,훌리안 알바레스,알바레스
138787,A. Gordon,앤서니 고든,고든
7398,B. Varga,바르나바스 바르가,바르가
47237,L. Suárez,루이스 수아레스,수아레스
454968,C. Durán,카밀로 두란,두란
138835,F. Balogun,폴라린 발로건,발로건
47291,Gorka Guruzeta,고르카 구루세타,구루세타
78,H. Vanaken,한스 바나켄,바나켄
563,Álex Grimaldo,알렉스 그리말도,그리말도
41112,Trincão,트린캉,트린캉
21393,S. Guirassy,세루 기라시,기라시
134320,Leandro Andrade,레안드로 안드라데,안드라데
287923,N. Tresoldi,니콜로 트레솔디,트레솔디
753,Marcos Llorente,마르코스 요렌테,요렌테
415,W. McKennie,웨스턴 맥케니,맥케니
57159,S. Fet,손드레 페트,페트
794,P. Schick,파트리크 시크,시크
903,S. McTominay,스콧 맥토미니,맥토미니
521,R. Lewandowski,로베르트 레반도프스키,레반도프스키
271276,R. Vermant,로메오 베르망,베르망
161800,C. Tzolis,크리스토스 촐리스,촐리스
756,F. Valverde,페데리코 발베르데,발베르데
375974,J. Seys,호아킨 세이스,세이스
282126,Carlos Forbs,카를로스 포르브스,포르브스
342230,A. Stanković,알렉산다르 스탄코비치,스탄코비치
1496,Raphinha,하피냐,하피냐
7334,K. Adeyemi,카림 아데예미,아데예미
272543,C. Driouech,쿠하이브 드리우에흐,드리우에흐
931,Ferran Torres,페란 토레스,페란
30415,D. Vlahović,두산 블라호비치,블라호비치
73868,R. Pepi,리카르도 페피,페피
118,Gelson Martins,젤송 마르틴스,마르틴스
338735,A. Khalaili,아난 칼라일리,칼라일리
231,J. Teze,조던 테제,테제
161897,I. Saibari,이스마엘 사이바리,사이바리
426288,V. Dadason,빅토르 다다손,다다손
310943,Alisson Santos,알리송 산투스,알리송
291964,A. Güler,아르다 귈러,귈러
161904,B. Barcola,브래들리 바르콜라,바르콜라
36905,G. Til,거스 틸,틸
39065,H. Evjen,호콘 에브옌,에브옌
1552,A. Zoubir,압델라 주비르,주비르
30864,M. Janković,마르코 얀코비치,얀코비치
162219,R. Onyedika,라파엘 오녜디카,오녜디카
1330,M. Oršić,미슬라브 오르시치,오르시치
84086,Robert Navarro,로베르트 나바로,나바로
42315,M. Taremi,메흐디 타레미,타레미
419582,Geovany Tcherno Quenda,지오바니 켄다,켄다
124613,E. Cəfərquliyev,엘빈 자파르굴리예프,자파르굴리예프
51776,M. Araújo,막시밀리아노 아라우호,아라우호
1257,J. Koundé,쥘 쿤데,쿤데
25918,L. Barreiro,레안드로 바레이루,바레이루
2722,A. El Kaabi,아유브 엘 카비,엘 카비
161922,A. Knauff,안스가르 크나우프,크나우프
723,Joelinton,조엘린통,조엘린통
631,P. Foden,필 포든,포든
21613,L. Joseph,레니 조셉,조셉
8489,J. David,조너선 데이비드,데이비드
386481,M. Diakhon,마마두 디아콘,디아콘
25926,J. Burkardt,조나탄 부르카르트,부르카르트
115587,M. Kjærgaard,마우리츠 키에르고르,키에르고르
69,B. Mechele,브랜던 메헬러,메헬러
47301,Robin Le Normand,로뱅 르노르망,르노르망
43036,D. Man,데니스 만,만
268341,F. Gatti,페데리코 가티,가티
351587,T. Oluwaseyi,타니 올루와세이,올루와세이
524875,E. Mbodji,엘 하지 음보지,음보지
313353,P. David,프로미스 데이비드,데이비드
336563,D. Gassama,제이디 가사마,가사마
339887,C. Uzun,잔 우준,우준
341226,R. Durosinmi,라피우 두로신미,두로신미
31054,R. Krunić,라데 크루니치,크루니치
41585,Gonçalo Ramos,곤살루 하무스,하무스
161670,V. Vanat,블라디슬라우 바나트,바나트
274300,M. Akliouche,마그네스 아클리우슈,아클리우슈
339883,K. Yıldız,케난 일디즈,일디즈
30776,C. Romero,크리스티안 로메로,로메로
41130,Chiquinho,치키뉴,치키뉴
336564,W. Odobert,윌슨 오도베르,오도베르
