external_id,eng_name,full_name,team,method,matched_name,name_ko,short_name_ko
2812,A. Ajeti,Albian Afrim Ajeti,FC Basel 1893,phonetic-fallback-openai,,알비안 아프림 아제티,아제티
107484,A. Ajzeraj,Almir Ajzeraj,Drita,phonetic-fallback-openai,,알미르 아제라이,아제라이
162414,A. Amenda,Aurèle Florian Amenda,Eintracht Frankfurt,phonetic-fallback-openai,,아우렐 플로리안 아멘다,아멘다
457731,A. Annous,Andre Annous,Arsenal,phonetic-fallback-openai,,안드레 아누스,아누스
48607,A. Antunes,Alexis Antunes Gomez,Servette FC,phonetic-fallback-openai,,알렉시스 아투네스 고메즈,아투네스
419610,A. AvdiÄ,Adem Avdić,FK Crvena Zvezda,phonetic-fallback-openai,,아뎀 아브딕,아브딕
445489,A. Bačanin,Andrej Bačanin,FC Basel 1893,phonetic-fallback-openai,,안드레 바차닌,바차닌
607,A. Bakasetas,Anastasios Bakasetas,Panathinaikos,known-ko,Anastasios Bakasetas,아나스타시오스 바카세타스,바카세타스
453792,A. Bamba,Aladji Bamba,Monaco,phonetic-fallback-openai,,알라지 바바,바바
68090,A. Barišić,Adrian Leon Barišić,FC Basel 1893,phonetic-fallback-openai,,아드리안 레온 바리시치,바리시치
22026,A. Baron,Anthony Kévin Baron,Servette FC,phonetic-fallback-openai,,안토니 케빈 바론,바론
532001,A. Bazarbaev,A. Bazarbaev,Kairat Almaty,phonetic-fallback-openai,,A. 바자르바에프,바자르바에프
336998,A. Boiro,Adama Boiro Boiro,Athletic Club,phonetic-fallback-openai,,아다마 보이로 보이로,보이로
275651,A. Bonny,Ange-Yoan Bonny,Inter,wikidata-ko-label,Ange-Yoan Bonny,앙제요안 보니,보니
453706,A. Bouwman,Aaron Bouwman,Ajax,phonetic-fallback-openai,,아론 바우만,바우만
392481,A. Bregou,Adriano Bregou,Panathinaikos,phonetic-fallback-openai,,아드리아노 브레구,브레구
31226,A. Buongiorno,Alessandro Buongiorno,Napoli,wikidata-ko-label,Alessandro Buongiorno,알레산드로 부온조르노,부온조르노
567695,A. Cabral,A. Cabral,Benfica,phonetic-fallback-openai,,A. 카브랄,카브랄
336707,A. Calligaris,Alessandro Calligaris,Inter,phonetic-fallback-openai,,알레산드로 칼리가리스,칼리가리스
127011,A. Cambiaso,Andrea Cambiaso,Juventus,known-ko,Andrea Cambiaso,안드레아 캄비아소,캄비아소
56025,A. Čerin,Adam Gnezda Čerin,Panathinaikos,phonetic-fallback-openai,,아담 그네즈다 체린,체린
397737,A. Chemong,Asuwan Chemong,Benfica,phonetic-fallback-openai,,아수완 케몽,케몽
2282,A. Christensen,Andreas Bødtker Christensen,Barcelona,known-ko,Andreas Christensen,안드레아스 크리스텐센,크리스텐센
1958,A. Christiansen,Anders Bleg Christiansen,Malmo FF,wikidata-ko-label,Anders Christiansen,아네르스 크리스티안센,크리스티안센
152786,A. Ćirković,Aleksandar Ćirković,Ferencvarosi TC,phonetic-fallback-openai,,알렉산다르 치르코비치,치르코비치
113566,A. Dabiqaj,Albert Dabiqaj,Drita,phonetic-fallback-openai,,알버트 다비카이,다비카이
362564,A. Daghim,Adam Daghim,Red Bull Salzburg,phonetic-fallback-openai,,아담 다기임,다기임
75935,A. Dashyan,Artak Dashyan,FC Noah,phonetic-fallback-openai,,아르타크 다시안,다시안
509,A. Davies,Alphonso Boyle Davies,Bayern München,known-ko,Alphonso Davies,알폰소 데이비스,데이비스
395891,A. De Corte,Axl De Corte,Club Brugge KV,phonetic-fallback-openai,,악셀 데 코르트,데 코르트
463280,A. Diatta,Alassane Diatta,Villarreal,phonetic-fallback-openai,,알라산 디아타,디아타
270509,A. Diouf,Andy Alune Diouf,Inter,wikidata-ko-label,Andy Diouf,앙디 디우프,디우프
21633,A. Djiku,Alexander Kwabena Baidoo Djiku,Fenerbahçe,known-ko,Alexander Djiku,알렉산데르 지쿠,지쿠
451437,A. Doubal,Anis Doubal,Marseille,phonetic-fallback-openai,,아니스 두발,두발
105170,A. Douglas,Alex Raymond Douglas,Lech Poznan,phonetic-fallback-openai,,알렉스 레이몬드 더글라스,더글라스
443810,A. Exarchos,A. Exarchos,Olympiakos Piraeus,phonetic-fallback-openai,,A. 엑사르코스,엑사르코스
313941,A. Gaaei,Anton Gaaei,Ajax,phonetic-fallback-openai,,안톤 가에이,가에이
109,A. Golovin,Aleksandr Golovin,Monaco,known-ko,Aleksandr Golovin,알렉산드르 골로빈,골로빈
14308,A. Grgić,Alen Grgić,FC Noah,phonetic-fallback-openai,,알렌 그르지치,그르지치
402524,A. Harrison,Adam Alan Harrison,Newcastle,phonetic-fallback-openai,,아담 앨런 해리슨,해리슨
560954,A. Hierro,A. Hierro,Athletic Club,phonetic-fallback-openai,,A. 히에로,히에로
1534,A. Hüseynov,Abbas Hüseynov,Qarabag,phonetic-fallback-openai,,아바스 휘세이노프,휘세이노프
314849,A. Husic,Anel Karim Husic,HNK Rijeka,phonetic-fallback-openai,,아넬 카림 후시치,후시치
20530,A. Jallow,Abdoulie Jallow,Servette FC,phonetic-fallback-openai,,아브둘리에 자로우,자로우
48029,A. Jeremejeff,Alexander Thomas Jeremejeff,Panathinaikos,wikidata-ko-label,Alexander Jeremejeff,알렉산데르 예레메예프,예레메예프
313222,A. Kalogeropoulos,Alexandros Kalogeropoulos,Olympiakos Piraeus,phonetic-fallback-openai,,알렉산드로스 칼로게로푸로스,칼로게로푸로스
