external_id,eng_name,name_ko,short_name_ko
2812,A. Ajeti,알비안 아프림 아제티,아제티
107484,A. Ajzeraj,알미르 아제라이,아제라이
162414,A. Amenda,아우렐 플로리안 아멘다,아멘다
457731,A. Annous,안드레 아누스,아누스
48607,A. Antunes,알렉시스 아투네스 고메즈,아투네스
419610,A. AvdiÄ,아뎀 아브딕,아브딕
445489,A. Bačanin,안드레 바차닌,바차닌
607,A. Bakasetas,아나스타시오스 바카세타스,바카세타스
453792,A. Bamba,알라지 바바,바바
68090,A. Barišić,아드리안 레온 바리시치,바리시치
22026,A. Baron,안토니 케빈 바론,바론
532001,A. Bazarbaev,바자르바에프,바자르바에프
336998,A. Boiro,아다마 보이로 보이로,보이로
275651,A. Bonny,앙제요안 보니,보니
453706,A. Bouwman,아론 바우만,바우만
392481,A. Bregou,아드리아노 브레구,브레구
31226,A. Buongiorno,알레산드로 부온조르노,부온조르노
567695,A. Cabral,카브랄,카브랄
336707,A. Calligaris,알레산드로 칼리가리스,칼리가리스
127011,A. Cambiaso,안드레아 캄비아소,캄비아소
56025,A. Čerin,아담 그네즈다 체린,체린
397737,A. Chemong,아수완 케몽,케몽
2282,A. Christensen,안드레아스 크리스텐센,크리스텐센
1958,A. Christiansen,아네르스 크리스티안센,크리스티안센
152786,A. Ćirković,알렉산다르 치르코비치,치르코비치
113566,A. Dabiqaj,알버트 다비카이,다비카이
362564,A. Daghim,아담 다기임,다기임
75935,A. Dashyan,아르타크 다시안,다시안
509,A. Davies,알폰소 데이비스,데이비스
395891,A. De Corte,악셀 데 코르트,데 코르트
463280,A. Diatta,알라산 디아타,디아타
270509,A. Diouf,앙디 디우프,디우프
21633,A. Djiku,알렉산데르 지쿠,지쿠
451437,A. Doubal,아니스 두발,두발
105170,A. Douglas,알렉스 레이몬드 더글라스,더글라스
443810,A. Exarchos,엑사르코스,엑사르코스
313941,A. Gaaei,안톤 가에이,가에이
109,A. Golovin,알렉산드르 골로빈,골로빈
14308,A. Grgić,알렌 그르지치,그르지치
402524,A. Harrison,아담 앨런 해리슨,해리슨
560954,A. Hierro,히에로,히에로
1534,A. Hüseynov,아바스 휘세이노프,휘세이노프
314849,A. Husic,아넬 카림 후시치,후시치
20530,A. Jallow,아브둘리에 자로우,자로우
48029,A. Jeremejeff,알렉산데르 예레메예프,예레메예프
313222,A. Kalogeropoulos,알렉산드로스 칼로게로푸로스,칼로게로푸로스
422,A. Kutucu,아흐메드 쿠투쥬,쿠투쥬
30393,A. Lafont,알반-마르크 라폰,라폰
443716,A. Liatsikouras,리아츠쿠라스,리아츠쿠라스
446117,Á. Madarász,아담 마다라쉬,마다라쉬
409670,A. Malic,아르얀 말리치,말리치
194539,A. Manaj,아르브 마나이,마나이
2074,A. Martynovich,알렉산드르 마르티노비치,마르티노비치
322101,A. Memić,아마르 메미치,메미치
313937,A. Mendy,앙투안 멘디,멘디
312,A. Meret,알렉스 메렛,메렛
26292,A. Meyer,알렉산더 니클라스 마이어-샤데,마이어
39360,A. Mikkelsen,아우구스트 미켈슨,미켈슨
323820,A. Mrynskiy,알렉산드르 미린스키,미린스키
318056,A. Murphy,알렉스 머피,머피
76975,A. Mustafić,알렌 무스타피치,무스타피치
307426,A. Nagalo,아다모 나갈로,나갈로
407032,A. Nallo,아마라 날로,날로
1062,A. Nedyalkov,안톤 미하일로프 네디알코프,네디알코프
228,A. Obispo,아르만도 오비스포,오비스포
515967,A. Ouazane,오아잔,오아잔
2355,A. Paschalakis,알렉산드로스 파스칼라키스,파스칼라키스
34525,A. Pešić,알렉산다르 페시치,페시치
456518,A. Ploshchadny,알렉세이 플로슈차드니,플로슈차드니
334257,A. Ramazanov,아민 라마자노프,라마자노프
20355,A. Ramsdale,애런 램스데일,램스데일
496769,A. Rexhaj,레자이,레자이
