external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
49583,A. Abdi,Ali El Abdi,Tunisia,Nice,,
378966,A. Adelgaard,Aske Emil Berg Adelgaard,Denmark,GO Ahead Eagles,,
323449,A. Al Dakhil,Ameen Al Dakhil,Belgium,VfB Stuttgart,,
554287,A. Arcos,A. Arcos,,Celta Vigo,,
21996,A. Baba,Abdul Rahman Baba,Ghana,PAOK,,
284795,A. Bellaarouch,Alaa Bellaarouch,Morocco,SC Braga,,
302432,A. Bianco,Alessandro Bianco,Italy,PAOK,,
413237,A. Bibout,Aaron Banind Bibout,Cameroon,Genk,,
367472,A. Blake,Adrian Blake,England,Utrecht,,
2096,A. Bodart,Arnaud Bodart,Belgium,Lille,,
438688,A. Bouaddi,Ayyoub Bouaddi,France,Lille,,
40594,A. Buksa,Adam Buksa,Poland,FC Midtjylland,,
157893,A. Camara,Aguibou Camara,Guinea,Ludogorets,,
106811,A. Cohen,Avishay Cohen,Israel,Maccabi Tel Aviv,,
462209,A. Damjanović,Aleksa Damjanović,Serbia,FK Crvena Zvezda,,
504300,A. DÄncuÈ,Andrei Dăncuș,Romania,FCSB,,
494715,A. De Wannemacker,August De Wannemacker,Belgium,Genk,,
15811,A. Dovbyk,Artem Dovbyk,Ukraine,AS Roma,,
193188,A. El Ouazzani,Amine El Ouazzani,Morocco,SC Braga,,
321746,A. Engwanda,Alonzo Tim Engwanda-Ongena,Belgium,Utrecht,,
181421,A. Ezzalzouli,Abdessamad Ezzalzouli,Morocco,Real Betis,,
287565,A. Gabriel,Adam Gabriel,Czechia,FC Midtjylland,,
70514,A. Gigović,Armin Gigović,Sweden,BSC Young Boys,,
566821,A. Gil,A. Gil,,SC Braga,,
50006,A. Hadžiahmetović,Amir Hadžiahmetović,Bosnia and Herzegovina,Beşiktaş,,
623922,A. Hamdani,A. Hamdani,,Lyon,,
105993,A. Hoxha,Arbër Hoxha,Kosovo,Dinamo Zagreb,,
15874,A. Jung,Anthony Jung,Germany,SC Freiburg,,
199871,A. Karabec,Adam Karabec,Czechia,Lyon,,
24963,A. Karazor,Atakan Karazor,Germany,VfB Stuttgart,,
427260,A. Kayombo,Axel Kayombo,France,Sturm Graz,,
620763,A. Kerr,A. Kerr,,Rangers,,
1456,A. Maitland-Niles,Ainsley Cory Maitland-Niles,England,Lyon,,
290046,A. Makoumbou,Antoine Makoumbou,Congo,Samsunspor,,
1567,A. Mandi,Aïssa Mandi,Algeria,Lille,,
495478,A. Marcaccini,Alessio Marcaccini,Italy,AS Roma,,
497658,A. McCallion,Aiden McCallion,Scotland,Rangers,,
137403,A. Muja,Arbnor Muja,Albania,Samsunspor,,
37380,A. Musaba,Anthony Tite Musaba,Netherlands,Samsunspor,,
446029,A. Mythou,Anestis Mythou,Greece,PAOK,,
586148,A. Novak,A. Novak,,Plzen,,
399,A. Nübel,Alexander Nübel,Germany,VfB Stuttgart,,
584886,A. Ouarghi,A. Ouarghi,,Feyenoord,,
297,A. Oxlade-Chamberlain,Alexander Mark David Oxlade-Chamberlain,England,Beşiktaş,,
374581,A. Palacios,Adrián José Palacios Hernández,Venezuela,Genk,,
264408,A. Pantea,Alexandru Grigoraş Pantea,Romania,FCSB,,
367574,A. Pazar,Alper Efe Pazar,Türkiye,Samsunspor,,
423210,A. RajiÄ,Antonio Rajić,Croatia,Dinamo Zagreb,,
394183,A. Romano,Alessandro Gianni Romano,Switzerland,AS Roma,,
290646,A. Sanches,Alvyn Antonio Sanches,Switzerland,BSC Young Boys,,
161790,A. Şimşir,Doğuhan Aral Şimşir,Türkiye,FC Midtjylland,,
386837,A. Sojka,Alexandr Sojka,Czechia,Plzen,,
561571,A. Sousa,A. Sousa,,SC Braga,,
137210,A. Stiller,Angelo Stiller,Germany,VfB Stuttgart,,
42500,A. Șut,Adrian Gheorghe Șut,Romania,FCSB,,
342918,A. Tetteh,Andrews Tetteh,Ghana,Panathinaikos,,
91215,A. Tsiftsis,Antonis Tsiftsis,Greece,PAOK,,
278375,A. Varela,Alan Gonzalo Varela,Argentina,FC Porto,,
28324,Á. Varga,Ádám Gábor Varga,Hungary,Ferencvarosi TC,,
271572,A. Virginius,Alan Virginius,France,BSC Young Boys,,
31521,A. Vogliacco,Alessandro Vogliacco,Italy,PAOK,,
304918,A. Yokoyama,Ayumu Yokoyama,Japan,Genk,,
129169,A. Zaroury,Anass Zaroury,Morocco,Panathinaikos,,
579,A. Živković,Andrija Živković,Serbia,PAOK,,
329358,Aaron Bott,Aaron Bott,England,Nottingham Forest,,
9700,Abner,Abner Vinícius da Silva Santos,Brazil,Lyon,,
18812,Adrián,Adrián San Miguel del Castillo,Spain,Real Betis,,
345388,Afonso Moreira,Afonso Bastardo Moreira,Portugal,Lyon,,
47119,Aitor Ruibal,Aitor Ruibal García,Spain,Real Betis,,
630584,Alaettin Ekici,Alaettin Ekici,Turkey,Fenerbahçe,,
438717,Alamara Djabi,Alamara Viriato Djabi,Guinea-Bissau,FC Midtjylland,,
