external_id,eng_name,full_name,team,method,matched_name,name_ko,short_name_ko
49583,A. Abdi,Ali El Abdi,Nice,wikidata-ko-label,Ali Abdi,알리 압디,압디
378966,A. Adelgaard,Aske Emil Berg Adelgaard,GO Ahead Eagles,phonetic-fallback-openai,,아스케 에밀 베르그 아델가르드,아델가르드
323449,A. Al Dakhil,Ameen Al Dakhil,VfB Stuttgart,phonetic-fallback-openai,,아민 알 다킬,알 다킬
554287,A. Arcos,A. Arcos,Celta Vigo,phonetic-fallback-openai,,A. 아르코스,아르코스
21996,A. Baba,Abdul Rahman Baba,PAOK,phonetic-fallback-openai,,아브둘 라만 바바,바바
284795,A. Bellaarouch,Alaa Bellaarouch,SC Braga,phonetic-fallback-openai,,알라 벨라루치,벨라루치
302432,A. Bianco,Alessandro Bianco,PAOK,phonetic-fallback-openai,,알레산드로 비앙코,비앙코
413237,A. Bibout,Aaron Banind Bibout,Genk,phonetic-fallback-openai,,아론 바닌드 비바우트,비바우트
367472,A. Blake,Adrian Blake,Utrecht,phonetic-fallback-openai,,에드리안 블레이크,블레이크
2096,A. Bodart,Arnaud Bodart,Lille,phonetic-fallback-openai,,아르노 보다르,보다르
438688,A. Bouaddi,Ayyoub Bouaddi,Lille,wikidata-ko-label,Ayyoub Bouaddi,아유브 부아디,부아디
40594,A. Buksa,Adam Buksa,FC Midtjylland,wikidata-ko-label,Adam Buksa,아담 북사,북사
157893,A. Camara,Aguibou Camara,Ludogorets,wikidata-ko-label,Aguibou Camara,아기부 카마라,카마라
106811,A. Cohen,Avishay Cohen,Maccabi Tel Aviv,phonetic-fallback-openai,,아비샤이 코헨,코헨
462209,A. Damjanović,Aleksa Damjanović,FK Crvena Zvezda,phonetic-fallback-openai,,알렉사 담야노비치,담야노비치
504300,A. DÄncuÈ,Andrei Dăncuș,FCSB,phonetic-fallback-openai,,안드레이 던쿠스,던쿠스
494715,A. De Wannemacker,August De Wannemacker,Genk,phonetic-fallback-openai,,아우구스트 데 와네마커,와네마커
15811,A. Dovbyk,Artem Dovbyk,AS Roma,wikidata-ko-label,Artem Dovbyk,아르템 도우비크,도우비크
193188,A. El Ouazzani,Amine El Ouazzani,SC Braga,phonetic-fallback-openai,,아민 엘 와자니,와자니
321746,A. Engwanda,Alonzo Tim Engwanda-Ongena,Utrecht,phonetic-fallback-openai,,알론조 팀 엥완다-온게나,엥완다
181421,A. Ezzalzouli,Abdessamad Ezzalzouli,Real Betis,phonetic-fallback-openai,,아브데삼마드 에질조리,에질조리
287565,A. Gabriel,Adam Gabriel,FC Midtjylland,phonetic-fallback-openai,,아담 가브리엘,가브리엘
70514,A. Gigović,Armin Gigović,BSC Young Boys,phonetic-fallback-openai,,아르민 기고비치,기고비치
566821,A. Gil,A. Gil,SC Braga,phonetic-fallback-openai,,A. 길,길
50006,A. Hadžiahmetović,Amir Hadžiahmetović,Beşiktaş,phonetic-fallback-openai,,아미르 하지아헤메토비치,하지아헤메토비치
623922,A. Hamdani,A. Hamdani,Lyon,phonetic-fallback-openai,,A. 함다니,함다니
105993,A. Hoxha,Arbër Hoxha,Dinamo Zagreb,phonetic-fallback-openai,,아르버 호샤,호샤
15874,A. Jung,Anthony Jung,SC Freiburg,phonetic-fallback-openai,,안토니 융,융
199871,A. Karabec,Adam Karabec,Lyon,phonetic-fallback-openai,,아담 카라벡,카라벡
24963,A. Karazor,Atakan Karazor,VfB Stuttgart,phonetic-fallback-openai,,아타칸 카라조르,카라조르
427260,A. Kayombo,Axel Kayombo,Sturm Graz,phonetic-fallback-openai,,악셀 카용보,카용보
620763,A. Kerr,A. Kerr,Rangers,phonetic-fallback-openai,,A. 커,커
1456,A. Maitland-Niles,Ainsley Cory Maitland-Niles,Lyon,wikidata-ko-label,Ainsley Maitland-Niles,에인슬리 메이틀랜드나일스,메이틀랜드나일스
290046,A. Makoumbou,Antoine Makoumbou,Samsunspor,phonetic-fallback-openai,,앙투안 마쿰부,마쿰부
1567,A. Mandi,Aïssa Mandi,Lille,wikidata-ko-label,Aïssa Mandi,아이사 만디,만디
495478,A. Marcaccini,Alessio Marcaccini,AS Roma,phonetic-fallback-openai,,알레시오 마르카치니,마르카치니
497658,A. McCallion,Aiden McCallion,Rangers,phonetic-fallback-openai,,에이든 맥캘리언,맥캘리언
137403,A. Muja,Arbnor Muja,Samsunspor,phonetic-fallback-openai,,아르브노르 무야,무야
37380,A. Musaba,Anthony Tite Musaba,Samsunspor,phonetic-fallback-openai,,안토니 티테 무사바,무사바
446029,A. Mythou,Anestis Mythou,PAOK,phonetic-fallback-openai,,아네스티스 뮈투,뮈투
586148,A. Novak,A. Novak,Plzen,phonetic-fallback-openai,,A. 노바크,노바크
399,A. Nübel,Alexander Nübel,VfB Stuttgart,wikidata-ko-label,Alexander Nübel,알렉산더 뉘벨,뉘벨
584886,A. Ouarghi,A. Ouarghi,Feyenoord,phonetic-fallback-openai,,A. 와르기,와르기
297,A. Oxlade-Chamberlain,Alexander Mark David Oxlade-Chamberlain,Beşiktaş,phonetic-fallback-openai,,알렉산더 마크 데이비드 옥슬레이드-챔버레인,옥슬레이드
374581,A. Palacios,Adrián José Palacios Hernández,Genk,phonetic-fallback-openai,,아드리안 호세 파라시오스 에르난데스,파라시오스
264408,A. Pantea,Alexandru Grigoraş Pantea,FCSB,phonetic-fallback-openai,,알렉산드루 그리고라스 판테아,판테아
367574,A. Pazar,Alper Efe Pazar,Samsunspor,phonetic-fallback-openai,,알퍼 에페 파자르,파자르
423210,A. RajiÄ,Antonio Rajić,Dinamo Zagreb,phonetic-fallback-openai,,안토니오 라지치,라지치
394183,A. Romano,Alessandro Gianni Romano,AS Roma,phonetic-fallback-openai,,알레산드로 지아니 로마노,로마노
290646,A. Sanches,Alvyn Antonio Sanches,BSC Young Boys,phonetic-fallback-openai,,알빈 안토니오 산체스,산체스
161790,A. Şimşir,Doğuhan Aral Şimşir,FC Midtjylland,phonetic-fallback-openai,,도구한 아랄 심시르,심시르
386837,A. Sojka,Alexandr Sojka,Plzen,phonetic-fallback-openai,,알렉산드르 소이카,소이카
561571,A. Sousa,A. Sousa,SC Braga,phonetic-fallback-openai,,A. 소우사,소우사
137210,A. Stiller,Angelo Stiller,VfB Stuttgart,wikidata-ko-label,Angelo Stiller,안젤로 슈틸러,슈틸러
42500,A. Șut,Adrian Gheorghe Șut,FCSB,phonetic-fallback-openai,,에드리안 게오르게 숯,숯
342918,A. Tetteh,Andrews Tetteh,Panathinaikos,phonetic-fallback-openai,,앤드류스 테테,테테
91215,A. Tsiftsis,Antonis Tsiftsis,PAOK,phonetic-fallback-openai,,안토니스 츠프씨스,츠프씨스
278375,A. Varela,Alan Gonzalo Varela,FC Porto,phonetic-fallback-openai,,알란 곤잘로 바렐라,바렐라
