external_id,eng_name,name_ko,short_name_ko
49583,A. Abdi,알리 압디,압디
378966,A. Adelgaard,아스케 에밀 베르그 아델가르드,아델가르드
323449,A. Al Dakhil,아민 알 다킬,알 다킬
554287,A. Arcos,아르코스,아르코스
21996,A. Baba,아브둘 라만 바바,바바
284795,A. Bellaarouch,알라 벨라루치,벨라루치
302432,A. Bianco,알레산드로 비앙코,비앙코
413237,A. Bibout,아론 바닌드 비바우트,비바우트
367472,A. Blake,에드리안 블레이크,블레이크
2096,A. Bodart,아르노 보다르,보다르
438688,A. Bouaddi,아유브 부아디,부아디
40594,A. Buksa,아담 북사,북사
157893,A. Camara,아기부 카마라,카마라
106811,A. Cohen,아비샤이 코헨,코헨
462209,A. Damjanović,알렉사 담야노비치,담야노비치
504300,A. DÄncuÈ,안드레이 던쿠스,던쿠스
494715,A. De Wannemacker,아우구스트 데 와네마커,와네마커
15811,A. Dovbyk,아르템 도우비크,도우비크
193188,A. El Ouazzani,아민 엘 와자니,와자니
321746,A. Engwanda,알론조 팀 엥완다-온게나,엥완다
181421,A. Ezzalzouli,아브데삼마드 에질조리,에질조리
287565,A. Gabriel,아담 가브리엘,가브리엘
70514,A. Gigović,아르민 기고비치,기고비치
566821,A. Gil,길,길
50006,A. Hadžiahmetović,아미르 하지아헤메토비치,하지아헤메토비치
623922,A. Hamdani,함다니,함다니
105993,A. Hoxha,아르버 호샤,호샤
15874,A. Jung,안토니 융,융
199871,A. Karabec,아담 카라벡,카라벡
24963,A. Karazor,아타칸 카라조르,카라조르
427260,A. Kayombo,악셀 카용보,카용보
620763,A. Kerr,커,커
1456,A. Maitland-Niles,에인슬리 메이틀랜드나일스,메이틀랜드나일스
290046,A. Makoumbou,앙투안 마쿰부,마쿰부
1567,A. Mandi,아이사 만디,만디
495478,A. Marcaccini,알레시오 마르카치니,마르카치니
497658,A. McCallion,에이든 맥캘리언,맥캘리언
137403,A. Muja,아르브노르 무야,무야
37380,A. Musaba,안토니 티테 무사바,무사바
446029,A. Mythou,아네스티스 뮈투,뮈투
586148,A. Novak,노바크,노바크
399,A. Nübel,알렉산더 뉘벨,뉘벨
584886,A. Ouarghi,와르기,와르기
297,A. Oxlade-Chamberlain,알렉산더 마크 데이비드 옥슬레이드-챔버레인,옥슬레이드
374581,A. Palacios,아드리안 호세 파라시오스 에르난데스,파라시오스
264408,A. Pantea,알렉산드루 그리고라스 판테아,판테아
367574,A. Pazar,알퍼 에페 파자르,파자르
423210,A. RajiÄ,안토니오 라지치,라지치
394183,A. Romano,알레산드로 지아니 로마노,로마노
290646,A. Sanches,알빈 안토니오 산체스,산체스
161790,A. Şimşir,도구한 아랄 심시르,심시르
386837,A. Sojka,알렉산드르 소이카,소이카
561571,A. Sousa,소우사,소우사
137210,A. Stiller,안젤로 슈틸러,슈틸러
42500,A. Șut,에드리안 게오르게 숯,숯
342918,A. Tetteh,앤드류스 테테,테테
91215,A. Tsiftsis,안토니스 츠프씨스,츠프씨스
278375,A. Varela,알란 곤잘로 바렐라,바렐라
28324,Á. Varga,아담 가보르 바르가,바르가
271572,A. Virginius,알란 비르지니우스,비르지니우스
31521,A. Vogliacco,알레산드로 볼리아코,볼리아코
304918,A. Yokoyama,요코야마 아유무,아유무
129169,A. Zaroury,아나스 자루리,자루리
579,A. Živković,안드리야 지브코비치,지브코비치
329358,Aaron Bott,아론 보트,보트
9700,Abner,압네르 비니시우스 다 실바 산토스,산토스
18812,Adrián,산 미겔 델 카스티요 애드리안,애드리안
345388,Afonso Moreira,아폰소 바스타르도 모레이라,모레이라
47119,Aitor Ruibal,아이토르 루이발 가르시아,가르시아
630584,Alaettin Ekici,알라에딘 에키치,에키치
438717,Alamara Djabi,알라마라 비리아토 자비,자비
330419,Alberto Baio,알베르토 올리베이라 바이오,바이오
409794,Alejandro Gomes Rodriguez,알레한드로 고메스 로드리게스,로드리게스
637438,Alexander Smith,알렉산더 스미스,스미스
142691,Alexsandro Ribeiro,알렉산드로 빅토르 데 소우자 리베이로,리베이로
750,Álvaro Fidalgo,알바로 페르난데스,페르난데스
182661,Álvaro Núñez,알바로 누네스 코보,누네스
46990,Álvaro Vallés,알바로 발레스 로사,로사
96476,Andorinha,조앙 파울루 산토스 다 코스타,코스타
515008,André Miranda,안드레 알렉산드르 멘데스 미란다,미란다
481678,Andrés Antañón,안드레스 안타뇬,안타뇬
294797,Ángel Alarcón,안헬 알라콘 가리오티,가리오티
334574,Ángel Ortiz,앙헬 오르티스,오르티스
227,Angeliño,앙헬리뇨,앙헬리뇨
620944,Angelos Vyntra,안젤로스 빈트라,빈트라
597760,Antonio Palac,안토니오 팔라크,팔라크
611325,Antonio Palac,안토니오 팔라크,팔라크
9971,Antony,안토니,안토니
286671,B. Alhassan,바바 알하산,알하산
2204,B. André,뱅자맹 앙드레,앙드레
162535,B. Arrey-Mbi,브라이트 아크우 아레이 엠비,엠비
368103,B. Çetin,베디르한 체틴,체틴
778,B. Cristante,브리안 크리스탄테,크리스탄테
347265,B. Domínguez,벤하민 도밍게즈,도밍게즈
610833,B. Dunga,둥가,둥가
340573,B. El Khannouss,빌랄 엘 카누스,카누스
14410,B. Goda,브루노 고다,고다
329361,B. Hammond,벤 해몬드,해몬드
1937,B. Heynen,브란 헤이넨,헤이넨
421937,B. Konteh Krubally,빌랄 콘테 크발리,크발리
262634,B. Lederman,벤자민 레더만,레더만
109564,B. Miovski,보얀 미오브스키,미오브스키
37147,B. Nieuwkoop,바르트 니우코프,니우코프
1337,B. Özer,베르케 어저,어저
340678,B. Stevens,브렌트 스티븐스,스티븐스
304161,B. Traoré,베니 트라오레,트라오레
199779,B. Yusuf,바미델레 이사 유수프,유수프
401493,B. Żelazowski,바르토시 젤라조프스키,젤라조프스키
550217,Benjámin Gólik,벤자민 골릭,골릭
505988,Bjorn Menzo,비욘 멘조,멘조
47348,Borja Iglesias,보르하 이글레시아스,이글레시아스
133453,Borja Sainz,보르하 사인스 에구스키자,에구스키자
611321,Brad-Hamilton Mantsounga,브래드-함민턴 만츠운가,만츠운가
286639,Bryan Zaragoza,브리안 사라고사,사라고사
554300,C. Adamson,아담슨,아담슨
3033,C. Bakambu,세드리크 바캄부,바캄부
8625,C. Bedia,크리스 비안니 베디아,베디아
203162,C. Bozdoğan,칸 보즈도안,보즈도안
610742,C. De Roa,데 로아,데 로아
952,C. Fassnacht,크리스티안 파스나흐트,파스나흐트
24798,C. Führich,크리스 퓌리히,퓌리히
619667,C. Geitonas,게이토나스,게이토나스
26236,C. Günter,크리스티안 귄터,귄터
47582,C. Hernández,후안 카밀로 에르난데스 수아레즈,에르난데스
15837,C. Holse,칼 요한 홀세 유스텐,유스텐
478483,C. Lakatos,총고르 라카토시,라카토시
2001,C. Larin,카일 래린,래린
30553,C. Lykogiannis,하랄람포스 릭오지아니스,릭오지아니스
375,C. Mbemba,찬셀 엠벰바 만구루,엠벰바
371027,C. Nwaiwu,치부이케 고드프리 나이우,나이우
47988,C. Starfelt,칼 안데르스 테오도르 스타르펠트,스타르펠트
519,C. Tolisso,코랑탱 톨리소,톨리소
277922,C. Twigt,칼빈 트위흐트,트위흐트
8680,C. Vanhoutte,샤를 뱅우트,뱅우트
37151,C. Verdonk,칼빈 베르동크,베르동크
453,C. Yüksel,제릴 유크셀,유크셀
449628,Cardoso Varela,카르도소 바렐라 바렐라,바렐라
286559,Carlos Domínguez,까를로스 도밍게스 카세레스,도밍게스
34211,Cho Gue-Sung,구에성 초,초
445566,Christian Zawieschitzky,크리스티안 자비에시츠키,자비에시츠키
400750,Christopher Olivier,크리스토퍼 올리비에,올리비에
41432,Cláudio Ramos,클라우디오 라모스,라모스
441958,Clement Bischoff,클레멘트 비쇼프,비쇼프
68,Clinton Mata,클린통 마타,마타
431149,Cyriaque Kalou Irié,시리아크 칼루 이리에,이리에
90663,D. Avdijaj,도니스 아브디야이,아브디야이
626715,D. Baroncioni,바론초니,바론초니
182434,D. Beljo,디온 드레나 벨조,벨조
460580,D. Berdos,베르도스,베르도스
126892,D. Bîrligea,조지 다니엘 비를리게아,비를리게아
1627,D. Calabria,다비데 칼라브리아,칼라브리아
338045,D. Castillo,데닐 다니엘 카스티요 프레시아도,카스티요
471796,D. Chatsidis,디미트리오스 차치디스,차치디스
51295,D. Cornelius,데릭 코닐리어스,코닐리어스
539,D. de Wit,다니 데 빗,데 빗
43002,D. Đoković,다먄 조코비치,조코비치
342019,D. Ghilardi,다니엘레 길라르디,길라르디
61142,D. Greif,도미닉 그라이프,그라이프
110624,D. Gropper,덴니 그로퍼,그로퍼
388570,D. Gül,데니즈 다니엘 글,글
8845,D. Heymans,단 헤이만스,헤이만스
203755,D. James,딘 루벤 제임스,제임스
128793,D. Jurásek,다비드 유라셀,유라셀
281989,D. Khudyakov,다니일 후디아코프,후디아코프
3380,D. Kiki,에나뇬 다비드 키키,키키
1725,D. Ljubičić,데얀 루비치치,루비치치
287,D. Lovren,데얀 로브렌,로브렌
135965,D. Males,다리안 말레스,말레스
938,D. Marzino,다리오 니콜라 마르지노,마르지노
42687,D. Miculescu,다비드 라울 미쿨레스쿠,미쿨레스쿠
93007,D. Min,다비드 민,민
340663,D. Monastirlis,디미트리오스 모나스티를리스,모나스티를리스
37760,D. Murkin,데리 존 머킨,머킨
43171,D. Olaru,다리우스 올라루,올라루
307117,D. Osorio,다리오 에스테반 오소리오 오소리오,오소리오
485637,D. Owusu,더글라스 오우수,오우수
394698,D. Pech,도미닉 페흐,페흐
2374,D. Pelkas,디미트리스 펠카스,펠카스
18128,D. Politic,덴니스-도리안 폴리틱,폴리틱
340572,D. Prpić,도미닉 프피치,프피치
162452,D. Rensch,데빈 렌스,렌스
286710,D. Scherhant,데리 라이오넬 셔한트,셔한트
19990,D. Sterling,두존 앙리퀘스 스털링,스털링
551532,D. Suchy,수키,수키
161576,D. Tsopouroglou,디미트리오스 쏘포루글루,쏘포루글루
26475,D. Undav,데니스 운다브,운다브
156998,D. van den Berg,다비 반 덴 베르흐,반 덴 베르흐
13,D. Zagadou,당악셀 자가두,자가두
286796,Damián Rodríguez,다미안 로드리게스 소우사,로드리게스
351131,Dani Pérez,다니엘 페레즈 게레로,페레즈
42007,Dani Silva,다니엘 필리페 반데이라 이 실바,실바
626330,Dani Tijman,다니 티이만,티이만
47302,Diego Llorente,디에고 요렌테,요렌테
361371,Diego Rodrigues,디에고 로드리게스,로드리게스
369,Diogo Costa,디오구 코스타,코스타
56011,Dor Peretz,도르 페레츠,페레츠
19133,E. Alioski,에즈잔 알리오스키,알리오스키
2869,E. Álvarez,에드손 오마르 알바레즈 벨라스케즈,알바레즈
47579,E. Ávila,루이스 에세키엘 아빌라,아빌라
500088,E. Biterge,엔진 찬 비테르게,비테르게
1188,E. Botheim,에릭 보테임,보테임
529600,E. Ceesay,에브리마 쎄샤이,쎄샤이
48056,E. Chilufya,에드워드 칠루피아 주니어,칠루피아
140847,E. Colley,에브리마 콜리,콜리
46930,E. Demirović,에르메딘 데미로비치,데미로비치
202526,E. Dinkçi,에렌 사미 딩크치,딩크치
449669,E. Doucouré,에밀 두쿠레,두쿠레
129643,E. Ferguson,에반 퍼거슨,퍼거슨
30405,E. Fernandes,에디밀손 페르난데스 리베이로,페르난데스
47985,E. Holm,에밀 홀름,홀름
50091,E. Kılınç,엠레 클른츠,클른츠
37781,E. Linthorst,헨리쿠스 제라르두스 후베르투스 마르 린토르스트,린토르스트
366341,E. Lorenz,엘리아스 로렌츠,로렌츠
598615,E. Lulli,이. 룰리,룰리
