external_id,eng_name,full_name,team,method,matched_name,name_ko,short_name_ko
2680,A. Abedzadeh,Amir Abedzadeh,Iran,wikidata-ko-label,Amir Abedzadeh,아미르 아베드자데,아베드자데
1370,A. Ayew,André Morgan Rami Ayew,Ghana,wikidata-ko-label,André Ayew,안드레 아예우,아예우
2942,A. Balbouli,Aymen Mathlouthi,Tunisia,wikidata-ko-label,Aymen Mathlouthi,아이멘 마틀루티,마틀루티
25061,A. Bella-Kotchap,Armel Bella-Kotchap,Germany,wikidata-ko-label,Armel Bella-Kotchap,아르멜 벨라코차프,벨라코차프
13955,A. Contreras,Anthony Daniel Contreras Enríquez,Costa Rica,wikidata-ko-label,Anthony Daniel Contreras Enríquez,안토니 콘트레라스,콘트레라스
49424,A. Dahmen,Aymen Dahmen,Tunisia,wikidata-ko-label,Aymen Dahmen,아이멘 다멘,다멘
36540,A. Dari,Achraf Dari,Morocco,wikidata-ko-label,Achraf Dari,아슈라프 다리,다리
7,A. Diallo,Abdou-Lakhad Diallo,Senegal,wikidata-ko-label,Abdou-Lakhad Diallo,압두 디알로,디알로
2985,A. Gomis,Amigo Alfred Benjamin Junior Gomis,Senegal,phonetic-fallback-openai,,알프레드 벤자민 주니어 고미스,고미스
1573,A. Guardado,José Andrés Guardado Hernández,Mexico,phonetic-fallback-openai,,호세 안드레스 과르다도 에르난데스,과르다도
44325,A. Hamed Allah,Abderrazzaq Hamed Allah,Morocco,phonetic-fallback-openai,,아브데라자크 하메드 알라,알라
375012,A. Hernández,Anthony William Hernández González,Costa Rica,phonetic-fallback-openai,,안토니 윌리엄 에르난데스 곤살레스,에르난데스
1990,A. Hutchinson,Atiba Hutchinson,Canada,wikidata-ko-label,Atiba Hutchinson,아티바 허친슨,허친슨
2924,A. Januzaj,Adnan Januzaj,Belgium,wikidata-ko-label,Adnan Januzaj,아드난 야누자이,야누자이
3002,A. Jędrzejczyk,Artur Marcin Jędrzejczyk,Poland,wikidata-ko-label,Artur Marcin Jędrzejczyk,아르투르 예드라예치크,예드라예치크
43246,A. Laïdouni,Aïssa Bilal Laïdouni,Tunisia,wikidata-ko-label,Aïssa Bilal Laïdouni,아이사 라이두니,라이두니
50952,A. Long,Aaron Ray Long,USA,wikidata-ko-label,Aaron Ray Long,에런 롱,롱
2947,A. Maâloul,Ali Maâloul,Tunisia,wikidata-ko-label,Ali Maâloul,알리 말룰,말룰
333,A. Milik,Arkadiusz Krystian Milik,Poland,wikidata-ko-label,Arkadiusz Milik,아르카디우시 밀리크,밀리크
2825,A. Mitrović,Aleksandar Mitrović,Serbia,phonetic-fallback-openai,,알렉산다르 미트로비치,미트로비치
19050,A. Mooy,Aaron Frank Mooy,Australia,wikidata-ko-label,Aaron Frank Mooy,에런 무이,무이
31632,A. Noppert,Andries Noppert,Netherlands,wikidata-ko-label,Andries Noppert,안드리스 노퍼르트,노퍼르트
8631,A. Nurudeen,Abdul Manaf Nurudeen,Ghana,wikidata-ko-label,Abdul Manaf Nurudeen,압둘 마나프 누루딘,누루딘
35786,A. Preciado,Eduar Ayrton Preciado García,Ecuador,phonetic-fallback-openai,,에두아르 아이르톤 프레시아도 가르시아,프레시아도
1459,A. Ramsey,Aaron James Ramsey,Wales,wikidata-ko-label,Aaron James Ramsey,에런 램지,램지
19053,A. Sabiri,Abdelhamid Sabiri,Morocco,wikidata-ko-label,Abdelhamid Sabiri,압델하미드 사비리,사비리
196187,A. Seidu,Alidu Seidu,Ghana,wikidata-ko-label,Alidu Seidu,알리두 세이두,세이두
15916,A. Skov Olsen,Andreas Skov Olsen,Denmark,wikidata-ko-label,Andreas Skov Olsen,안드레아스 스코우 올센,올센
2703,A. Tagnaouti,Ahmed Reda Tagnaouti,Morocco,wikidata-ko-label,Ahmed Reda Tagnaouti,아흐메드 레다 타그나우티,타그나우티
35704,A. Talavera,Alfredo Talavera Díaz,Mexico,phonetic-fallback-openai,,알프레도 탈라베라 디아스,탈라베라
196254,Á. Zamora,Álvaro José Zamora Mata,Costa Rica,wikidata-ko-label,Álvaro José Zamora Mata,알바로 사모라,사모라
44350,Abdullah Otayf,Abdullah Ibrahim Yahya Otayf,Saudi Arabia,wikidata-ko-label,Abdullah Otayf,압둘라 오타이프,오타이프
59,Álvaro Morata,Álvaro Borja Morata Martín,Spain,wikidata-ko-label,Álvaro Borja Morata Martín,알바로 모라타,모라타
2063,André Silva,André Miguel Valente da Silva,Portugal,wikidata-ko-label,André Miguel Valente da Silva,안드레 실바,실바
14206,B. Aguilera,Brandon Aguilera Zamora,Costa Rica,wikidata-ko-label,Brandon Aguilera Zamora,브란돈 아길레라,아길레라
1738,B. Barišić,Borna Barišić,Croatia,wikidata-ko-label,Borna Barišić,보르나 바리시치,바리시치
49610,B. Ben Saïd,Béchir Ben Saïd,Tunisia,phonetic-fallback-openai,,베시르 벤 사이드,벤 사이드
36556,B. Benoun,Badr Benoun,Morocco,wikidata-ko-label,Badr Benoun,바드르 베눈,베눈
3000,B. Bereszyński,Bartosz Bereszyński,Poland,wikidata-ko-label,Bartosz Bereszyński,바르토시 베레신스키,베레신스키
49587,B. Ifa,Bilel Ifa,Tunisia,wikidata-ko-label,Bilel Ifa,빌렐 이파,이파
19895,B. Oviedo,Bryan Josué Oviedo Jiménez,Costa Rica,wikidata-ko-label,Bryan Josué Oviedo Jiménez,브리안 오비에도,오비에도
1331,B. Petković,Bruno Petković,Croatia,wikidata-ko-label,Bruno Petković,브루노 페트코비치,페트코비치
66029,B. Tetteh,Benjamin Tetteh,Ghana,wikidata-ko-label,Benjamin Tetteh,벤저민 테테,테테
19266,B. Wright,Bailey Colin Wright,Australia,wikidata-ko-label,Bailey Colin Wright,베일리 라이트,라이트
2849,Bryan Jafet Ruiz González,Bryan Jafet Ruiz González,Costa Rica,wikidata-ko-label,Bryan Jafet Ruiz González,브리안 루이스,루이스
3408,C. Bassogog,Christian Mougang Bassogog,Cameroon,wikidata-ko-label,Christian Mougang Bassogog,크리스티앙 바소고그,바소고그
2840,C. Borges,Celso Borges Mora,Costa Rica,phonetic-fallback-openai,,셀소 보르헤스 모라,보르헤스
3430,C. Ekuban,Caleb Ansah Ekuban,Ghana,phonetic-fallback-openai,,카렙 안사 에쿠반,에쿠반
174,C. Eriksen,Christian Dannemann Eriksen,Denmark,wikidata-ko-label,Christian Dannemann Eriksen,크리스티안 에릭센,에릭센
2100,C. Fai,Ngoran Suiru Fai Collins,Cameroon,phonetic-fallback-openai,,엔고란 수이루 파이 콜린스,파이
19602,C. Gunter,Christopher Ross Gunter,Wales,phonetic-fallback-openai,,크리스토퍼 로스 건터,건터
2991,C. Kouyaté,Cheikhou Kouyaté,Senegal,wikidata-ko-label,Cheikhou Kouyaté,셰쿠 쿠야테,쿠야테
13939,C. Martínez,Carlos Manuel Martínez Castro,Costa Rica,wikidata-ko-label,Carlos Manuel Martínez Castro,카를로스 마르티네스,마르티네스
19331,C. Roberts,Connor Richard John Roberts,Wales,wikidata-ko-label,Connor Roberts,코너 로버츠,로버츠
20916,C. Wooh,Christopher Maurice Wooh,Cameroon,wikidata-ko-label,Christopher Wooh,크리스토페르 우,우
2280,César Azpilicueta,César Azpilicueta Tanco,Spain,wikidata-ko-label,César Azpilicueta Tanco,세사르 아스필리쿠에타,아스필리쿠에타
874,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Portugal,wikidata-ko-label,Cristiano Ronaldo dos Santos Aveiro,크리스티아누 호날두 주니오르,주니오르
303468,D. Afriyie,Daniel Afriyie Barnieh,Ghana,wikidata-ko-label,Daniel Afriyie Barnieh,다니엘 아프리이,아프리이
3421,D. Amartey,Daniel Amartey,Ghana,wikidata-ko-label,Daniel Amartey,대니얼 아마티,아마티
531,D. Blind,Daley Blind,Netherlands,wikidata-ko-label,Daley Blind,데일리 블린트,블린트
13969,D. Chacón,Daniel Alonso Chacón Salas,Costa Rica,wikidata-ko-label,Daniel Alonso Chacón Salas,다니엘 차콘,차콘
26940,D. Epassy,Devis Rogers Epassy Mboka,Cameroon,wikidata-ko-label,Devis Rogers Epassy Mboka,드비 에파시,에파시
32,D. Godín,Diego Roberto Godín Leal,Uruguay,wikidata-ko-label,Diego Roberto Godín Leal,디에고 고딘,고딘
25530,D. Kyereh,Daniel-Kofi Kyereh,Ghana,wikidata-ko-label,Daniel-Kofi Kyereh,다니엘코피 체레,체레
2822,D. Lazović,Darko Lazović,Serbia,wikidata-ko-label,Darko Lazović,다르코 라조비치,라조비치
70335,D. Levitt,Dylan James Christopher Levitt,Wales,wikidata-ko-label,Dylan James Christopher Levitt,딜런 레빗,레빗
14106,D. López,Douglas Andrey López Araya,Costa Rica,wikidata-ko-label,Douglas Andrey López Araya,더글라스 로페스,로페스
50027,D. Melnjak,Dario Melnjak,Croatia,phonetic-fallback-openai,,다리오 멜냐크,멜냐크
