external_id,eng_name,name_ko,short_name_ko
2680,A. Abedzadeh,아미르 아베드자데,아베드자데
1370,A. Ayew,안드레 아예우,아예우
2942,A. Balbouli,아이멘 마틀루티,마틀루티
25061,A. Bella-Kotchap,아르멜 벨라코차프,벨라코차프
13955,A. Contreras,안토니 콘트레라스,콘트레라스
49424,A. Dahmen,아이멘 다멘,다멘
36540,A. Dari,아슈라프 다리,다리
7,A. Diallo,압두 디알로,디알로
2985,A. Gomis,알프레드 벤자민 주니어 고미스,고미스
1573,A. Guardado,호세 안드레스 과르다도 에르난데스,과르다도
44325,A. Hamed Allah,아브데라자크 하메드 알라,알라
375012,A. Hernández,안토니 윌리엄 에르난데스 곤살레스,에르난데스
1990,A. Hutchinson,아티바 허친슨,허친슨
2924,A. Januzaj,아드난 야누자이,야누자이
3002,A. Jędrzejczyk,아르투르 예드라예치크,예드라예치크
43246,A. Laïdouni,아이사 라이두니,라이두니
50952,A. Long,에런 롱,롱
2947,A. Maâloul,알리 말룰,말룰
333,A. Milik,아르카디우시 밀리크,밀리크
2825,A. Mitrović,알렉산다르 미트로비치,미트로비치
19050,A. Mooy,에런 무이,무이
31632,A. Noppert,안드리스 노퍼르트,노퍼르트
8631,A. Nurudeen,압둘 마나프 누루딘,누루딘
35786,A. Preciado,에두아르 아이르톤 프레시아도 가르시아,프레시아도
1459,A. Ramsey,에런 램지,램지
19053,A. Sabiri,압델하미드 사비리,사비리
196187,A. Seidu,알리두 세이두,세이두
15916,A. Skov Olsen,안드레아스 스코우 올센,올센
2703,A. Tagnaouti,아흐메드 레다 타그나우티,타그나우티
35704,A. Talavera,알프레도 탈라베라 디아스,탈라베라
196254,Á. Zamora,알바로 사모라,사모라
44350,Abdullah Otayf,압둘라 오타이프,오타이프
59,Álvaro Morata,알바로 모라타,모라타
2063,André Silva,안드레 실바,실바
14206,B. Aguilera,브란돈 아길레라,아길레라
1738,B. Barišić,보르나 바리시치,바리시치
49610,B. Ben Saïd,베시르 벤 사이드,벤 사이드
36556,B. Benoun,바드르 베눈,베눈
3000,B. Bereszyński,바르토시 베레신스키,베레신스키
49587,B. Ifa,빌렐 이파,이파
19895,B. Oviedo,브리안 오비에도,오비에도
1331,B. Petković,브루노 페트코비치,페트코비치
66029,B. Tetteh,벤저민 테테,테테
19266,B. Wright,베일리 라이트,라이트
2849,Bryan Jafet Ruiz González,브리안 루이스,루이스
3408,C. Bassogog,크리스티앙 바소고그,바소고그
2840,C. Borges,셀소 보르헤스 모라,보르헤스
3430,C. Ekuban,카렙 안사 에쿠반,에쿠반
174,C. Eriksen,크리스티안 에릭센,에릭센
2100,C. Fai,엔고란 수이루 파이 콜린스,파이
19602,C. Gunter,크리스토퍼 로스 건터,건터
2991,C. Kouyaté,셰쿠 쿠야테,쿠야테
13939,C. Martínez,카를로스 마르티네스,마르티네스
19331,C. Roberts,코너 로버츠,로버츠
20916,C. Wooh,크리스토페르 우,우
2280,César Azpilicueta,세사르 아스필리쿠에타,아스필리쿠에타
874,Cristiano Ronaldo,크리스티아누 호날두 주니오르,주니오르
303468,D. Afriyie,다니엘 아프리이,아프리이
3421,D. Amartey,대니얼 아마티,아마티
531,D. Blind,데일리 블린트,블린트
13969,D. Chacón,다니엘 차콘,차콘
26940,D. Epassy,드비 에파시,에파시
32,D. Godín,디에고 고딘,고딘
25530,D. Kyereh,다니엘코피 체레,체레
2822,D. Lazović,다르코 라조비치,라조비치
70335,D. Levitt,딜런 레빗,레빗
14106,D. López,더글라스 로페스,로페스
50027,D. Melnjak,다리오 멜냐크,멜냐크
