external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
2680,A. Abedzadeh,Amir Abedzadeh,Iran,Iran,,
1370,A. Ayew,André Morgan Rami Ayew,Ghana,Ghana,,
2942,A. Balbouli,Aymen Mathlouthi,Tunisia,Tunisia,,
25061,A. Bella-Kotchap,Armel Bella-Kotchap,Germany,Germany,,
13955,A. Contreras,Anthony Daniel Contreras Enríquez,Costa Rica,Costa Rica,,
49424,A. Dahmen,Aymen Dahmen,Tunisia,Tunisia,,
36540,A. Dari,Achraf Dari,Morocco,Morocco,,
7,A. Diallo,Abdou-Lakhad Diallo,Senegal,Senegal,,
2985,A. Gomis,Amigo Alfred Benjamin Junior Gomis,Senegal,Senegal,,
1573,A. Guardado,José Andrés Guardado Hernández,Mexico,Mexico,,
44325,A. Hamed Allah,Abderrazzaq Hamed Allah,Morocco,Morocco,,
375012,A. Hernández,Anthony William Hernández González,Costa Rica,Costa Rica,,
1990,A. Hutchinson,Atiba Hutchinson,Canada,Canada,,
2924,A. Januzaj,Adnan Januzaj,Belgium,Belgium,,
3002,A. Jędrzejczyk,Artur Marcin Jędrzejczyk,Poland,Poland,,
43246,A. Laïdouni,Aïssa Bilal Laïdouni,Tunisia,Tunisia,,
50952,A. Long,Aaron Ray Long,USA,USA,,
2947,A. Maâloul,Ali Maâloul,Tunisia,Tunisia,,
333,A. Milik,Arkadiusz Krystian Milik,Poland,Poland,,
2825,A. Mitrović,Aleksandar Mitrović,Serbia,Serbia,,
19050,A. Mooy,Aaron Frank Mooy,Australia,Australia,,
31632,A. Noppert,Andries Noppert,Netherlands,Netherlands,,
8631,A. Nurudeen,Abdul Manaf Nurudeen,Ghana,Ghana,,
35786,A. Preciado,Eduar Ayrton Preciado García,Ecuador,Ecuador,,
1459,A. Ramsey,Aaron James Ramsey,Wales,Wales,,
19053,A. Sabiri,Abdelhamid Sabiri,Morocco,Morocco,,
196187,A. Seidu,Alidu Seidu,Ghana,Ghana,,
15916,A. Skov Olsen,Andreas Skov Olsen,Denmark,Denmark,,
2703,A. Tagnaouti,Ahmed Reda Tagnaouti,Morocco,Morocco,,
35704,A. Talavera,Alfredo Talavera Díaz,Mexico,Mexico,,
196254,Á. Zamora,Álvaro José Zamora Mata,Costa Rica,Costa Rica,,
44350,Abdullah Otayf,Abdullah Ibrahim Yahya Otayf,Saudi Arabia,Saudi Arabia,,
59,Álvaro Morata,Álvaro Borja Morata Martín,Spain,Spain,,
2063,André Silva,André Miguel Valente da Silva,Portugal,Portugal,,
14206,B. Aguilera,Brandon Aguilera Zamora,Costa Rica,Costa Rica,,
1738,B. Barišić,Borna Barišić,Croatia,Croatia,,
49610,B. Ben Saïd,Béchir Ben Saïd,Tunisia,Tunisia,,
36556,B. Benoun,Badr Benoun,Morocco,Morocco,,
3000,B. Bereszyński,Bartosz Bereszyński,Poland,Poland,,
49587,B. Ifa,Bilel Ifa,Tunisia,Tunisia,,
19895,B. Oviedo,Bryan Josué Oviedo Jiménez,Costa Rica,Costa Rica,,
1331,B. Petković,Bruno Petković,Croatia,Croatia,,
