external_id,eng_name,full_name,team,method,matched_name,name_ko,short_name_ko
342740,A. Abada,Achref Abada,Algeria,phonetic-fallback-openai,,아크레프 아바다,아바다
137129,A. Aouchiche,Adil Aouchiche,Algeria,phonetic-fallback-openai,,아딜 아우치체,아우치체
292924,A. Benbouali,Ahmed Nadir Benbouali,Algeria,phonetic-fallback-openai,,아흐메드 나디르 벤부발리,벤부발리
329163,A. Boulbina,Adil Boulbina,Algeria,phonetic-fallback-openai,,아딜 불비나,불비나
23107,A. Guendouz,Alexis Benoit Guendouz,Algeria,phonetic-fallback-openai,,알렉시스 베누아 근두즈,근두즈
4496,A. Kendouci,Ahmed Kendouci,Algeria,phonetic-fallback-openai,,아흐메드 켄두시,켄두시
21137,A. Mandréa,Anthony Louis Mandréa,Algeria,phonetic-fallback-openai,,안토니 루이 마안드레아,마안드레아
3176,B. Bounedjah,Baghdad Bounedjah,Algeria,wikidata-ko-label,Baghdad Bounedjah,바그다드 부네자,부네자
334915,F. Ghedjemis,Farès Ghedjemis,Algeria,phonetic-fallback-openai,,파레스 게드제미스,게드제미스
658,H. Aouar,Houssem-Eddine Chaâbane Aouar,Algeria,wikidata-ko-label,Houssem-Eddine Chaâbane Aouar,우셈 아우아르,아우아르
1374,I. Slimani,Islam Slimani,Algeria,wikidata-ko-label,Islam Slimani,이슬람 슬리마니,슬리마니
601332,Kilian Belazzoug,Kilian Belazzoug,Algeria,phonetic-fallback-openai,,킬리안 벨라주그,벨라주그
732,L. Zidane,Luca Zinedine Zidane Fernández,Algeria,phonetic-fallback-openai,,루카 지네딘 지다네 페르난데스,페르난데스
200139,M. Amoura,Mohammed El Amine Amoura,Algeria,phonetic-fallback-openai,,모하메드 엘 아민 아무라,아무라
4509,M. Barka,Mohamed El Amine Barka,Algeria,phonetic-fallback-openai,,모하메드 엘 아민 바르카,바르카
284935,M. Dorval,Mehdi Emile Dorval,Algeria,phonetic-fallback-openai,,메디 에밀 도르발,도르발
304229,M. Mastil,Melvin Feyçal Mastil,Algeria,phonetic-fallback-openai,,멜빈 페이살 마스틸,마스틸
4569,M. Tougai,Mohamed Amine Tougai,Algeria,phonetic-fallback-openai,,모하메드 아민 투가이,투가이
303362,R. Belghali,Rafik Belghali,Algeria,phonetic-fallback-openai,,라피크 벨갈리,벨갈리
635,R. Mahrez,Riyad Karim Mahrez,Algeria,wikidata-ko-label,Riyad Karim Mahrez,리야드 마흐레즈,마흐레즈
129047,R. Zerrouki,Ramiz Larbi Zerrouki,Algeria,wikidata-ko-label,Ramiz Larbi Zerrouki,라미즈 제루키,제루키
191336,S. Nair,Sohaib Nair,Algeria,phonetic-fallback-openai,,소하이브 나이르,나이르
49416,Y. Belaïli,Mohamed Youcef Belaïli,Algeria,phonetic-fallback-openai,,모하메드 유세프 벨라일리,벨라일리
327599,Y. Titraoui,Yacine Titraoui,Algeria,phonetic-fallback-openai,,야신 티트라우이,티트라우이
4561,Z. Belaïd,Zinéddine Belaïd,Algeria,phonetic-fallback-openai,,지네딘 벨라이드,벨라이드
266,Á. Di María,Ángel Fabián Di María Hernández,Argentina,wikidata-ko-label,Ángel Fabián Di María Hernández,앙헬 디 마리아,마리아
306706,A. Giay,Agustín Giay,Argentina,phonetic-fallback-openai,,아구스틴 기아이,기아이
6092,A. Velasco,Alan Agustín Velasco,Argentina,phonetic-fallback-openai,,알란 아구스틴 벨라스코,벨라스코
152931,B. Zapelli,Bruno Zapelli,Argentina,phonetic-fallback-openai,,브루노 자펠리,자펠리
2463,F. Armani,Franco Armani,Argentina,wikidata-ko-label,Franco Armani,프랑코 아르마니,아르마니
159122,F. Farías,Facundo Hernán Farías,Argentina,phonetic-fallback-openai,,파쿤도 에르난 파리아스,파리아스
2468,G. Montiel,Gonzalo Ariel Montiel,Argentina,wikidata-ko-label,Gonzalo Ariel Montiel,곤살로 몬티엘,몬티엘
2469,G. Pezzella,Germán Alejo Pezzella,Argentina,wikidata-ko-label,Germán Alejo Pezzella,헤르만 페첼라,페첼라
6608,G. Rojas,Gabriel Hernán Rojas,Argentina,phonetic-fallback-openai,,가브리엘 에르난 로하스,로하스
295513,J. López,José Manuel Alberto López,Argentina,phonetic-fallback-openai,,호세 마누엘 알베르토 로페스,로페스
237206,K. Lomónaco,Kevin Joel Lomónaco,Argentina,phonetic-fallback-openai,,케빈 조엘 로모나코,로모나코
6010,L. Beltrán,Lucas Beltrán,Argentina,wikidata-ko-label,Lucas Beltrán,루카스 벨트란,벨트란
288704,L. Esquivel,Lucas Ángel Esquivel,Argentina,wikidata-ko-label,Lucas Ángel Esquivel,루카스 에스키벨,에스키벨
6000,L. Martínez,Lucas Martínez Quarta,Argentina,wikidata-ko-label,Lucas Martínez Quarta,루카스 마르티네스 콰르타,콰르타
154,L. Messi,Lionel Andrés Messi Cuccittini,Argentina,wikidata-ko-label,Lionel Andrés Messi Cuccittini,리오넬 메시,메시
1911,L. Ocampos,Lucas Ariel Ocampos,Argentina,wikidata-ko-label,Lucas Ocampos,루카스 오캄포스,오캄포스
271,L. Paredes,Leandro Daniel Paredes,Argentina,wikidata-ko-label,Leandro Daniel Paredes,레안드로 파레데스,파레데스
1493,M. Acuña,Marcos Javier Acuña,Argentina,wikidata-ko-label,Marcos Javier Acuña,마르코스 아쿠냐,아쿠냐
288699,M. Perrone,Máximo Perrone,Argentina,wikidata-ko-label,Máximo Perrone,막시모 페로네,페로네
212842,Marco Pellegrino,Marco Pellegrino,Argentina,wikidata-ko-label,Marco Pellegrino,마르코 펠레그리노,펠레그리노
350037,N. Paz,Nicolás Paz Martínez,Argentina,wikidata-ko-label,Nicolás Paz Martínez,니코 파스,파스
37,N. Pérez,Patricio Nehuén Pérez,Argentina,wikidata-ko-label,Patricio Pérez,파트리시오 페레스,페레스
311071,N. Valentini,Nicolás Valentini,Argentina,wikidata-ko-label,Nicolás Valentini,니콜라스 발렌티니,발렌티니
26302,Pablo Maffeo,Pablo Carmine Maffeo Becerra,Argentina,wikidata-ko-label,Pablo Carmine Maffeo Becerra,파블로 마페오,마페오
319572,V. Barco,Valentín Barco,Argentina,wikidata-ko-label,Valentín Barco,발렌틴 바르코,바르코
225,A. Behich,Aziz Eraltay Behich,Australia,wikidata-ko-label,Aziz Eraltay Behich,아지즈 베히치,베히치
6829,A. Cáceres,Anthony Richard Cáceres,Australia,phonetic-fallback-openai,,안토니 리차드 카세레스,카세레스
348568,A. Circati,Alessandro Circati,Australia,phonetic-fallback-openai,,알레산드로 치르카티,치르카티
2743,A. Gersbach,Alexander Joseph Gersbach,Australia,phonetic-fallback-openai,,알렉산더 조셉 거스바흐,거스바흐
6799,A. Grant,Alexander Ian Grant,Australia,wikidata-ko-label,Alexander Ian Grant,알렉스 그랜트,그랜트
38123,A. Hrustić,Ajdin Hrustić,Australia,phonetic-fallback-openai,,아이딘 흐루스티치,흐루스티치
2755,A. Mabil,Awer Bul Mabil,Australia,wikidata-ko-label,Awer Bul Mabil,아워 마빌,마빌
7050,A. O&apos;Neill,Aiden Connor O'Neill,Australia,phonetic-fallback-openai,,에이든 코너 오닐,오닐
