external_id,eng_name,name_ko,short_name_ko
342740,A. Abada,아크레프 아바다,아바다
137129,A. Aouchiche,아딜 아우치체,아우치체
292924,A. Benbouali,아흐메드 나디르 벤부발리,벤부발리
329163,A. Boulbina,아딜 불비나,불비나
23107,A. Guendouz,알렉시스 베누아 근두즈,근두즈
4496,A. Kendouci,아흐메드 켄두시,켄두시
21137,A. Mandréa,안토니 루이 마안드레아,마안드레아
3176,B. Bounedjah,바그다드 부네자,부네자
334915,F. Ghedjemis,파레스 게드제미스,게드제미스
658,H. Aouar,우셈 아우아르,아우아르
1374,I. Slimani,이슬람 슬리마니,슬리마니
601332,Kilian Belazzoug,킬리안 벨라주그,벨라주그
732,L. Zidane,루카 지네딘 지다네 페르난데스,페르난데스
200139,M. Amoura,모하메드 엘 아민 아무라,아무라
4509,M. Barka,모하메드 엘 아민 바르카,바르카
284935,M. Dorval,메디 에밀 도르발,도르발
304229,M. Mastil,멜빈 페이살 마스틸,마스틸
4569,M. Tougai,모하메드 아민 투가이,투가이
303362,R. Belghali,라피크 벨갈리,벨갈리
635,R. Mahrez,리야드 마흐레즈,마흐레즈
129047,R. Zerrouki,라미즈 제루키,제루키
191336,S. Nair,소하이브 나이르,나이르
49416,Y. Belaïli,모하메드 유세프 벨라일리,벨라일리
327599,Y. Titraoui,야신 티트라우이,티트라우이
4561,Z. Belaïd,지네딘 벨라이드,벨라이드
266,Á. Di María,앙헬 디 마리아,마리아
306706,A. Giay,아구스틴 기아이,기아이
6092,A. Velasco,알란 아구스틴 벨라스코,벨라스코
152931,B. Zapelli,브루노 자펠리,자펠리
2463,F. Armani,프랑코 아르마니,아르마니
159122,F. Farías,파쿤도 에르난 파리아스,파리아스
2468,G. Montiel,곤살로 몬티엘,몬티엘
2469,G. Pezzella,헤르만 페첼라,페첼라
6608,G. Rojas,가브리엘 에르난 로하스,로하스
295513,J. López,호세 마누엘 알베르토 로페스,로페스
237206,K. Lomónaco,케빈 조엘 로모나코,로모나코
6010,L. Beltrán,루카스 벨트란,벨트란
288704,L. Esquivel,루카스 에스키벨,에스키벨
6000,L. Martínez,루카스 마르티네스 콰르타,콰르타
154,L. Messi,리오넬 메시,메시
1911,L. Ocampos,루카스 오캄포스,오캄포스
271,L. Paredes,레안드로 파레데스,파레데스
1493,M. Acuña,마르코스 아쿠냐,아쿠냐
288699,M. Perrone,막시모 페로네,페로네
212842,Marco Pellegrino,마르코 펠레그리노,펠레그리노
350037,N. Paz,니코 파스,파스
37,N. Pérez,파트리시오 페레스,페레스
311071,N. Valentini,니콜라스 발렌티니,발렌티니
26302,Pablo Maffeo,파블로 마페오,마페오
319572,V. Barco,발렌틴 바르코,바르코
225,A. Behich,아지즈 베히치,베히치
6829,A. Cáceres,안토니 리차드 카세레스,카세레스
348568,A. Circati,알레산드로 치르카티,치르카티
2743,A. Gersbach,알렉산더 조셉 거스바흐,거스바흐
6799,A. Grant,알렉스 그랜트,그랜트
38123,A. Hrustić,아이딘 흐루스티치,흐루스티치
2755,A. Mabil,아워 마빌,마빌
7050,A. O&apos;Neill,에이든 코너 오닐,오닐
6820,A. Redmayne,앤드류 제임스 레드메인,레드메인
6892,A. Stamatelopoulos,아포스톨로스 바실리오스 스타마텔로푸로스,스타마텔로푸로스
34711,A. Taggart,애덤 태가트,태가트
153603,A. Toure,알 하산 투레,투레
26253,B. Borello,브랜든 조엘 가에타노 보렐로,보렐로
6918,B. Fornaroli,브루노 포르나롤리 메짜,포르나롤리
6832,C. Devlin,캐머런 데블린,데블린
6888,C. Goodwin,크레이그 굿윈,굿윈
6904,C. Metcalfe,코너 멧캐프,멧캐프
14386,F. Karačić,프란 카라치치,카라치치
6937,G. Stensness,지아니 라이언 스텐스네스,스텐스네스
20079,H. Souttar,해리 수타,수타
6797,J. Davidson,제이슨 데이비드슨,데이비드슨
33847,J. Geria,제이슨 게리아,게리아
177649,J. Iredale,존 워릭 아이데일,아이데일
45180,J. Iredale,잭 헨리 스튜어트 이레델,이레델
2749,J. Irvine,잭슨 어빈,어빈
6822,J. King,조엘 킹,킹
2756,J. Maclaren,제이미 매클래런,매클래런
7049,J. Nisbet,조슈아 제프리 니스벳,니스벳
6984,K. Baccus,키아누 배커스,배커스
427056,K. Bos,케이시 보스,보스
7038,K. Rowles,카이 롤스,롤스
153622,K. Trewin,카이 클리프턴 트레윈,트레윈
153645,K. Yengi,쿠시니 옝기,옝기
6911,L. Brattan,루크 브래턴,브래턴
6845,L. Thomas,로렌스 앤드루 킹슬리 토마스,토마스
296642,M. Balard,막심리앵 발라르,발라르
44843,M. Boyle,마틴 보일,보일
2742,M. Degenek,밀로시 데게네크,데게네크
6993,M. Duke,미첼 듀크,듀크
2751,M. Leckie,매슈 레키,레키
2741,M. Ryan,매슈 라이언,라이언
68041,M. Tilio,마르코 틸리오,틸리오
6908,N. Atkinson,너새니얼 앳킨슨,앳킨슨
262960,N. Milanovic,니콜라스 밀라노비치,밀라노비치
216812,N. Triantis,넥타리오스 트리안티스,트리안티스
312459,N. Velupillay,니샨 벨루필레이,벨루필레이
6870,P. Izzo,폴 이조,이조
269539,P. Yazbek,패트릭 야즈벡,야즈벡
2744,R. Grant,라이언 그랜트,그랜트
6913,R. McGree,라일리 맥그리,맥그리
6885,R. Strain,라이언 스트레인,스트레인
154737,Ryan Teague,라이언 티그,티그
6849,T. Deng,토머스 뎅,뎅
7327,A. Prass,알렉산더 프라스,프라스
715,C. Baumgartner,크리스토프 바움가르트너,바움가르트너
126640,D. Affengruber,다비드 아펜그루버,아펜그루버
25314,M. Friedl,마르코 프리들,프리들
25297,M. Gregoritsch,미하엘 그레고리치,그레고리치
7090,M. Svoboda,마이클 스보보다,스보보다
7328,N. Seiwald,니콜라스 자이발트,자이발트
25915,P. Mwene,필립 무에네,무에네
7598,P. Pentz,파트리크 펜츠,펜츠
126642,P. Wimmer,파트리크 비머,비머
7562,R. Schmid,로마노 슈미트,슈미트
711,S. Posch,슈테판 포슈,포슈
1095,X. Schlager,크사버 슐라거,슐라거
1417,A. Saelemaekers,알렉시스 세일러메이커스,세일러메이커스
20,A. Witsel,악셀 비첼,비첼
162141,K. De Winter,코니 더빈터르,더빈터르
322560,L. Stassin,루카스 프레데릭 스타신,스타신
1924,M. Vandevoordt,마르텐 반데보르트,반데보르트
453903,Nathan De Cat,나단 데 카트,데 카트
264094,B. Tahirović,벤자민 타히로비치,타히로비치
25129,D. Burnić,제니스 부르니치,부르니치
31241,D. Šarić,다리오 샤리치,샤리치
705,E. Bičakčić,에르민 비착치치,비착치치
790,E. Džeko,에딘 제코,제코
50067,H. Hajradinović,하리스 하이라디노비치,하이라디노비치
162222,I. Bašić,이반 바시치,바시치
1324,I. Šunjić,이반 순지치,순지치
108370,M. Zlomislić,마르틴 즐로미슬리치,즐로미슬리치
