external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
342740,A. Abada,Achref Abada,Algeria,Algeria,,
137129,A. Aouchiche,Adil Aouchiche,France,Algeria,,
292924,A. Benbouali,Ahmed Nadir Benbouali,Algeria,Algeria,,
329163,A. Boulbina,Adil Boulbina,Algeria,Algeria,,
23107,A. Guendouz,Alexis Benoit Guendouz,Algeria,Algeria,,
4496,A. Kendouci,Ahmed Kendouci,Algeria,Algeria,,
21137,A. Mandréa,Anthony Louis Mandréa,Algeria,Algeria,,
3176,B. Bounedjah,Baghdad Bounedjah,Algeria,Algeria,,
334915,F. Ghedjemis,Farès Ghedjemis,France,Algeria,,
658,H. Aouar,Houssem-Eddine Chaâbane Aouar,Algeria,Algeria,,
1374,I. Slimani,Islam Slimani,Algeria,Algeria,,
601332,Kilian Belazzoug,Kilian Belazzoug,,Algeria,,
732,L. Zidane,Luca Zinedine Zidane Fernández,France,Algeria,,
200139,M. Amoura,Mohammed El Amine Amoura,Algeria,Algeria,,
4509,M. Barka,Mohamed El Amine Barka,Algeria,Algeria,,
284935,M. Dorval,Mehdi Emile Dorval,France,Algeria,,
304229,M. Mastil,Melvin Feyçal Mastil,France,Algeria,,
4569,M. Tougai,Mohamed Amine Tougai,Algeria,Algeria,,
303362,R. Belghali,Rafik Belghali,Algeria,Algeria,,
635,R. Mahrez,Riyad Karim Mahrez,Algeria,Algeria,,
129047,R. Zerrouki,Ramiz Larbi Zerrouki,Algeria,Algeria,,
191336,S. Nair,Sohaib Nair,France,Algeria,,
49416,Y. Belaïli,Mohamed Youcef Belaïli,Algeria,Algeria,,
327599,Y. Titraoui,Yacine Titraoui,Algeria,Algeria,,
4561,Z. Belaïd,Zinéddine Belaïd,Algeria,Algeria,,
266,Á. Di María,Ángel Fabián Di María Hernández,Argentina,Argentina,,
306706,A. Giay,Agustín Giay,Argentina,Argentina,,
6092,A. Velasco,Alan Agustín Velasco,Argentina,Argentina,,
152931,B. Zapelli,Bruno Zapelli,Argentina,Argentina,,
2463,F. Armani,Franco Armani,Argentina,Argentina,,
159122,F. Farías,Facundo Hernán Farías,Argentina,Argentina,,
2468,G. Montiel,Gonzalo Ariel Montiel,Argentina,Argentina,,
2469,G. Pezzella,Germán Alejo Pezzella,Argentina,Argentina,,
6608,G. Rojas,Gabriel Hernán Rojas,Argentina,Argentina,,
295513,J. López,José Manuel Alberto López,Argentina,Argentina,,
237206,K. Lomónaco,Kevin Joel Lomónaco,Argentina,Argentina,,
6010,L. Beltrán,Lucas Beltrán,Argentina,Argentina,,
288704,L. Esquivel,Lucas Ángel Esquivel,Argentina,Argentina,,
6000,L. Martínez,Lucas Martínez Quarta,Argentina,Argentina,,
154,L. Messi,Lionel Andrés Messi Cuccittini,Argentina,Argentina,,
1911,L. Ocampos,Lucas Ariel Ocampos,Argentina,Argentina,,
271,L. Paredes,Leandro Daniel Paredes,Argentina,Argentina,,
1493,M. Acuña,Marcos Javier Acuña,Argentina,Argentina,,
288699,M. Perrone,Máximo Perrone,Argentina,Argentina,,
212842,Marco Pellegrino,Marco Pellegrino,Argentina,Argentina,,
350037,N. Paz,Nicolás Paz Martínez,Argentina,Argentina,,
37,N. Pérez,Patricio Nehuén Pérez,Argentina,Argentina,,
311071,N. Valentini,Nicolás Valentini,Argentina,Argentina,,
26302,Pablo Maffeo,Pablo Carmine Maffeo Becerra,Spain,Argentina,,
319572,V. Barco,Valentín Barco,Argentina,Argentina,,
225,A. Behich,Aziz Eraltay Behich,Australia,Australia,,
6829,A. Cáceres,Anthony Richard Cáceres,Australia,Australia,,
348568,A. Circati,Alessandro Circati,Australia,Australia,,
2743,A. Gersbach,Alexander Joseph Gersbach,Australia,Australia,,
6799,A. Grant,Alexander Ian Grant,Australia,Australia,,
38123,A. Hrustić,Ajdin Hrustić,Australia,Australia,,
2755,A. Mabil,Awer Bul Mabil,Australia,Australia,,
7050,A. O&apos;Neill,Aiden Connor O'Neill,Australia,Australia,,
6820,A. Redmayne,Andrew James Redmayne,Australia,Australia,,
6892,A. Stamatelopoulos,Apostolos Vasilios Stamatelopoulos,Australia,Australia,,
34711,A. Taggart,Adam Jake Taggart,Australia,Australia,,
153603,A. Toure,Al Hassan Toure,Australia,Australia,,
26253,B. Borello,Brandon Joel Gaetano Borrello,Australia,Australia,,
6918,B. Fornaroli,Bruno Fornaroli Mezza,Australia,Australia,,
6832,C. Devlin,Cameron Peter Devlin,Australia,Australia,,
6888,C. Goodwin,Craig Alexander Goodwin,Australia,Australia,,
6904,C. Metcalfe,Connor Isaac Metcalfe,Australia,Australia,,
14386,F. Karačić,Fran Karačić,Australia,Australia,,
6937,G. Stensness,Gianni Ryan Stensness,Australia,Australia,,
20079,H. Souttar,Harry James Souttar,Australia,Australia,,
6797,J. Davidson,Jason Alan Davidson,Australia,Australia,,
33847,J. Geria,Jason Kato Geria,Australia,Australia,,
177649,J. Iredale,John Warwick Iredale,Australia,Australia,,
45180,J. Iredale,Jack Henry Stewart Iredale,Australia,Australia,,
2749,J. Irvine,Jackson Alexander Irvine,Australia,Australia,,
6822,J. King,Joel Bruce King,Australia,Australia,,
2756,J. Maclaren,Jamie Maclaren,Australia,Australia,,
7049,J. Nisbet,Joshua Jeffery Nisbet,Australia,Australia,,
6984,K. Baccus,Keanu Kole Baccus,Australia,Australia,,
427056,K. Bos,Kasey Bos,Australia,Australia,,
7038,K. Rowles,Kye Francis Rowles,Australia,Australia,,
153622,K. Trewin,Kai Clifton Trewin,Australia,Australia,,
153645,K. Yengi,Kusini Boja Yengi,Australia,Australia,,
6911,L. Brattan,Nathan Luke Brattan,Australia,Australia,,
6845,L. Thomas,Lawrence Andrew Kingsley Thomas,Australia,Australia,,
296642,M. Balard,Maximilien Balard,Australia,Australia,,
44843,M. Boyle,Martin Callie Boyle,Australia,Australia,,
2742,M. Degenek,Miloš Degenek,Australia,Australia,,
6993,M. Duke,Mitchell Thomas Duke,Australia,Australia,,
2751,M. Leckie,Mathew Allan Leckie,Australia,Australia,,
2741,M. Ryan,Mathew David Ryan,Australia,Australia,,
68041,M. Tilio,Marco Tilio,Australia,Australia,,
6908,N. Atkinson,Nathaniel Caleb Atkinson,Australia,Australia,,
262960,N. Milanovic,Nicolas Milanovic,Australia,Australia,,
216812,N. Triantis,Nectarios Triantis,Australia,Australia,,
312459,N. Velupillay,Nishan Velupillay,Australia,Australia,,
6870,P. Izzo,Paul Izzo,Australia,Australia,,
269539,P. Yazbek,Patrick Yazbek,Australia,Australia,,
2744,R. Grant,Rhyan Bert Grant,Australia,Australia,,
6913,R. McGree,Riley Patrick McGree,Australia,Australia,,
6885,R. Strain,Ryan Strain,Australia,Australia,,
154737,Ryan Teague,Ryan Teague,Australia,Australia,,
6849,T. Deng,Thomas Jok Deng,Australia,Australia,,
7327,A. Prass,Alexander Prass,Austria,Austria,,
715,C. Baumgartner,Christoph Baumgartner,Austria,Austria,,
126640,D. Affengruber,David Affengruber,Austria,Austria,,
25314,M. Friedl,Marco Friedl,Austria,Austria,,
25297,M. Gregoritsch,Michael Gregoritsch,Austria,Austria,,
7090,M. Svoboda,Michael Svoboda,Austria,Austria,,
7328,N. Seiwald,Nicolas Seiwald,Austria,Austria,,
25915,P. Mwene,Phillipp Mwene,Austria,Austria,,
7598,P. Pentz,Patrick Pentz,Austria,Austria,,
126642,P. Wimmer,Patrick Wimmer,Austria,Austria,,
7562,R. Schmid,Romano Christian Schmid,Austria,Austria,,
711,S. Posch,Stefan Posch,Austria,Austria,,
1095,X. Schlager,Xaver Schlager,Austria,Austria,,
1417,A. Saelemaekers,Alexis Jesse Saelemaekers,Belgium,Belgium,,
20,A. Witsel,Axel Laurent Angel Lambert Witsel,Belgium,Belgium,,
162141,K. De Winter,Koni De Winter,Belgium,Belgium,,
322560,L. Stassin,Lucas Frédéric Stassin,Belgium,Belgium,,
1924,M. Vandevoordt,Maarten Vandevoordt,Belgium,Belgium,,
453903,Nathan De Cat,Nathan De Cat,Belgium,Belgium,,
264094,B. Tahirović,Benjamin Tahirović,Bosnia and Herzegovina,Bosnia & Herzegovina,,
25129,D. Burnić,Dženis Burnić,Germany,Bosnia & Herzegovina,,
31241,D. Šarić,Dario Šarić,Bosnia and Herzegovina,Bosnia & Herzegovina,,
705,E. Bičakčić,Ermin Bičakčić,Bosnia and Herzegovina,Bosnia & Herzegovina,,
790,E. Džeko,Edin Džeko,Bosnia and Herzegovina,Bosnia & Herzegovina,,
50067,H. Hajradinović,Haris Hajradinović,Bosnia and Herzegovina,Bosnia & Herzegovina,,
162222,I. Bašić,Ivan Bašić,Bosnia and Herzegovina,Bosnia & Herzegovina,,
1324,I. Šunjić,Ivan Šunjić,Croatia,Bosnia & Herzegovina,,
108370,M. Zlomislić,Martin Zlomislić,Bosnia and Herzegovina,Bosnia & Herzegovina,,
1741,N. Katić,Nikola Katić,Croatia,Bosnia & Herzegovina,,
76867,N. Mujakić,Nihad Mujakić,Bosnia and Herzegovina,Bosnia & Herzegovina,,
9026,N. Vasilj,Nikola Vasilj,Bosnia and Herzegovina,Bosnia & Herzegovina,,
70480,O. Hadžikić,Osman Hadžikić,Austria,Bosnia & Herzegovina,,
