external_id,eng_name,name_ko,short_name_ko
778,Albania,알바니아,알바니아
1110,Andorra,안도라,안도라
1529,Angola,앙골라,앙골라
1094,Armenia,아르메니아,아르메니아
8167,Aruba,아루바,아루바
1096,Azerbaijan,아제르바이잔,아제르바이잔
1547,Bahrain,바레인,바레인
1560,Bangladesh,방글라데시,방글라데시
1100,Belarus,벨라루스,벨라루스
1516,Benin,베냉,베냉
5158,Bermuda,버뮤다,버뮤다
1540,Bhutan,부탄,부탄
2381,Bolivia,볼리비아,볼리비아
1520,Botswana,보츠와나,보츠와나
1103,Bulgaria,불가리아,불가리아
1502,Burkina Faso,부르키나파소,부르키나파소
1528,Burundi,부룬디,부룬디
1543,Cambodia,캄보디아,캄보디아
1527,Central African Republic,중앙아프리카공화국,중앙아프리카공화국
2383,Chile,칠레,칠레
1566,China,중국,중국
1524,Comoros,코모로,코모로
1106,Cyprus,키프로스,키프로스
5532,Dominican Republic,도미니카 공화국,도미니카 공화국
5159,El Salvador,엘살바도르,엘살바도르
1521,Equatorial Guinea,적도 기니,적도 기니
1506,Ethiopia,에티오피아,에티오피아
1098,Faroe Islands,페로 제도,페로 제도
1099,Finland,핀란드,핀란드
1492,Gambia,감비아,감비아
1104,Georgia,조지아,조지아
1093,Gibraltar,지브롤터,지브롤터
1117,Greece,그리스,그리스
5533,Grenada,그레나다,그레나다
8119,Guam,괌,괌
5161,Guatemala,과테말라,과테말라
1509,Guinea,기니,기니
1513,Guinea-Bissau,기니비사우,기니비사우
4672,Honduras,온두라스,온두라스
769,Hungary,헝가리,헝가리
18,Iceland,아이슬란드,아이슬란드
1537,India,인도,인도
1571,Indonesia,인도네시아,인도네시아
1116,Israel,이스라엘,이스라엘
768,Italy,이탈리아,이탈리아
2385,Jamaica,자메이카,자메이카
1095,Kazakhstan,카자흐스탄,카자흐스탄
1511,Kenya,케냐,케냐
1111,Kosovo,코소보,코소보
1570,Kuwait,쿠웨이트,쿠웨이트
1554,Kyrgyzstan,키르기스스탄,키르기스스탄
1551,Lebanon,레바논,레바논
1525,Liberia,라이베리아,라이베리아
1526,Libya,리비아,리비아
1107,Liechtenstein,리히텐슈타인,리히텐슈타인
1097,Lithuania,리투아니아,리투아니아
1102,Luxembourg,룩셈부르크,룩셈부르크
1490,Madagascar,마다가스카르,마다가스카르
1495,Malawi,말라위,말라위
1500,Mali,말리,말리
1112,Malta,몰타,몰타
8117,Martinique,마르티니크,마르티니크
1491,Mauritania,모리타니,모리타니
1114,Moldova,몰도바,몰도바
5534,Mongolia,몽골,몽골
1109,Montenegro,몬테네그로,몬테네그로
1512,Mozambique,모잠비크,모잠비크
1556,Myanmar,미얀마,미얀마
5164,Nicaragua,니카라과,니카라과
1505,Niger,니제르,니제르
19,Nigeria,나이지리아,나이지리아
771,Northern Ireland,북아일랜드,북아일랜드
1552,Oman,오만,오만
1562,Palestine,팔레스타인,팔레스타인
30,Peru,페루,페루
1555,Philippines,필리핀,필리핀
774,Romania,루마니아,루마니아
4,Russia,러시아,러시아
1514,Rwanda,르완다,르완다
1546,Singapore,싱가포르,싱가포르
773,Slovakia,슬로바키아,슬로바키아
1091,Slovenia,슬로베니아,슬로베니아
1510,Sudan,수단,수단
1565,Syria,시리아,시리아
1536,Tajikistan,타지키스탄,타지키스탄
1489,Tanzania,탄자니아,탄자니아
1564,Thailand,태국,태국
1534,Togo,토고,토고
5168,Trinidad and Tobago,트리니다드 토바고,트리니다드 토바고
1519,Uganda,우간다,우간다
772,Ukraine,우크라이나,우크라이나
1563,United Arab Emirates,아랍에미리트,아랍에미리트
2379,Venezuela,베네수엘라,베네수엘라
1542,Vietnam,베트남,베트남
1507,Zambia,잠비아,잠비아
1522,Zimbabwe,짐바브웨,짐바브웨
