external_id,eng_name,name_ko,short_name_ko
42,Arsenal,아스널,아스널
66,Aston Villa,애스턴 빌라,빌라
35,Bournemouth,본머스,본머스
55,Brentford,브렌트포드,브렌트포드
51,Brighton,브라이튼,브라이튼
44,Burnley,번리,번리
49,Chelsea,첼시,첼시
52,Crystal Palace,크리스탈 팰리스,팰리스
45,Everton,에버턴,에버턴
36,Fulham,풀럼,풀럼
63,Leeds,리즈 유나이티드,리즈
40,Liverpool,리버풀,리버풀
50,Manchester City,맨체스터 시티,맨시티
33,Manchester United,맨체스터 유나이티드,맨유
34,Newcastle,뉴캐슬 유나이티드,뉴캐슬
65,Nottingham Forest,노팅엄 포레스트,노팅엄
746,Sunderland,선덜랜드,선덜랜드
47,Tottenham,토트넘 홋스퍼,토트넘
48,West Ham,웨스트햄 유나이티드,웨스트햄
39,Wolves,울버햄튼 원더러스,울버햄튼
