external_id,eng_name,country,method,matched_name,name_ko,short_name_ko
8666,1874 Northwich,England,phonetic-fallback-openai,,1874 노스위치,1874 노스위치
8674,Abbey Hey,England,phonetic-fallback-openai,,애비 헤이,애비 헤이
26209,Abbey Hulton,England,phonetic-fallback-openai,,애비 헐턴,애비 헐턴
8675,Abbey Rangers,England,phonetic-fallback-openai,,애비 랜저스,애비 랜저스
8676,Abingdon United,England,phonetic-fallback-openai,,애빙던 유나이티드,애빙던 유나이티드
8667,AFC Croydon Athletic,England,phonetic-fallback-openai,,AFC 크로이던 애슬레틱,AFC 크로이던
7610,AFC Dunstable,England,phonetic-fallback-openai,,AFC 던스터블,AFC 던스터블
11936,AFC Emley,England,phonetic-fallback-openai,,AFC 엠리,AFC 엠리
1839,AFC Fylde,England,phonetic-fallback-openai,,AFC 필드,AFC 필드
7690,AFC Hornchurch,England,phonetic-fallback-openai,,AFC 혼처치,AFC 혼처치
7611,AFC Kempston Rovers,England,phonetic-fallback-openai,,AFC 켐프스턴 로버스,AFC 켐프스턴
8669,AFC Liverpool,England,phonetic-fallback-openai,,AFC 리버풀,AFC 리버풀
8670,AFC Mansfield,England,phonetic-fallback-openai,,AFC 만스필드,AFC 만스필드
8671,AFC Portchester,England,phonetic-fallback-openai,,AFC 포트체스터,AFC 포트체스터
7691,AFC Rushden & Diamonds,England,phonetic-fallback-openai,,AFC 러쉬덴 앤 다이아몬즈,AFC 러쉬덴
8672,AFC Stoneham,England,phonetic-fallback-openai,,AFC 스톤햄,AFC 스톤햄
7205,AFC Sudbury,England,phonetic-fallback-openai,,AFC 서드버리,AFC 서드버리
4688,AFC Telford United,England,phonetic-fallback-openai,,AFC 텔포드 유나이티드,AFC 텔포드
7612,AFC Totton,England,phonetic-fallback-openai,,AFC 토튼,AFC 토튼
24354,AFC Whyteleafe,England,phonetic-fallback-openai,,AFC 와이텔리프,AFC 와이텔리프
8673,AFC Wulfrunians,England,phonetic-fallback-openai,,AFC 울프루니안스,AFC 울프루니안스
8677,Albion Sports,England,phonetic-fallback-openai,,알비온 스포츠,알비온 스포츠
1818,Aldershot Town,England,wikidata-ko-label,Aldershot Town F.C.,올더숏 타운 FC,올더숏 타운 FC
4677,Alfreton Town,England,wikidata-ko-label,Alfreton Town F.C.,앨프리턴 타운 FC,앨프리턴 타운 FC
12049,Alton Town,England,phonetic-fallback-openai,,알턴 타운,알턴 타운
4700,Altrincham,England,wikidata-ko-label,Altrincham F.C.,알트링엄 FC,알트링엄 FC
7692,Alvechurch,England,phonetic-fallback-openai,,알브처치,알브처치
24331,Amersham Town,England,phonetic-fallback-openai,,암러샴 타운,암러샴 타운
8680,Andover New Street,England,phonetic-fallback-openai,,앤도버 뉴 스트리트,앤도버 뉴 스트리트
8681,Anstey Nomads,England,phonetic-fallback-openai,,앤스티 노마즈,앤스티 노마즈
8682,Ardley United,England,phonetic-fallback-openai,,아들리 유나이티드,아들리 유나이티드
8683,Arlesey Town,England,phonetic-fallback-openai,,알레지 타운,알레지 타운
8685,Ascot United,England,phonetic-fallback-openai,,애스콧 유나이티드,애스콧 유나이티드
21700,Ashby Ivanhoe,England,phonetic-fallback-openai,,애쉬비 이반호,애쉬비 이반호
7613,Ashford Town (Middlesex),England,phonetic-fallback-openai,,애쉬포드 타운 (미들섹스),애쉬포드 타운
7206,Ashford United,England,phonetic-fallback-openai,,애쉬포드 유나이티드,애쉬포드 유나이티드
8686,Ashington AFC,England,phonetic-fallback-openai,,애싱턴 AFC,애싱턴 AFC
7693,Ashton United,England,phonetic-fallback-openai,,애슨 유나이티드,애슨 유나이티드
8689,Atherstone Town,England,phonetic-fallback-openai,,에더스톤 타운,에더스톤 타운
7694,Atherton Collieries,England,phonetic-fallback-openai,,아서튼 콜리리스,아서튼 콜리리스
12123,Atherton Laburnum Rovers,England,phonetic-fallback-openai,,아서튼 라버넘 로버스,아서튼 라버넘
16983,Athletic Newham,England,phonetic-fallback-openai,,애슬레틱 뉴햄,애슬레틱 뉴햄
7207,Aveley,England,phonetic-fallback-openai,,에이블리,에이블리
8690,Avro,England,phonetic-fallback-openai,,아브로,아브로
7208,Aylesbury United,England,phonetic-fallback-openai,,에일즈버리 유나이티드,에일즈버리 유나이티드
8691,Aylesbury Vale Dynamos,England,phonetic-fallback-openai,,에일즈버리 베일 다이나모스,에일즈버리 베일
21701,Aylestone Park,England,phonetic-fallback-openai,,에일스톤 파크,에일스톤 파크
8692,Badshot Lea,England,phonetic-fallback-openai,,배드샷 리,배드샷 리
8693,Baffins Milton Rovers,England,phonetic-fallback-openai,,바핀스 밀턴 로버스,바핀스 밀턴
8694,Baldock Town,England,phonetic-fallback-openai,,발독 타운,발독 타운
8695,Balham,England,phonetic-fallback-openai,,발햄,발햄
7695,Bamber Bridge,England,phonetic-fallback-openai,,밤버리 브리지,밤버리 브리지
7696,Banbury United,England,phonetic-fallback-openai,,밴버리 유나이티드,밴버리 유나이티드
7209,Barking,England,phonetic-fallback-openai,,바킹,바킹
8698,Barnoldswick Town,England,phonetic-fallback-openai,,바놀즈윅 타운,바놀즈윅
7210,Barnstaple Town,England,phonetic-fallback-openai,,반스테이플 타운,반스테이플
7614,Barton Rovers,England,phonetic-fallback-openai,,바튼 로버스,바튼
8699,Barton Town Old Boys,England,phonetic-fallback-openai,,바튼 타운 올드 보이즈,바튼 타운
7697,Barwell,England,phonetic-fallback-openai,,바웰,BRW
7698,Basford United,England,phonetic-fallback-openai,,바스포드 유나이티드,바스포드
8700,Bashley,England,phonetic-fallback-openai,,배슬리,BAS
7211,Basildon United,England,phonetic-fallback-openai,,베이질던 유나이티드,베이질던
7615,Basingstoke Town,England,phonetic-fallback-openai,,베이싱스톡 타운,베이싱스톡
8657,Bath City,England,phonetic-fallback-openai,,배스 시티,배스
7699,Beaconsfield Town,England,phonetic-fallback-openai,,비컨스필드 타운,비컨스필드
8701,Bearsted,England,phonetic-fallback-openai,,베어스테드,베어스테드
8702,Beckenham Town,England,phonetic-fallback-openai,,베켄햄 타운,베켄햄
7212,Bedfont Sports,England,phonetic-fallback-openai,,베드폰트 스포츠,베드폰트
7616,Bedford Town,England,phonetic-fallback-openai,,베드포드 타운,베드포드
7213,Bedworth United,England,phonetic-fallback-openai,,베드워스 유나이티드,베드워스
7617,Belper Town,England,phonetic-fallback-openai,,벨퍼 타운,벨퍼
19548,Belper United,England,phonetic-fallback-openai,,벨퍼 유나이티드,벨퍼
8703,Bemerton Heath Harleq.,England,phonetic-fallback-openai,,베머튼 히스 할레퀸스,베머튼 히스
14406,Benfleet,England,phonetic-fallback-openai,,벤플릿,벤플릿
7214,Berkhamsted,England,phonetic-fallback-openai,,버컴스테드,버컴스테드
24333,Beverley Town,England,phonetic-fallback-openai,,베버리 타운,베버리
8704,Bexhill United,England,phonetic-fallback-openai,,벡실 유나이티드,벡실
