external_id,eng_name,name_ko,short_name_ko
1360,Accrington ST,애크링턴 스탠리,애크링턴
1333,AFC Wimbledon,AFC 윔블던,윔블던
1369,Barnet,바넷,바넷
747,Barnsley,반즐리,반즐리
1819,Barrow,배로,배로
54,Birmingham,버밍엄 시티,버밍엄
67,Blackburn,블랙번 로버스,블랙번
1356,Blackpool,블랙풀,블랙풀
68,Bolton,볼턴 원더러스,볼턴
1343,Bradford,브래드퍼드 시티,브래드퍼드
56,Bristol City,브리스톨 시티,브리스톨
1334,Bristol Rovers,브리스톨 로버스,브리스톨 로버스
1832,Bromley,브롬리,브롬리
748,Burton Albion,버튼 앨비언,버튼
1370,Cambridge United,케임브리지 유나이티드,케임브리지
43,Cardiff,카디프 시티,카디프
1335,Charlton,찰턴 애슬레틱,찰턴
1372,Cheltenham,첼트넘 타운,첼트넘
1345,Chesterfield,체스터필드,체스터필드
1361,Colchester,콜체스터 유나이티드,콜체스터
1346,Coventry,코번트리 시티,코번트리
1362,Crawley Town,크롤리 타운,크롤리
1363,Crewe,크루 알렉산드라,크루
69,Derby,더비 카운티,더비
1354,Doncaster,돈캐스터 로버스,돈캐스터
1364,Exeter City,엑서터 시티,엑서터
1336,Fleetwood Town,플리트우드 타운,플리트우드
1347,Gillingham,질링엄,질링엄
1365,Grimsby,그림즈비 타운,그림즈비
1842,Harrogate Town,해러게이트 타운,해러게이트
37,Huddersfield,허더즈필드 타운,허더즈필드
64,Hull City,헐 시티,헐
57,Ipswich,입스위치 타운,입스위치
46,Leicester,레스터 시티,레스터
1373,Leyton Orient,레이턴 오리엔트,레이턴
1379,Lincoln,링컨 시티,링컨
1359,Luton,루턴 타운,루턴
1374,Mansfield Town,맨스필드 타운,맨스필드
70,Middlesbrough,미들즈브러,미들즈브러
58,Millwall,밀월,밀월
1348,Milton Keynes Dons,MK 돈스,MK 돈스
1367,Newport County,뉴포트 카운티,뉴포트
1337,Northampton,노샘프턴 타운,노샘프턴
71,Norwich,노리치 시티,노리치
1376,Notts County,노츠 카운티,노츠
1349,Oldham,올덤 애슬레틱,올덤
1338,Oxford United,옥스퍼드 유나이티드,옥스퍼드
1350,Peterborough,피터버러 유나이티드,피터버러
1357,Plymouth,플리머스 아가일,플리머스
1351,Port Vale,포트 베일,포트 베일
1355,Portsmouth,포츠머스,포츠머스
59,Preston,프레스턴 노스 엔드,프레스턴
72,QPR,퀸즈 파크 레인저스,QPR
53,Reading,레딩,레딩
73,Rotherham,로더럼 유나이티드,로더럼
1844,Salford City,샐퍼드 시티,샐퍼드
62,Sheffield Utd,셰필드 유나이티드,셰필드 유나이티드
74,Sheffield Wednesday,셰필드 웬즈데이,웬즈데이
1352,Shrewsbury,슈루즈베리 타운,슈루즈베리
41,Southampton,사우샘프턴,사우샘프턴
1368,Stevenage,스티버니지,스티버니지
4686,Stockport County,스톡포트 카운티,스톡포트
75,Stoke City,스토크 시티,스토크
76,Swansea,스완지 시티,스완지
1353,Swindon Town,스윈던 타운,스윈던
1381,Tranmere,트랜미어 로버스,트랜미어
1342,Walsall,월솔,월솔
38,Watford,왓포드,왓포드
60,West Brom,웨스트 브로미치 앨비언,웨스트 브롬
61,Wigan,위건 애슬레틱,위건
1837,Wrexham,렉섬,렉섬
1358,Wycombe,위컴 원더러스,위컴
