external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
1360,Accrington ST,,England,ACC,,
1333,AFC Wimbledon,,England,WIM,,
1369,Barnet,,England,BAR,,
747,Barnsley,,England,BAR,,
1819,Barrow,,England,BAR,,
54,Birmingham,,England,BIR,,
67,Blackburn,,England,BLA,,
1356,Blackpool,,England,BLA,,
68,Bolton,,England,BOL,,
1343,Bradford,,England,BRA,,
56,Bristol City,,England,BRI,,
1334,Bristol Rovers,,England,BRI,,
1832,Bromley,,England,BRO,,
748,Burton Albion,,England,BUR,,
1370,Cambridge United,,England,CAM,,
43,Cardiff,,Wales,CAR,,
1335,Charlton,,England,CHA,,
1372,Cheltenham,,England,CHE,,
1345,Chesterfield,,England,CHE,,
1361,Colchester,,England,COL,,
1346,Coventry,,England,COV,,
1362,Crawley Town,,England,CRA,,
1363,Crewe,,England,CRE,,
69,Derby,,England,DER,,
1354,Doncaster,,England,DON,,
1364,Exeter City,,England,EXE,,
1336,Fleetwood Town,,England,FLE,,
1347,Gillingham,,England,GIL,,
1365,Grimsby,,England,GRI,,
1842,Harrogate Town,,England,HAR,,
37,Huddersfield,,England,HUD,,
64,Hull City,,England,HUL,,
57,Ipswich,,England,IPS,,
46,Leicester,,England,LEI,,
1373,Leyton Orient,,England,LEY,,
1379,Lincoln,,England,LNC,,
1359,Luton,,England,LUT,,
1374,Mansfield Town,,England,MAN,,
70,Middlesbrough,,England,MID,,
58,Millwall,,England,MIL,,
1348,Milton Keynes Dons,,England,MIL,,
1367,Newport County,,Wales,NEW,,
1337,Northampton,,England,NOR,,
71,Norwich,,England,NOR,,
1376,Notts County,,England,NOT,,
1349,Oldham,,England,OLD,,
1338,Oxford United,,England,OXF,,
1350,Peterborough,,England,PET,,
1357,Plymouth,,England,PLY,,
1351,Port Vale,,England,POR,,
1355,Portsmouth,,England,POR,,
59,Preston,,England,PRE,,
72,QPR,,England,QPR,,
53,Reading,,England,REA,,
73,Rotherham,,England,ROT,,
1844,Salford City,,England,,,
62,Sheffield Utd,,England,SHE,,
74,Sheffield Wednesday,,England,SHE,,
1352,Shrewsbury,,England,SHR,,
41,Southampton,,England,SOU,,
1368,Stevenage,,England,STE,,
4686,Stockport County,,England,STO,,
75,Stoke City,,England,STO,,
76,Swansea,,Wales,SWA,,
1353,Swindon Town,,England,SWI,,
1381,Tranmere,,England,TRA,,
1342,Walsall,,England,WAL,,
38,Watford,,England,WAT,,
60,West Brom,,England,WES,,
61,Wigan,,England,WIG,,
1837,Wrexham,,Wales,WRE,,
1358,Wycombe,,England,WYC,,
