external_id,eng_name,name_ko,short_name_ko
194,Ajax,아약스,아약스
499,Atalanta,아탈란타,아탈란타
531,Athletic Club,아틀레틱 빌바오,빌바오
530,Atletico Madrid,아틀레티코 마드리드,아틀레티코
529,Barcelona,바르셀로나,바르사
168,Bayer Leverkusen,바이어 레버쿠젠,레버쿠젠
157,Bayern München,바이에른 뮌헨,뮌헨
211,Benfica,벤피카,벤피카
327,Bodo/Glimt,보되/글림트,보되
165,Borussia Dortmund,보루시아 도르트문트,도르트문트
319,Brann,브란,브란
276,Breidablik,브레이다블리크,브레이다블리크
579,Buducnost Podgorica,부두치노스트 포드고리차,부두치노스트
247,Celtic,셀틱,셀틱
569,Club Brugge KV,클뤼프 브뤼허,브뤼허
394,Dinamo Minsk,디나모 민스크,디나모 민스크
14281,Drita,드리타,드리타
572,Dynamo Kyiv,디나모 키이우,디나모 키이우
3327,Egnatia Rrogozhinë,에그나티아 로고지네,에그나티아
169,Eintracht Frankfurt,아인트라흐트 프랑크푸르트,프랑크푸르트
551,FC Basel 1893,FC 바젤,바젤
400,FC Copenhagen,FC 코펜하겐,코펜하겐
684,FC Differdange 03,FC 디페르당주 03,디페르당주
2273,FC Levadia Tallinn,레바디아 탈린,레바디아
3684,FC Noah,FC 노아,노아
559,FCSB,FCSB,FCSB
611,Fenerbahçe,페네르바체,페네르바체
651,Ferencvarosi TC,페렌츠바로시,페렌츠바로시
209,Feyenoord,페예노르트,페예노르트
598,FK Crvena Zvezda,츠르베나 즈베즈다,즈베즈다
586,FK Zalgiris Vilnius,잘기리스 빌뉴스,잘기리스
645,Galatasaray,갈라타사라이,갈라타사라이
4626,Hamrun Spartans,함룬 스파르탄스,함룬
561,HNK Rijeka,리예카,리예카
505,Inter,인테르,인테르
3342,Inter Club d'Escaldes,인터클럽 에스칼데스,인터클럽
496,Juventus,유벤투스,유벤투스
664,Kairat Almaty,카이라트 알마티,카이라트
1165,KuPS,쿠오피온 팔로세우라,KuPS
347,Lech Poznan,레흐 포즈난,레흐
667,Lincoln Red Imps FC,링컨 레드 임프스,링컨
583,Linfield,린필드,린필드
566,Ludogorets,루도고레츠,루도고레츠
604,Maccabi Tel Aviv,마카비 텔아비브,마카비
375,Malmo FF,말뫼 FF,말뫼
81,Marseille,마르세유,마르세유
691,Milsami Orhei,밀사미 오르헤이,밀사미
91,Monaco,AS 모나코,모나코
492,Napoli,나폴리,나폴리
84,Nice,니스,니스
677,Olimpija Ljubljana,올림피야 류블랴나,올림피야
553,Olympiakos Piraeus,올림피아코스,올림피아코스
3403,Pafos,파포스,파포스
617,Panathinaikos,파나티나이코스,파나티나이코스
85,Paris Saint Germain,파리 생제르맹,PSG
567,Plzen,빅토리아 플젠,플젠
197,PSV Eindhoven,PSV 에인트호번,PSV
556,Qarabag,카라바흐,카라바흐
257,Rangers,레인저스,레인저스
541,Real Madrid,레알 마드리드,레알
571,Red Bull Salzburg,레드불 잘츠부르크,잘츠부르크
4160,Rīgas FS,리가스 FS,RFS
3502,Saburtalo,사부르탈로,사부르탈로
2184,Servette FC,세르베트 FC,세르베트
3854,Shelbourne,셸본,셸본
609,Shkendija,슈켄디야,슈켄디야
560,Slavia Praha,슬라비아 프라하,슬라비아 프라하
656,Slovan Bratislava,슬로반 브라티슬라바,슬로반
228,Sporting CP,스포르팅 CP,스포르팅
637,Sturm Graz,슈투름 그라츠,슈투름
354,The New Saints,더 뉴 세인츠,TNS
1393,Union St. Gilloise,위니옹 생질루아즈,위니옹
580,Vikingur Gota,비킹구르 괴타,비킹구르
533,Villarreal,비야레알,비야레알
5308,Virtus,비르투스,비르투스
588,Zrinjski,즈린스키 모스타르,즈린스키
