external_id,eng_name,context,short_context,name_ko,short_name_ko
194,Ajax,Netherlands,AJA,,
499,Atalanta,Italy,ATA,,
531,Athletic Club,Spain,BIL,,
530,Atletico Madrid,Spain,ATM,,
529,Barcelona,Spain,BAR,,
168,Bayer Leverkusen,Germany,BAY,,
157,Bayern München,Germany,BAY,,
211,Benfica,Portugal,BEN,,
327,Bodo/Glimt,Norway,BOD,,
165,Borussia Dortmund,Germany,DOR,,
319,Brann,Norway,BRA,,
276,Breidablik,Iceland,BRE,,
579,Buducnost Podgorica,Montenegro,BUD,,
247,Celtic,Scotland,CEL,,
569,Club Brugge KV,Belgium,CLU,,
394,Dinamo Minsk,Belarus,MIN,,
14281,Drita,Kosovo,,,
572,Dynamo Kyiv,Ukraine,DIN,,
3327,Egnatia Rrogozhinë,Albania,,,
169,Eintracht Frankfurt,Germany,EIN,,
551,FC Basel 1893,Switzerland,BAS,,
400,FC Copenhagen,Denmark,COP,,
684,FC Differdange 03,Luxembourg,,,
2273,FC Levadia Tallinn,Estonia,LEV,,
3684,FC Noah,Armenia,,,
559,FCSB,Romania,STE,,
611,Fenerbahçe,Turkey,FEN,,
651,Ferencvarosi TC,Hungary,FER,,
209,Feyenoord,Netherlands,FEY,,
598,FK Crvena Zvezda,Serbia,CRV,,
586,FK Zalgiris Vilnius,Lithuania,ZAL,,
645,Galatasaray,Turkey,GAL,,
4626,Hamrun Spartans,Malta,HAM,,
561,HNK Rijeka,Croatia,RIJ,,
505,Inter,Italy,INT,,
3342,Inter Club d'Escaldes,Andorra,,,
496,Juventus,Italy,JUV,,
664,Kairat Almaty,Kazakhstan,KAI,,
1165,KuPS,Finland,KUP,,
347,Lech Poznan,Poland,LEC,,
667,Lincoln Red Imps FC,Gibraltar,LIN,,
583,Linfield,Northern-Ireland,LIN,,
566,Ludogorets,Bulgaria,LUD,,
604,Maccabi Tel Aviv,Israel,MAC,,
375,Malmo FF,Sweden,MAL,,
81,Marseille,France,MAR,,
691,Milsami Orhei,Moldova,MIL,,
91,Monaco,France,MON,,
492,Napoli,Italy,NAP,,
84,Nice,France,NIC,,
677,Olimpija Ljubljana,Slovenia,LJU,,
553,Olympiakos Piraeus,Greece,OLY,,
3403,Pafos,Cyprus,PAP,,
617,Panathinaikos,Greece,PAN,,
85,Paris Saint Germain,France,PSG,,
567,Plzen,Czech-Republic,PLZ,,
197,PSV Eindhoven,Netherlands,PSV,,
556,Qarabag,Azerbaijan,KAR,,
257,Rangers,Scotland,RAN,,
541,Real Madrid,Spain,REA,,
571,Red Bull Salzburg,Austria,SAL,,
4160,Rīgas FS,Latvia,,,
3502,Saburtalo,Georgia,,,
2184,Servette FC,Switzerland,SER,,
3854,Shelbourne,Ireland,SHE,,
609,Shkendija,Macedonia,SKE,,
560,Slavia Praha,Czech-Republic,SLA,,
656,Slovan Bratislava,Slovakia,SLO,,
228,Sporting CP,Portugal,SPO,,
637,Sturm Graz,Austria,STU,,
354,The New Saints,Wales,TNS,,
1393,Union St. Gilloise,Belgium,GIL,,
580,Vikingur Gota,Faroe-Islands,,,
533,Villarreal,Spain,VIL,,
5308,Virtus,San-Marino,,,
588,Zrinjski,Bosnia,ZRI,,
