external_id,eng_name,name_ko,short_name_ko
252,Aberdeen,애버딘,애버딘
614,AEK Larnaca,AEK 라르나카,라르나카
4563,Aktobe,악퇴베,악퇴베
554,Anderlecht,안데를레흐트,안데를레흐트
497,AS Roma,AS 로마,로마
3713,Baník Ostrava,바니크 오스트라바,오스트라바
549,Beşiktaş,베식타시,베식타시
367,BK Hacken,BK 헤켄,헤켄
500,Bologna,볼로냐,볼로냐
565,BSC Young Boys,영 보이스,영 보이스
4360,Celje,첼레,첼레
538,Celta Vigo,셀타 비고,셀타
2246,CFR 1907 Cluj,CFR 클루지,클루지
620,Dinamo Zagreb,디나모 자그레브,디나모 자그레브
606,FC Lugano,FC 루가노,루가노
397,FC Midtjylland,FC 미트윌란,미트윌란
212,FC Porto,FC 포르투,포르투
573,FK Partizan,파르티잔,파르티잔
2149,Fredrikstad,프레드릭스타,프레드릭스타
742,Genk,헹크,헹크
410,GO Ahead Eagles,고 어헤드 이글스,고 어헤드
563,Hapoel Beer Sheva,하포엘 베르셰바,베르셰바
249,Hibernian,하이버니언,하이버니언
1163,Ilves,일베스,일베스
339,Legia Warszawa,레기아 바르샤바,레기아
646,Levski Sofia,레프스키 소피아,레프스키
79,Lille,릴,릴
80,Lyon,올랭피크 리옹,리옹
2390,Paks,팍시,팍시
619,PAOK,PAOK,PAOK
680,Prishtina,프리슈티나,프리슈티나
543,Real Betis,레알 베티스,베티스
13976,Sabah FA,사바 FA,사바
3603,Samsunspor,삼순스포르,삼순스포르
217,SC Braga,SC 브라가,브라가
160,SC Freiburg,SC 프라이부르크,프라이부르크
550,Shakhtar Donetsk,샤흐타르 도네츠크,샤흐타르
568,Sheriff Tiraspol,셰리프 티라스폴,셰리프
2250,Sigma Olomouc,시그마 올로모우츠,올로모우츠
1120,Spartak Trnava,스파르타크 트르나바,트르나바
207,Utrecht,위트레흐트,위트레흐트
172,VfB Stuttgart,VfB 슈투트가르트,슈투트가르트
1025,Wolfsberger AC,볼프스베르거 AC,볼프스베르거
