external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
252,Aberdeen,,Scotland,ABE,,
614,AEK Larnaca,,Cyprus,LAR,,
4563,Aktobe,,Kazakhstan,AKT,,
554,Anderlecht,,Belgium,AND,,
497,AS Roma,,Italy,ROM,,
3713,Baník Ostrava,,Czech-Republic,OST,,
549,Beşiktaş,,Turkey,BES,,
367,BK Hacken,,Sweden,HAC,,
500,Bologna,,Italy,BOL,,
565,BSC Young Boys,,Switzerland,YOU,,
4360,Celje,,Slovenia,CEL,,
538,Celta Vigo,,Spain,CEL,,
2246,CFR 1907 Cluj,,Romania,CLU,,
620,Dinamo Zagreb,,Croatia,ZAG,,
606,FC Lugano,,Switzerland,LUG,,
397,FC Midtjylland,,Denmark,MID,,
212,FC Porto,,Portugal,POR,,
573,FK Partizan,,Serbia,PAR,,
2149,Fredrikstad,,Norway,FRE,,
742,Genk,,Belgium,GEN,,
410,GO Ahead Eagles,,Netherlands,EAG,,
563,Hapoel Beer Sheva,,Israel,HAP,,
249,Hibernian,,Scotland,HIB,,
1163,Ilves,,Finland,ILV,,
339,Legia Warszawa,,Poland,LEG,,
646,Levski Sofia,,Bulgaria,LEV,,
79,Lille,,France,LIL,,
80,Lyon,,France,LYO,,
2390,Paks,,Hungary,PAK,,
619,PAOK,,Greece,PAO,,
680,Prishtina,,Kosovo,,,
543,Real Betis,,Spain,BET,,
13976,Sabah FA,,Azerbaijan,,,
3603,Samsunspor,,Turkey,SAM,,
217,SC Braga,,Portugal,BRA,,
160,SC Freiburg,,Germany,FRE,,
550,Shakhtar Donetsk,,Ukraine,SHA,,
568,Sheriff Tiraspol,,Moldova,SHE,,
2250,Sigma Olomouc,,Czech-Republic,SIG,,
1120,Spartak Trnava,,Slovakia,TRN,,
207,Utrecht,,Netherlands,UTR,,
172,VfB Stuttgart,,Germany,STU,,
1025,Wolfsberger AC,,Austria,WOL,,
