external_id,eng_name,name_ko,short_name_ko
1532,Algeria,알제리,알제리
775,Austria,오스트리아,오스트리아
1113,Bosnia & Herzegovina,보스니아 헤르체고비나,보스니아
1533,Cape Verde Islands,카보베르데,카보베르데
8,Colombia,콜롬비아,콜롬비아
1508,Congo DR,DR콩고,DR콩고
5530,Curaçao,퀴라소,퀴라소
770,Czech Republic,체코,체코
32,Egypt,이집트,이집트
2386,Haiti,아이티,아이티
1567,Iraq,이라크,이라크
1501,Ivory Coast,코트디부아르,코트디부아르
1548,Jordan,요르단,요르단
4673,New Zealand,뉴질랜드,뉴질랜드
1090,Norway,노르웨이,노르웨이
11,Panama,파나마,파나마
2380,Paraguay,파라과이,파라과이
1108,Scotland,스코틀랜드,스코틀랜드
1531,South Africa,남아프리카공화국,남아공
5,Sweden,스웨덴,스웨덴
777,Türkiye,튀르키예,튀르키예
1568,Uzbekistan,우즈베키스탄,우즈베키스탄
